adversarial_distractors,background_objects,balanced_labels,branch_accuracy,causal_k,causal_recall_mean,checkpoint,cuda_peak_mb,hidden_dim,layers,majority_accuracy,model,ms_per_sample_forward,mse,params,seed,selected_k_mean,status,total_objects_n,train_loss
0,56,True,0.583333,8,1.0,artifacts/cws_balanced_branch_8m_gpu/checkpoints/graph-transformer_N64_K8_D0_seed11.pt,143.984375,512,2,0.333333,graph-transformer,2.609065,0.001973,7375894,11,8.0,ok,64,0.755624
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu/checkpoints/graph-transformer_N64_K8_D0_seed13.pt,143.984375,512,2,0.333333,graph-transformer,2.670976,0.002534,7375894,13,8.0,ok,64,1.162248
0,56,True,0.5,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n64_1024_extra/checkpoints/graph-transformer_N64_K8_D0_seed17.pt,142.984375,512,2,0.333333,graph-transformer,2.520302,0.001097,7375894,17,8.0,ok,64,0.789631
0,56,True,0.446667,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n64_1024_extra/checkpoints/graph-transformer_N64_K8_D0_seed19.pt,142.984375,512,2,0.333333,graph-transformer,2.512486,0.00114,7375894,19,8.0,ok,64,1.019348
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n64_1024_extra/checkpoints/graph-transformer_N64_K8_D0_seed23.pt,142.984375,512,2,0.333333,graph-transformer,2.502821,0.009218,7375894,23,8.0,ok,64,1.064078
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu/checkpoints/serialized-token_N64_K8_D0_seed11.pt,130.706543,512,2,0.333333,serialized-token,0.191546,0.000701,6325778,11,8.0,ok,64,1.178149
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu/checkpoints/serialized-token_N64_K8_D0_seed13.pt,130.706543,512,2,0.333333,serialized-token,0.187364,0.000365,6325778,13,8.0,ok,64,1.074172
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n64_1024_extra/checkpoints/serialized-token_N64_K8_D0_seed17.pt,130.706543,512,2,0.333333,serialized-token,0.183995,0.000319,6325778,17,8.0,ok,64,1.202598
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n64_1024_extra/checkpoints/serialized-token_N64_K8_D0_seed19.pt,130.706543,512,2,0.333333,serialized-token,0.187396,8.1e-05,6325778,19,8.0,ok,64,1.136011
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n64_1024_extra/checkpoints/serialized-token_N64_K8_D0_seed23.pt,130.706543,512,2,0.333333,serialized-token,0.186811,0.000203,6325778,23,8.0,ok,64,1.09104
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-learned_N64_K8_D0_seed11.pt,132.140625,512,2,0.333333,wpu-cws-learned,0.94886,6e-05,6853655,11,16.0,ok,64,1.105248
0,56,True,0.72,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-learned_N64_K8_D0_seed13.pt,132.140625,512,2,0.333333,wpu-cws-learned,0.953479,0.00163,6853655,13,16.0,ok,64,0.618062
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n64_1024_extra/checkpoints/wpu-cws-learned_N64_K8_D0_seed17.pt,132.140625,512,2,0.333333,wpu-cws-learned,0.913036,0.003626,6853655,17,16.0,ok,64,1.424078
0,56,True,0.65,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n64_1024_extra/checkpoints/wpu-cws-learned_N64_K8_D0_seed19.pt,132.140625,512,2,0.333333,wpu-cws-learned,0.91456,0.00057,6853655,19,16.0,ok,64,0.284818
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n64_1024_extra/checkpoints/wpu-cws-learned_N64_K8_D0_seed23.pt,132.140625,512,2,0.333333,wpu-cws-learned,0.911526,0.000439,6853655,23,16.0,ok,64,1.2265
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-oracle_N64_K8_D0_seed11.pt,132.265625,512,2,0.333333,wpu-cws-oracle,1.04061,9.8e-05,6853655,11,8.0,ok,64,1.105286
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-oracle_N64_K8_D0_seed13.pt,132.140625,512,2,0.333333,wpu-cws-oracle,1.054189,3.8e-05,6853655,13,8.0,ok,64,1.115179
0,56,True,0.603333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n64_1024_extra/checkpoints/wpu-cws-oracle_N64_K8_D0_seed17.pt,132.265625,512,2,0.333333,wpu-cws-oracle,0.971492,0.000219,6853655,17,8.0,ok,64,1.075625
0,56,True,0.64,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n64_1024_extra/checkpoints/wpu-cws-oracle_N64_K8_D0_seed19.pt,132.140625,512,2,0.333333,wpu-cws-oracle,0.964438,0.00024,6853655,19,8.0,ok,64,0.373902
0,56,True,0.793333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n64_1024_extra/checkpoints/wpu-cws-oracle_N64_K8_D0_seed23.pt,132.140625,512,2,0.333333,wpu-cws-oracle,0.973771,0.000224,6853655,23,8.0,ok,64,0.55359
0,120,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/graph-transformer_N128_K8_D0_seed11.pt,151.052246,512,2,0.333333,graph-transformer,3.634415,4.4e-05,7375894,11,8.0,ok,128,1.101446
