adversarial_distractors,background_objects,balanced_labels,branch_accuracy,causal_k,causal_recall_mean,checkpoint,cuda_peak_mb,hidden_dim,layers,majority_accuracy,model,ms_per_sample_forward,mse,params,seed,selected_k_mean,status,total_objects_n,train_loss
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-oracle_N64_K8_D0_seed11.pt,132.265625,512,2,0.333333,wpu-cws-oracle,1.04061,9.8e-05,6853655,11,8.0,ok,64,1.105286
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-oracle_N64_K8_D0_seed13.pt,132.140625,512,2,0.333333,wpu-cws-oracle,1.054189,3.8e-05,6853655,13,8.0,ok,64,1.115179
0,1016,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-oracle_N1024_K8_D0_seed11.pt,222.257324,512,2,0.333333,wpu-cws-oracle,2.527919,5e-06,6853655,11,8.0,ok,1024,1.092035
0,1016,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-oracle_N1024_K8_D0_seed13.pt,222.257324,512,2,0.333333,wpu-cws-oracle,2.68254,6e-06,6853655,13,8.0,ok,1024,1.096893
0,4088,True,0.633333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-oracle_N4096_K8_D0_seed11.pt,513.831543,512,2,0.333333,wpu-cws-oracle,2.106484,8e-06,6853655,11,8.0,ok,4096,0.635167
0,4088,True,0.71,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-oracle_N4096_K8_D0_seed13.pt,513.831543,512,2,0.333333,wpu-cws-oracle,2.138651,7e-06,6853655,13,8.0,ok,4096,0.831188
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-learned_N64_K8_D0_seed11.pt,132.140625,512,2,0.333333,wpu-cws-learned,0.94886,6e-05,6853655,11,16.0,ok,64,1.105248
0,56,True,0.72,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-learned_N64_K8_D0_seed13.pt,132.140625,512,2,0.333333,wpu-cws-learned,0.953479,0.00163,6853655,13,16.0,ok,64,0.618062
0,1016,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-learned_N1024_K8_D0_seed11.pt,222.257324,512,2,0.333333,wpu-cws-learned,2.113709,7e-06,6853655,11,16.0,ok,1024,1.070661
0,1016,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-learned_N1024_K8_D0_seed13.pt,222.257324,512,2,0.333333,wpu-cws-learned,2.655875,5e-06,6853655,13,16.0,ok,1024,1.094843
0,4088,True,0.55,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-learned_N4096_K8_D0_seed11.pt,513.831543,512,2,0.333333,wpu-cws-learned,1.872481,2e-06,6853655,11,16.0,ok,4096,1.061261
0,4088,True,0.713333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_wpu/checkpoints/wpu-cws-learned_N4096_K8_D0_seed13.pt,513.831543,512,2,0.333333,wpu-cws-learned,1.598293,3e-06,6853655,13,16.0,ok,4096,0.737043
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu/checkpoints/serialized-token_N64_K8_D0_seed11.pt,130.706543,512,2,0.333333,serialized-token,0.191546,0.000701,6325778,11,8.0,ok,64,1.178149
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu/checkpoints/serialized-token_N64_K8_D0_seed13.pt,130.706543,512,2,0.333333,serialized-token,0.187364,0.000365,6325778,13,8.0,ok,64,1.074172
0,1016,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu/checkpoints/serialized-token_N1024_K8_D0_seed11.pt,279.731934,512,2,0.333333,serialized-token,1.894275,0.003357,6325778,11,8.0,ok,1024,1.151832
0,1016,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu/checkpoints/serialized-token_N1024_K8_D0_seed13.pt,279.731934,512,2,0.333333,serialized-token,1.165489,6.7e-05,6325778,13,8.0,ok,1024,1.126432
0,4088,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu/checkpoints/serialized-token_N4096_K8_D0_seed11.pt,763.138184,512,2,0.333333,serialized-token,7.732398,0.012959,6325778,11,8.0,ok,4096,0.984555
0,4088,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu/checkpoints/serialized-token_N4096_K8_D0_seed13.pt,763.138184,512,2,0.333333,serialized-token,7.726594,0.000968,6325778,13,8.0,ok,4096,1.178931
0,56,True,0.583333,8,1.0,artifacts/cws_balanced_branch_8m_gpu/checkpoints/graph-transformer_N64_K8_D0_seed11.pt,143.984375,512,2,0.333333,graph-transformer,2.609065,0.001973,7375894,11,8.0,ok,64,0.755624
0,56,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu/checkpoints/graph-transformer_N64_K8_D0_seed13.pt,143.984375,512,2,0.333333,graph-transformer,2.670976,0.002534,7375894,13,8.0,ok,64,1.162248
0,1016,True,0.646667,8,1.0,artifacts/cws_balanced_branch_8m_gpu/checkpoints/graph-transformer_N1024_K8_D0_seed11.pt,278.002441,512,2,0.333333,graph-transformer,3.631179,0.00381,7375894,11,8.0,ok,1024,0.811358
0,1016,True,0.5,8,1.0,artifacts/cws_balanced_branch_8m_gpu/checkpoints/graph-transformer_N1024_K8_D0_seed13.pt,278.002441,512,2,0.333333,graph-transformer,3.708914,0.014989,7375894,13,8.0,ok,1024,0.750556
0,4088,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_graph4096/checkpoints/graph-transformer_N4096_K8_D0_seed11.pt,710.510254,512,2,0.333333,graph-transformer,9.952025,0.000226,7375894,11,8.0,ok,4096,1.110942
0,4088,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_graph4096/checkpoints/graph-transformer_N4096_K8_D0_seed13.pt,713.385254,512,2,0.333333,graph-transformer,9.959394,2.2e-05,7375894,13,8.0,ok,4096,1.111339
0,4088,True,0.666667,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n4096_extra/checkpoints/wpu-cws-oracle_N4096_K8_D0_seed17.pt,512.831543,512,2,0.333333,wpu-cws-oracle,2.034085,5e-06,6853655,17,8.0,ok,4096,1.224043
0,4088,True,0.693333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n4096_extra/checkpoints/wpu-cws-oracle_N4096_K8_D0_seed19.pt,513.831543,512,2,0.333333,wpu-cws-oracle,2.414873,3e-06,6853655,19,8.0,ok,4096,0.285269
0,4088,True,0.77,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n4096_extra/checkpoints/wpu-cws-oracle_N4096_K8_D0_seed23.pt,513.831543,512,2,0.333333,wpu-cws-oracle,2.064353,2e-06,6853655,23,8.0,ok,4096,0.613536
