model,seed,background_objects,total_objects,branch_accuracy,branch_nll,mse,ms_per_sample,work_proxy
wpu-sparse,13,80,84,0.648438,0.950047,0.006425,0.458238,3
wpu-sparse,13,200,204,0.648438,1.007729,0.003844,0.505181,3
wpu-sparse,13,400,404,0.210938,1.114698,0.006298,0.543643,3
wpu-sparse-target,13,80,84,0.757812,0.650952,0.007981,0.465195,3
wpu-sparse-target,13,200,204,0.757812,0.650952,0.003888,0.481045,3
wpu-sparse-target,13,400,404,0.757812,0.650952,0.005092,0.564063,3
wpu-sparse-frontier,13,80,84,0.742188,0.661557,0.010164,0.522627,3
wpu-sparse-frontier,13,200,204,0.742188,0.661557,0.004794,0.534575,3
wpu-sparse-frontier,13,400,404,0.742188,0.661557,0.005693,0.575409,3
serialized-token,13,80,84,0.71875,0.721107,0.01128,0.212221,7744
serialized-token,13,200,204,0.773438,0.548802,0.002105,0.446938,43264
serialized-token,13,400,404,0.773438,0.554604,0.00463,1.585607,166464
wpu-sparse,17,80,84,0.640625,0.973157,0.003684,0.474678,3
wpu-sparse,17,200,204,0.640625,1.052373,0.00234,0.494405,3
wpu-sparse,17,400,404,0.226562,1.235393,0.004369,0.551758,3
wpu-sparse-target,17,80,84,0.757812,0.581647,0.006699,0.474211,3
wpu-sparse-target,17,200,204,0.757812,0.581647,0.00332,0.502545,3
wpu-sparse-target,17,400,404,0.757812,0.581647,0.004117,0.52956,3
wpu-sparse-frontier,17,80,84,0.804688,0.563035,0.01079,0.534377,3
wpu-sparse-frontier,17,200,204,0.804688,0.563035,0.00501,0.561155,3
wpu-sparse-frontier,17,400,404,0.804688,0.563035,0.005115,0.589213,3
serialized-token,17,80,84,0.703125,0.729257,0.02128,0.191677,7744
serialized-token,17,200,204,0.78125,0.568697,0.003061,0.463073,43264
serialized-token,17,400,404,0.78125,0.628661,0.011373,1.225594,166464
wpu-sparse,23,80,84,0.132812,1.18418,0.005128,0.49526,3
wpu-sparse,23,200,204,0.640625,1.036261,0.003167,0.508279,3
wpu-sparse,23,400,404,0.640625,0.901657,0.007554,0.534377,3
wpu-sparse-target,23,80,84,0.765625,0.597011,0.005687,0.486519,3
wpu-sparse-target,23,200,204,0.765625,0.597011,0.003291,0.491987,3
wpu-sparse-target,23,400,404,0.765625,0.597011,0.008281,0.530487,3
wpu-sparse-frontier,23,80,84,0.796875,0.566619,0.007377,0.54029,3
wpu-sparse-frontier,23,200,204,0.796875,0.566619,0.003998,0.528342,3
wpu-sparse-frontier,23,400,404,0.796875,0.566619,0.008439,0.595766,3
serialized-token,23,80,84,0.742188,0.632623,0.024754,0.196512,7744
serialized-token,23,200,204,0.765625,0.538132,0.00187,0.436735,43264
serialized-token,23,400,404,0.78125,0.566837,0.005137,1.180359,166464
