N,best_wpu,best_wpu_acc,best_non_wpu,best_non_wpu_acc,acc_gap_wpu_minus_non,wpu_routed_acc,wpu_routed_runtime_ms,serialized_token_runtime_ms,graph_transformer_runtime_ms,routed_work_proxy
4,wpu-hybrid,0.724219,dense-graph,0.639844,0.084375,0.185157,0.269272,0.212983,1.008369,16.0
8,wpu-hybrid,0.726563,serialized-token,0.614062,0.1125,0.358594,0.271617,0.235064,1.030343,64.0
12,wpu-hybrid,0.734375,graph-transformer,0.642188,0.092187,0.271094,0.276979,0.259094,1.063467,144.0
16,wpu-hybrid,0.739844,graph-transformer,0.639063,0.100781,0.703906,0.989143,0.279921,1.101378,19.0
24,wpu-hybrid,0.732031,graph-transformer,0.658594,0.073438,0.682812,0.993838,0.317358,1.150459,27.0
36,wpu-hybrid,0.710156,graph-transformer,0.660156,0.05,0.6875,1.026618,0.391044,1.2029,39.0
52,wpu-hybrid,0.715625,graph-transformer,0.666406,0.049219,0.692187,1.10613,0.471843,1.291553,55.0
68,wpu-hybrid,0.75,serialized-token,0.678125,0.071875,0.725781,0.947784,0.561908,1.380799,3.0
84,wpu-hybrid,0.750781,graph-transformer,0.696094,0.054688,0.728906,0.952547,0.658664,1.465424,3.0
108,wpu-hybrid,0.721094,serialized-token,0.694531,0.026563,0.695313,0.956576,0.828467,1.614086,3.0
132,wpu-hybrid,0.675781,graph-transformer,0.701563,-0.025781,0.615625,0.982494,1.050505,1.850081,3.0
164,wpu-hybrid,0.567969,graph-transformer,0.707031,-0.139063,0.451563,0.989894,1.368091,2.126612,3.0
204,wpu-routed,0.451563,graph-transformer,0.7125,-0.260937,0.451563,1.008346,1.64144,2.503171,3.0
260,wpu-routed,0.451563,graph-transformer,0.716406,-0.264844,0.451563,1.036429,2.308716,3.164099,3.0
