row_type,seed,mechanism,policy,samples,candidate_count,relation_precision,relation_recall,mean_selected_k,downstream_accuracy,downstream_loss,seed_count
seed,23,hidden_field,no_relation,256,8,0.000000,0.000000,0.000000,0.496094,0.693147,1
seed,23,hidden_field,geometry_only,256,8,0.137369,0.460938,3.355469,0.765625,0.565862,1
seed,23,hidden_field,type_prior,256,8,0.000000,0.000000,0.000000,0.496094,0.693147,1
seed,23,hidden_field,history_scorer,256,8,0.988281,0.988281,1.000000,0.996094,0.275466,1
seed,23,hidden_field,oracle_relation,256,8,1.000000,1.000000,1.000000,1.000000,0.270057,1
seed,29,hidden_field,no_relation,256,8,0.000000,0.000000,0.000000,0.472656,0.693147,1
seed,29,hidden_field,geometry_only,256,8,0.117241,0.398438,3.398438,0.718750,0.587799,1
seed,29,hidden_field,type_prior,256,8,0.000000,0.000000,0.000000,0.472656,0.693147,1
seed,29,hidden_field,history_scorer,256,8,0.984375,0.984375,1.000000,0.988281,0.275132,1
seed,29,hidden_field,oracle_relation,256,8,1.000000,1.000000,1.000000,1.000000,0.267462,1
seed,31,hidden_field,no_relation,256,8,0.000000,0.000000,0.000000,0.429688,0.693147,1
seed,31,hidden_field,geometry_only,256,8,0.122989,0.417969,3.398438,0.753906,0.581219,1
seed,31,hidden_field,type_prior,256,8,0.000000,0.000000,0.000000,0.429688,0.693147,1
seed,31,hidden_field,history_scorer,256,8,0.996094,0.996094,1.000000,1.000000,0.270630,1
seed,31,hidden_field,oracle_relation,256,8,1.000000,1.000000,1.000000,1.000000,0.269252,1
seed,37,hidden_field,no_relation,256,8,0.000000,0.000000,0.000000,0.535156,0.693147,1
seed,37,hidden_field,geometry_only,256,8,0.130580,0.457031,3.500000,0.691406,0.581938,1
seed,37,hidden_field,type_prior,256,8,0.000000,0.000000,0.000000,0.535156,0.693147,1
seed,37,hidden_field,history_scorer,256,8,0.976562,0.976562,1.000000,0.980469,0.279530,1
seed,37,hidden_field,oracle_relation,256,8,1.000000,1.000000,1.000000,1.000000,0.268965,1
seed,41,hidden_field,no_relation,256,8,0.000000,0.000000,0.000000,0.539062,0.693147,1
seed,41,hidden_field,geometry_only,256,8,0.133929,0.468750,3.500000,0.734375,0.566940,1
seed,41,hidden_field,type_prior,256,8,0.000000,0.000000,0.000000,0.539062,0.693147,1
seed,41,hidden_field,history_scorer,256,8,0.992188,0.992188,1.000000,0.996094,0.268244,1
seed,41,hidden_field,oracle_relation,256,8,1.000000,1.000000,1.000000,1.000000,0.265168,1
summary,all,hidden_field,geometry_only,1280,8,0.128422,0.440625,3.430469,0.732812,0.576752,5
summary,all,hidden_field,history_scorer,1280,8,0.987500,0.987500,1.000000,0.992188,0.273800,5
summary,all,hidden_field,no_relation,1280,8,0.000000,0.000000,0.000000,0.494531,0.693147,5
summary,all,hidden_field,oracle_relation,1280,8,1.000000,1.000000,1.000000,1.000000,0.268181,5
summary,all,hidden_field,type_prior,1280,8,0.000000,0.000000,0.000000,0.494531,0.693147,5
