row_type,seed,mechanism,policy,samples,candidate_count,relation_precision,relation_recall,mean_selected_k,delta_mse,sign_accuracy,seed_count
seed,31,hidden_inverse,no_relation,256,8,0.000000,0.000000,0.000000,0.458892,0.476562,1
seed,31,hidden_inverse,geometry_law,256,8,0.150830,0.390625,2.589844,5.665587,0.980469,1
seed,31,hidden_inverse,type_prior_law,256,8,0.000000,0.000000,0.000000,0.458892,0.476562,1
seed,31,hidden_inverse,history_relation_law,256,8,0.992188,0.992188,1.000000,0.000529,1.000000,1
seed,31,hidden_inverse,oracle_relation_law,256,8,1.000000,1.000000,1.000000,0.000425,1.000000,1
seed,37,hidden_inverse,no_relation,256,8,0.000000,0.000000,0.000000,0.474037,0.453125,1
seed,37,hidden_inverse,geometry_law,256,8,0.137226,0.367188,2.675781,6.400896,0.968750,1
seed,37,hidden_inverse,type_prior_law,256,8,0.000000,0.000000,0.000000,0.474037,0.453125,1
seed,37,hidden_inverse,history_relation_law,256,8,0.996094,0.996094,1.000000,0.000899,1.000000,1
seed,37,hidden_inverse,oracle_relation_law,256,8,1.000000,1.000000,1.000000,0.000215,1.000000,1
seed,41,hidden_inverse,no_relation,256,8,0.000000,0.000000,0.000000,0.450109,0.527344,1
seed,41,hidden_inverse,geometry_law,256,8,0.126543,0.320312,2.531250,5.833113,0.972656,1
seed,41,hidden_inverse,type_prior_law,256,8,0.000000,0.000000,0.000000,0.450109,0.527344,1
seed,41,hidden_inverse,history_relation_law,256,8,0.984375,0.984375,1.000000,0.000557,1.000000,1
seed,41,hidden_inverse,oracle_relation_law,256,8,1.000000,1.000000,1.000000,0.000191,1.000000,1
seed,43,hidden_inverse,no_relation,256,8,0.000000,0.000000,0.000000,0.411185,0.484375,1
seed,43,hidden_inverse,geometry_law,256,8,0.111940,0.292969,2.617188,6.226752,0.984375,1
seed,43,hidden_inverse,type_prior_law,256,8,0.000000,0.000000,0.000000,0.411185,0.484375,1
seed,43,hidden_inverse,history_relation_law,256,8,0.988281,0.988281,1.000000,0.001114,1.000000,1
seed,43,hidden_inverse,oracle_relation_law,256,8,1.000000,1.000000,1.000000,0.000214,1.000000,1
seed,47,hidden_inverse,no_relation,256,8,0.000000,0.000000,0.000000,0.435322,0.496094,1
seed,47,hidden_inverse,geometry_law,256,8,0.123944,0.343750,2.773438,6.122918,0.992188,1
seed,47,hidden_inverse,type_prior_law,256,8,0.000000,0.000000,0.000000,0.435322,0.496094,1
seed,47,hidden_inverse,history_relation_law,256,8,0.980469,0.980469,1.000000,0.001040,1.000000,1
seed,47,hidden_inverse,oracle_relation_law,256,8,1.000000,1.000000,1.000000,0.000256,1.000000,1
summary,all,hidden_inverse,geometry_law,1280,8,0.130097,0.342969,2.637500,6.049853,0.979688,5
summary,all,hidden_inverse,history_relation_law,1280,8,0.988281,0.988281,1.000000,0.000828,1.000000,5
summary,all,hidden_inverse,no_relation,1280,8,0.000000,0.000000,0.000000,0.445909,0.487500,5
summary,all,hidden_inverse,oracle_relation_law,1280,8,1.000000,1.000000,1.000000,0.000260,1.000000,5
summary,all,hidden_inverse,type_prior_law,1280,8,0.000000,0.000000,0.000000,0.445909,0.487500,5
