row_type,seed,mechanism,policy,selected_form,samples,candidate_count,relation_precision,relation_recall,mean_selected_k,delta_mse,sign_accuracy,calibration_mse,seed_count
seed,31,hidden_inverse_gain_shift,base_history_law,trained_base,256,8,1.000000,1.000000,1.000000,0.132948,1.000000,0.000000,1
seed,31,hidden_inverse_gain_shift,gain_calibrated_history_law,gain_scaled_base,256,8,1.000000,1.000000,1.000000,0.000449,1.000000,0.000369,1
seed,31,hidden_inverse_gain_shift,form_revised_history_law,mixed,256,8,1.000000,1.000000,1.000000,0.000217,1.000000,0.000171,1
seed,31,hidden_inverse_gain_shift,form_revised_oracle_law,mixed,256,8,1.000000,1.000000,1.000000,0.000217,1.000000,0.000171,1
seed,31,hidden_power_shift,base_history_law,trained_base,256,8,0.960938,0.960938,1.000000,0.063503,1.000000,0.000000,1
seed,31,hidden_power_shift,gain_calibrated_history_law,gain_scaled_base,256,8,0.960938,0.960938,1.000000,0.022103,1.000000,0.027124,1
seed,31,hidden_power_shift,form_revised_history_law,mixed,256,8,0.960938,0.960938,1.000000,0.007808,1.000000,0.010864,1
seed,31,hidden_power_shift,form_revised_oracle_law,mixed,256,8,1.000000,1.000000,1.000000,0.000213,1.000000,0.000171,1
seed,37,hidden_inverse_gain_shift,base_history_law,trained_base,256,8,0.992188,0.992188,1.000000,0.110847,1.000000,0.000000,1
seed,37,hidden_inverse_gain_shift,gain_calibrated_history_law,gain_scaled_base,256,8,0.992188,0.992188,1.000000,0.000498,1.000000,0.008088,1
seed,37,hidden_inverse_gain_shift,form_revised_history_law,mixed,256,8,0.992188,0.992188,1.000000,0.000722,1.000000,0.007713,1
seed,37,hidden_inverse_gain_shift,form_revised_oracle_law,mixed,256,8,1.000000,1.000000,1.000000,0.000255,1.000000,0.000189,1
seed,37,hidden_power_shift,base_history_law,trained_base,256,8,0.937500,0.937500,1.000000,0.049219,1.000000,0.000000,1
seed,37,hidden_power_shift,gain_calibrated_history_law,gain_scaled_base,256,8,0.937500,0.937500,1.000000,0.020010,1.000000,0.018142,1
seed,37,hidden_power_shift,form_revised_history_law,mixed,256,8,0.937500,0.937500,1.000000,0.002095,1.000000,0.005313,1
seed,37,hidden_power_shift,form_revised_oracle_law,mixed,256,8,1.000000,1.000000,1.000000,0.000261,1.000000,0.000189,1
seed,41,hidden_inverse_gain_shift,base_history_law,trained_base,256,8,1.000000,1.000000,1.000000,0.096369,1.000000,0.000000,1
seed,41,hidden_inverse_gain_shift,gain_calibrated_history_law,gain_scaled_base,256,8,1.000000,1.000000,1.000000,0.000224,1.000000,0.000367,1
seed,41,hidden_inverse_gain_shift,form_revised_history_law,mixed,256,8,1.000000,1.000000,1.000000,0.000193,1.000000,0.000345,1
seed,41,hidden_inverse_gain_shift,form_revised_oracle_law,mixed,256,8,1.000000,1.000000,1.000000,0.000193,1.000000,0.000345,1
