scenario,repair_policy,samples,seed,near_distance,contact_distance,background_objects,near_distractors,mean_before_frontier_recall,mean_after_frontier_recall,mean_added_relations,mean_candidate_pairs,mean_skipped_pairs,repair_precision,repair_recall,downstream_branch_accuracy,downstream_branch_loss
in_distribution,no_repair,64,17,0.250000,0.080000,32,8,0.250000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343750,1.319667
in_distribution,ungated,64,17,0.250000,0.080000,32,8,0.250000,1.000000,97.515625,946.000000,0.000000,0.078994,1.000000,0.343750,1.075615
in_distribution,type_gated,64,17,0.250000,0.080000,32,8,0.250000,1.000000,7.703125,6.000000,940.000000,1.000000,1.000000,0.671875,0.885275
in_distribution,learned_scorer,64,17,0.250000,0.080000,32,8,0.250000,1.000000,7.703125,97.515625,0.000000,1.000000,1.000000,0.671875,0.885275
dense_distractors,no_repair,64,17,0.250000,0.080000,128,24,0.250000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.359375,1.297792
dense_distractors,ungated,64,17,0.250000,0.080000,128,24,0.250000,1.000000,584.000000,12090.000000,0.000000,0.013244,1.000000,0.359375,1.712768
dense_distractors,type_gated,64,17,0.250000,0.080000,128,24,0.250000,1.000000,7.734375,6.000000,12084.000000,1.000000,1.000000,0.656250,0.908302
dense_distractors,learned_scorer,64,17,0.250000,0.080000,128,24,0.250000,1.000000,7.734375,584.000000,0.000000,1.000000,1.000000,0.656250,0.908302
aliased_types_with_roles,no_repair,64,17,0.250000,0.080000,32,8,0.250000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343750,1.319667
aliased_types_with_roles,ungated,64,17,0.250000,0.080000,32,8,0.250000,1.000000,97.515625,946.000000,0.000000,0.078994,1.000000,0.343750,1.075615
aliased_types_with_roles,type_gated,64,17,0.250000,0.080000,32,8,0.250000,0.250000,0.000000,0.000000,946.000000,0.000000,0.000000,0.343750,1.319667
aliased_types_with_roles,learned_scorer,64,17,0.250000,0.080000,32,8,0.250000,1.000000,7.703125,97.515625,0.000000,1.000000,1.000000,0.671875,0.885275
aliased_types_without_roles,no_repair,64,17,0.250000,0.080000,32,8,0.250000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343750,1.319667
aliased_types_without_roles,ungated,64,17,0.250000,0.080000,32,8,0.250000,1.000000,97.515625,946.000000,0.000000,0.078994,1.000000,0.343750,1.075615
aliased_types_without_roles,type_gated,64,17,0.250000,0.080000,32,8,0.250000,0.250000,0.000000,0.000000,946.000000,0.000000,0.000000,0.343750,1.319667
aliased_types_without_roles,learned_scorer,64,17,0.250000,0.080000,32,8,0.250000,0.250000,0.000000,97.515625,0.000000,0.000000,0.000000,0.343750,1.319667
