background_objects,branch_entropy_mean,branch_flip_rate,constraint_violations_per_step,delta_norm_mean,final_majority_branch_ratio,horizon,model,samples,seed,selected_k_mean
32,1.048771,0.0625,0.025,0.755011,0.458333,5,wpu-cws-indexed-sparse,24,11,4.416667
32,0.996523,0.152778,0.375,3.201588,1.0,10,wpu-cws-indexed-sparse,24,11,4.416667
32,0.399333,0.057292,3.223333,1816571.164636,1.0,25,wpu-cws-indexed-sparse,24,11,4.416667
32,1.07268,0.1875,0.375,0.84365,1.0,5,wpu-cws-indexed-sparse,24,13,4.416667
32,1.056102,0.25463,0.6875,3.866556,1.0,10,wpu-cws-indexed-sparse,24,13,4.416667
32,0.44662,0.095486,3.525,2101184.051126,1.0,25,wpu-cws-indexed-sparse,24,13,4.416667
32,0.975309,0.125,0.133333,2.666712,0.666667,5,wpu-cws-indexed-local-dense,24,11,4.416667
32,1.014511,0.092593,0.354167,2.377984,1.0,10,wpu-cws-indexed-local-dense,24,11,4.416667
32,1.05204,0.034722,0.695,2.1561,1.0,25,wpu-cws-indexed-local-dense,24,11,4.416667
32,0.86775,0.166667,0.0,2.910971,0.666667,5,wpu-cws-indexed-local-dense,24,13,4.416667
32,0.886408,0.203704,0.054167,2.919014,1.0,10,wpu-cws-indexed-local-dense,24,13,4.416667
32,0.70911,0.076389,0.303333,3.333277,1.0,25,wpu-cws-indexed-local-dense,24,13,4.416667
32,0.872078,0.083333,0.0,3.994791,0.541667,5,graph-transformer,24,11,36.416667
32,0.888827,0.180556,0.004167,7.049949,1.0,10,graph-transformer,24,11,36.416667
32,0.90968,0.067708,0.001667,9.46268,1.0,25,graph-transformer,24,11,36.416667
32,0.844147,0.041667,0.091667,4.330143,0.541667,5,graph-transformer,24,13,36.416667
32,0.894071,0.12037,0.275,5.163499,1.0,10,graph-transformer,24,13,36.416667
32,0.870571,0.045139,0.543333,7.357141,1.0,25,graph-transformer,24,13,36.416667
