run_label,model,horizon,policy_family,state_integrity_score,low_disruption_integrity_score,constraint_violations_per_step,correction_rate,corrected_object_fraction,rollback_rate,escalation_rate,meets_integrity_target,meets_low_correction_target,meets_joint_target
finite_clamped,wpu-cws-indexed-sparse,25,no_correction_baseline,0.527391,0.527391,0.784166,0.0,0.0,0.0,0.0,0,1,0
guarded,wpu-cws-indexed-sparse,25,safety_baseline,0.958508,0.958508,0.0,0.0,0.0,0.0,0.0,1,1,0
rollback,wpu-cws-indexed-sparse,25,safety_baseline,0.988647,0.744897,0.0,0.0,0.0,0.8125,0.0,1,1,0
selective_corrected_margin1,wpu-cws-indexed-sparse,25,correction_trigger,0.527391,0.527391,0.784166,0.0,0.0,0.0,0.0,0,1,0
selective_corrected_rawdelta2m,wpu-cws-indexed-sparse,25,correction_trigger,0.527391,0.527391,0.784166,0.0,0.0,0.0,0.0,0,1,0
selective_corrected_stride2,wpu-cws-indexed-sparse,25,correction_trigger,0.53519,0.527543,0.77,0.014166,0.027371,0.0,0.0,0,1,0
selective_corrected_entropy045,wpu-cws-indexed-sparse,25,correction_trigger,0.642658,0.586039,0.574167,0.21,0.027458,0.0,0.0,0,1,0
selective_corrected_entropy035,wpu-cws-indexed-sparse,25,correction_trigger,0.653668,0.592049,0.554167,0.23,0.027458,0.0,0.0,0,1,0
finite_corrected,wpu-cws-indexed-sparse,25,correction_trigger,0.958735,0.645068,0.0,0.784166,0.784166,0.0,0.0,1,0,0
selective_corrected,wpu-cws-indexed-sparse,25,correction_trigger,0.958735,0.758574,0.0,0.784166,0.027461,0.0,0.0,1,0,0
