row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count,adaptation_policy,adaptation_steps,adaptation_samples,adaptation_lr
seed,wpu-cws-indexed-sparse,11,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.555556,0.444444,0.044908,0.981761,0.607284,0.207484,4.375,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,11,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.5,0.444444,0.440384,1.047096,0.632933,0.157127,4.375,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,11,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.527778,0.311155,1.001034,0.601733,0.236422,4.375,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,11,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.388889,0.805556,0.019547,0.942756,0.581244,0.028806,4.8,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,13,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.444444,0.044816,0.977827,0.589609,0.154442,4.35,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,13,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.527778,0.416667,0.438863,1.043091,0.62868,0.132643,4.35,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,13,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.555556,0.555556,0.330792,1.013026,0.603837,0.155062,4.35,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,13,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.722222,0.805556,0.018149,0.986749,0.597525,0.39254,4.825,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,17,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.416667,0.444444,0.043113,1.009518,0.615518,0.13472,4.4,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,17,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.472222,0.361111,0.430973,1.046431,0.632707,0.087484,4.4,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,17,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.555556,0.32554,1.022993,0.613423,0.183485,4.4,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,17,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.722222,0.777778,0.014718,0.925406,0.552212,0.297378,4.8,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,19,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.5,0.444444,0.055659,1.022445,0.620177,0.173656,4.4,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,19,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.555556,0.361111,0.428218,1.030795,0.621066,0.148121,4.4,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,19,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.555556,0.33541,1.030863,0.616684,0.196063,4.4,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,19,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.444444,0.777778,0.044653,0.973001,0.592411,0.305229,4.825,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,23,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.388889,0.472222,0.05515,1.047424,0.634178,0.039219,4.275,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,23,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.527778,0.472222,0.636501,1.00085,0.601184,0.173858,4.275,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,23,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.638889,0.444444,0.522594,0.996136,0.595127,0.237543,4.275,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,23,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.722222,0.722222,0.035404,0.923168,0.549319,0.274382,4.775,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,29,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.472222,0.5,0.039485,1.005425,0.608191,0.141107,4.3,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,29,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.694444,0.472222,0.660959,0.998713,0.598303,0.308263,4.3,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,29,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.638889,0.472222,0.570765,0.961542,0.571289,0.300709,4.3,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,29,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.694444,0.694444,0.017255,0.91366,0.545183,0.256783,4.775,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,31,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.444444,0.527778,0.044592,0.967999,0.591781,0.152879,4.35,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,31,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.694444,0.444444,0.631382,0.938859,0.558494,0.257213,4.35,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,31,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.722222,0.5,0.542236,0.917473,0.537032,0.257176,4.35,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-sparse,31,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.666667,0.694444,0.016733,0.905999,0.55534,0.232547,4.825,1.0,0.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,11,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.444444,0.157907,0.94461,0.597479,0.196907,4.375,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,11,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.472222,0.444444,0.57535,1.11052,0.669321,0.151697,4.375,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,11,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.611111,0.527778,0.502692,0.956731,0.565591,0.094974,4.375,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,11,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.444444,0.805556,0.235869,0.919587,0.576458,0.131093,4.8,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,13,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.666667,0.444444,0.136826,0.899516,0.565886,0.234854,4.35,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,13,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.25,0.416667,0.503532,1.212983,0.726802,0.210504,4.35,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,13,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.555556,0.446122,0.951698,0.559765,0.147432,4.35,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,13,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.805556,0.805556,0.186786,0.785837,0.458627,0.230167,4.825,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,17,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.388889,0.444444,0.154963,0.926079,0.589981,0.130191,4.4,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
seed,wpu-cws-indexed-local-dense,17,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.472222,0.361111,0.529829,1.066323,0.647457,0.06934,4.4,1.0,1.0,1,fewshot_mechanism,8,36,0.0005
