row_type,policy,policy_value,model,seed,horizon,background_objects,samples,train_need_rate,gate_train_accuracy,gate_train_positive_rate,constraint_violations_per_step,delta_norm_mean,branch_flip_rate,correction_rate,corrected_object_fraction,state_integrity_score,low_disruption_integrity_score,meets_joint_target
seed,no_correction,0.0,wpu-cws-indexed-sparse,11,25,32,24,0.027222,1.0,0.027222,0.723333,0.705839,0.050347,0.0,0.0,0.567393,0.567393,0
seed,always_selective,0.0,wpu-cws-indexed-sparse,11,25,32,24,0.027222,1.0,0.027222,0.0,0.694266,0.050347,1.0,0.019863,0.965631,0.712652,0
seed,learned_threshold_0.5,0.5,wpu-cws-indexed-sparse,11,25,32,24,0.027222,1.0,0.027222,0.0,0.694266,0.050347,0.723333,0.027482,0.965631,0.780676,0
seed,learned_threshold_0.6,0.6,wpu-cws-indexed-sparse,11,25,32,24,0.027222,1.0,0.027222,0.0,0.694266,0.050347,0.723333,0.027482,0.965631,0.780676,0
seed,learned_threshold_0.7,0.7,wpu-cws-indexed-sparse,11,25,32,24,0.027222,1.0,0.027222,0.0,0.694266,0.050347,0.723333,0.027482,0.965631,0.780676,0
seed,learned_threshold_0.8,0.8,wpu-cws-indexed-sparse,11,25,32,24,0.027222,1.0,0.027222,0.0,0.694266,0.050347,0.723333,0.027482,0.965631,0.780676,0
seed,learned_threshold_0.9,0.9,wpu-cws-indexed-sparse,11,25,32,24,0.027222,1.0,0.027222,0.0,0.694266,0.050347,0.723333,0.027482,0.965631,0.780676,0
seed,learned_threshold_0.95,0.95,wpu-cws-indexed-sparse,11,25,32,24,0.027222,1.0,0.027222,0.0,0.694266,0.050347,0.723333,0.027482,0.965631,0.780676,0
seed,learned_threshold_0.975,0.975,wpu-cws-indexed-sparse,11,25,32,24,0.027222,1.0,0.027222,0.0,0.694266,0.050347,0.723333,0.027482,0.965631,0.780676,0
seed,learned_top_rate_0.1,0.1,wpu-cws-indexed-sparse,11,25,32,24,0.027222,1.0,0.027222,0.0,0.694266,0.050347,0.763333,0.026029,0.965631,0.770894,0
seed,learned_top_rate_0.15,0.15,wpu-cws-indexed-sparse,11,25,32,24,0.027222,1.0,0.027222,0.0,0.694266,0.050347,0.773333,0.025688,0.965631,0.768445,0
seed,learned_top_rate_0.2,0.2,wpu-cws-indexed-sparse,11,25,32,24,0.027222,1.0,0.027222,0.0,0.694266,0.050347,0.78,0.025466,0.965631,0.766811,0
seed,learned_top_rate_0.25,0.25,wpu-cws-indexed-sparse,11,25,32,24,0.027222,1.0,0.027222,0.0,0.694266,0.050347,0.786667,0.025249,0.965631,0.765177,0
seed,learned_top_rate_0.3,0.3,wpu-cws-indexed-sparse,11,25,32,24,0.027222,1.0,0.027222,0.0,0.694266,0.050347,0.79,0.02514,0.965631,0.76436,0
seed,no_correction,0.0,wpu-cws-indexed-sparse,13,25,32,24,0.027222,1.0,0.027222,0.86,0.72188,0.112847,0.0,0.0,0.479165,0.479165,0
seed,always_selective,0.0,wpu-cws-indexed-sparse,13,25,32,24,0.027222,1.0,0.027222,0.0,0.710084,0.114583,1.0,0.023589,0.95223,0.698692,0
seed,learned_threshold_0.5,0.5,wpu-cws-indexed-sparse,13,25,32,24,0.027222,1.0,0.027222,0.0,0.710084,0.114583,0.86,0.027422,0.95223,0.733117,0
seed,learned_threshold_0.6,0.6,wpu-cws-indexed-sparse,13,25,32,24,0.027222,1.0,0.027222,0.0,0.710084,0.114583,0.86,0.027422,0.95223,0.733117,0
seed,learned_threshold_0.7,0.7,wpu-cws-indexed-sparse,13,25,32,24,0.027222,1.0,0.027222,0.0,0.710084,0.114583,0.86,0.027422,0.95223,0.733117,0
seed,learned_threshold_0.8,0.8,wpu-cws-indexed-sparse,13,25,32,24,0.027222,1.0,0.027222,0.0,0.710084,0.114583,0.86,0.027422,0.95223,0.733117,0
seed,learned_threshold_0.9,0.9,wpu-cws-indexed-sparse,13,25,32,24,0.027222,1.0,0.027222,0.0,0.710084,0.114583,0.86,0.027422,0.95223,0.733117,0
seed,learned_threshold_0.95,0.95,wpu-cws-indexed-sparse,13,25,32,24,0.027222,1.0,0.027222,0.0,0.710084,0.114583,0.86,0.027422,0.95223,0.733117,0
seed,learned_threshold_0.975,0.975,wpu-cws-indexed-sparse,13,25,32,24,0.027222,1.0,0.027222,0.0,0.710084,0.114583,0.86,0.027422,0.95223,0.733117,0
seed,learned_top_rate_0.1,0.1,wpu-cws-indexed-sparse,13,25,32,24,0.027222,1.0,0.027222,0.0,0.710084,0.114583,0.86,0.027422,0.95223,0.733117,0
seed,learned_top_rate_0.15,0.15,wpu-cws-indexed-sparse,13,25,32,24,0.027222,1.0,0.027222,0.0,0.710084,0.114583,0.865,0.027261,0.95223,0.731891,0
seed,learned_top_rate_0.2,0.2,wpu-cws-indexed-sparse,13,25,32,24,0.027222,1.0,0.027222,0.0,0.710084,0.114583,0.868333,0.027155,0.95223,0.731074,0
seed,learned_top_rate_0.25,0.25,wpu-cws-indexed-sparse,13,25,32,24,0.027222,1.0,0.027222,0.0,0.710084,0.114583,0.868333,0.027155,0.95223,0.731074,0
seed,learned_top_rate_0.3,0.3,wpu-cws-indexed-sparse,13,25,32,24,0.027222,1.0,0.027222,0.0,0.710084,0.114583,0.87,0.027104,0.95223,0.730665,0
summary,always_selective,0.0,wpu-cws-indexed-sparse,all,25,32,48,0.027222,1.0,0.027222,0.0,0.702175,0.08246500000000001,1.0,0.021726,0.9589305,0.705672,0
summary,learned_threshold_0.5,0.5,wpu-cws-indexed-sparse,all,25,32,48,0.027222,1.0,0.027222,0.0,0.702175,0.08246500000000001,0.7916665,0.027451999999999997,0.9589305,0.7568965000000001,0
summary,learned_threshold_0.6,0.6,wpu-cws-indexed-sparse,all,25,32,48,0.027222,1.0,0.027222,0.0,0.702175,0.08246500000000001,0.7916665,0.027451999999999997,0.9589305,0.7568965000000001,0
summary,learned_threshold_0.7,0.7,wpu-cws-indexed-sparse,all,25,32,48,0.027222,1.0,0.027222,0.0,0.702175,0.08246500000000001,0.7916665,0.027451999999999997,0.9589305,0.7568965000000001,0
summary,learned_threshold_0.8,0.8,wpu-cws-indexed-sparse,all,25,32,48,0.027222,1.0,0.027222,0.0,0.702175,0.08246500000000001,0.7916665,0.027451999999999997,0.9589305,0.7568965000000001,0
summary,learned_threshold_0.9,0.9,wpu-cws-indexed-sparse,all,25,32,48,0.027222,1.0,0.027222,0.0,0.702175,0.08246500000000001,0.7916665,0.027451999999999997,0.9589305,0.7568965000000001,0
summary,learned_threshold_0.95,0.95,wpu-cws-indexed-sparse,all,25,32,48,0.027222,1.0,0.027222,0.0,0.702175,0.08246500000000001,0.7916665,0.027451999999999997,0.9589305,0.7568965000000001,0
summary,learned_threshold_0.975,0.975,wpu-cws-indexed-sparse,all,25,32,48,0.027222,1.0,0.027222,0.0,0.702175,0.08246500000000001,0.7916665,0.027451999999999997,0.9589305,0.7568965000000001,0
summary,learned_top_rate_0.1,0.1,wpu-cws-indexed-sparse,all,25,32,48,0.027222,1.0,0.027222,0.0,0.702175,0.08246500000000001,0.8116665000000001,0.0267255,0.9589305,0.7520055,0
summary,learned_top_rate_0.15,0.15,wpu-cws-indexed-sparse,all,25,32,48,0.027222,1.0,0.027222,0.0,0.702175,0.08246500000000001,0.8191665,0.026474499999999998,0.9589305,0.750168,0
summary,learned_top_rate_0.2,0.2,wpu-cws-indexed-sparse,all,25,32,48,0.027222,1.0,0.027222,0.0,0.702175,0.08246500000000001,0.8241665,0.0263105,0.9589305,0.7489425000000001,0
summary,learned_top_rate_0.25,0.25,wpu-cws-indexed-sparse,all,25,32,48,0.027222,1.0,0.027222,0.0,0.702175,0.08246500000000001,0.8275,0.026202,0.9589305,0.7481255,0
summary,learned_top_rate_0.3,0.3,wpu-cws-indexed-sparse,all,25,32,48,0.027222,1.0,0.027222,0.0,0.702175,0.08246500000000001,0.8300000000000001,0.026122,0.9589305,0.7475125,0
summary,no_correction,0.0,wpu-cws-indexed-sparse,all,25,32,48,0.027222,1.0,0.027222,0.7916665,0.7138595,0.081597,0.0,0.0,0.523279,0.523279,0
