row_type,policy,gate_kind,train_mechanism,eval_mechanism,seed,background_objects,total_objects_n,samples,penalty,dense_recompute_rate,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,source_gate_train_benefit_mse,fewshot_gate_train_benefit_mse,seed_count
seed,wpu_sparse,none,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,-1.0,0.0,0.833333,0.75,0.321675,0.981581,0.589578,0.451857,4.025,1.0,0.0,0.035898,0.026655,1
seed,wpu_local_dense,none,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,-1.0,1.0,0.583333,0.75,0.497221,0.96077,0.577432,0.196645,4.025,1.0,0.0,0.035898,0.026655,1
seed,source_learned_p0.00,source,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.0,0.444444,0.722222,0.75,0.390732,0.940575,0.561772,0.320985,4.025,1.0,0.0,0.035898,0.026655,1
seed,source_learned_p0.01,source,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.01,0.388889,0.777778,0.75,0.381089,0.935647,0.558356,0.375626,4.025,1.0,0.0,0.035898,0.026655,1
seed,source_learned_p0.02,source,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.02,0.305556,0.833333,0.75,0.367138,0.930512,0.554589,0.430296,4.025,1.0,0.0,0.035898,0.026655,1
seed,source_learned_p0.04,source,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.04,0.222222,0.833333,0.75,0.352247,0.940491,0.561049,0.434508,4.025,1.0,0.0,0.035898,0.026655,1
seed,source_learned_p0.08,source,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.08,0.111111,0.833333,0.75,0.334942,0.953068,0.569302,0.438963,4.025,1.0,0.0,0.035898,0.026655,1
seed,source_learned_p0.12,source,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.12,0.027778,0.833333,0.75,0.323922,0.972853,0.583191,0.447893,4.025,1.0,0.0,0.035898,0.026655,1
seed,fewshot_learned_p0.00,fewshot,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.0,0.527778,0.805556,0.75,0.420299,0.921209,0.552568,0.397327,4.025,1.0,0.0,0.035898,0.026655,1
seed,fewshot_learned_p0.01,fewshot,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.01,0.5,0.805556,0.75,0.415022,0.920856,0.55213,0.397191,4.025,1.0,0.0,0.035898,0.026655,1
seed,fewshot_learned_p0.02,fewshot,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.02,0.416667,0.833333,0.75,0.399122,0.918636,0.550061,0.425044,4.025,1.0,0.0,0.035898,0.026655,1
seed,fewshot_learned_p0.04,fewshot,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.04,0.388889,0.833333,0.75,0.393968,0.918437,0.549727,0.424966,4.025,1.0,0.0,0.035898,0.026655,1
seed,fewshot_learned_p0.08,fewshot,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.08,0.25,0.833333,0.75,0.36432,0.930426,0.555829,0.428951,4.025,1.0,0.0,0.035898,0.026655,1
seed,fewshot_learned_p0.12,fewshot,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.12,0.111111,0.833333,0.75,0.330957,0.946662,0.56402,0.436026,4.025,1.0,0.0,0.035898,0.026655,1
seed,wpu_sparse,none,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,-1.0,0.0,0.638889,0.583333,0.793623,1.021235,0.613323,0.254434,4.475,1.0,0.0,0.035898,0.087305,1
seed,wpu_local_dense,none,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,-1.0,1.0,0.583333,0.583333,0.909602,0.980302,0.570721,0.117356,4.475,1.0,0.0,0.035898,0.087305,1
seed,source_learned_p0.00,source,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,0.0,0.611111,0.638889,0.583333,0.849546,0.977425,0.570331,0.186397,4.475,1.0,0.0,0.035898,0.087305,1
seed,source_learned_p0.01,source,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,0.01,0.611111,0.638889,0.583333,0.849546,0.977425,0.570331,0.186397,4.475,1.0,0.0,0.035898,0.087305,1
seed,source_learned_p0.02,source,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,0.02,0.583333,0.638889,0.583333,0.844996,0.967565,0.564003,0.162955,4.475,1.0,0.0,0.035898,0.087305,1
seed,source_learned_p0.04,source,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,0.04,0.527778,0.638889,0.583333,0.837469,0.965047,0.56321,0.169803,4.475,1.0,0.0,0.035898,0.087305,1
seed,source_learned_p0.08,source,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,0.08,0.444444,0.638889,0.583333,0.82444,0.965875,0.566109,0.183231,4.475,1.0,0.0,0.035898,0.087305,1
seed,source_learned_p0.12,source,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,0.12,0.166667,0.638889,0.583333,0.802695,1.009947,0.60204,0.227921,4.475,1.0,0.0,0.035898,0.087305,1
seed,fewshot_learned_p0.00,fewshot,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,0.0,0.777778,0.555556,0.583333,0.885344,0.997032,0.585045,0.11957,4.475,1.0,0.0,0.035898,0.087305,1
seed,fewshot_learned_p0.01,fewshot,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,0.01,0.722222,0.583333,0.583333,0.875892,0.991936,0.581143,0.113861,4.475,1.0,0.0,0.035898,0.087305,1
seed,fewshot_learned_p0.02,fewshot,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,0.02,0.666667,0.583333,0.583333,0.866724,0.974812,0.570099,0.15861,4.475,1.0,0.0,0.035898,0.087305,1
seed,fewshot_learned_p0.04,fewshot,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,0.04,0.611111,0.611111,0.583333,0.85826,0.956724,0.558539,0.1768,4.475,1.0,0.0,0.035898,0.087305,1
seed,fewshot_learned_p0.08,fewshot,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,0.08,0.527778,0.638889,0.583333,0.844676,0.949885,0.554427,0.17756,4.475,1.0,0.0,0.035898,0.087305,1
seed,fewshot_learned_p0.12,fewshot,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,0.12,0.444444,0.638889,0.583333,0.83666,0.975114,0.572774,0.18897,4.475,1.0,0.0,0.035898,0.087305,1
seed,wpu_sparse,none,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,11,32,37,36,-1.0,0.0,0.694444,0.527778,0.13851,1.037931,0.62624,0.313167,4.85,1.0,0.0,0.035898,0.041778,1
seed,wpu_local_dense,none,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,11,32,37,36,-1.0,1.0,0.416667,0.527778,0.324746,1.037804,0.620676,0.200819,4.85,1.0,0.0,0.035898,0.041778,1
