row_type,seed,mechanism,policy,selected_form,samples,delta_mse,sign_accuracy,calibration_mse,revision_decision,relative_improvement,law_residual_gap,revision_gap,seed_count
seed,11,nominal,base_law,base,48,0.025387,0.958333,0.002223,baseline,0.000000,0.010785,0.014602,1
seed,11,nominal,gain_calibrated_law,gain_scaled_base,48,0.026589,0.958333,0.002071,keep_base_or_collect_data,0.000000,0.010785,0.015803,1
seed,11,nominal,form_revised_law,edge_form,48,0.034397,1.000000,0.000172,keep_base_or_collect_data,0.000000,0.010785,0.023611,1
seed,11,nominal,oracle_form_law,edge_form,48,0.010785,0.979167,0.005722,accept_revision,0.575173,0.010785,0.000000,1
seed,11,high_force,base_law,base,48,0.087877,1.000000,0.042473,baseline,0.000000,0.018811,0.069066,1
seed,11,high_force,gain_calibrated_law,gain_scaled_base,48,0.076691,1.000000,0.039038,accept_revision,0.127292,0.018811,0.057880,1
seed,11,high_force,form_revised_law,catch_form,48,0.037736,0.812500,0.006203,accept_revision,0.570586,0.018811,0.018925,1
seed,11,high_force,oracle_form_law,catch_form,48,0.018811,1.000000,0.015827,accept_revision,0.785941,0.018811,0.000000,1
seed,11,edge_shift,base_law,base,48,0.679741,0.729167,0.026392,baseline,0.000000,0.086658,0.593083,1
seed,11,edge_shift,gain_calibrated_law,gain_scaled_base,48,0.651157,0.729167,0.025633,keep_base_or_collect_data,0.042052,0.086658,0.564499,1
seed,11,edge_shift,form_revised_law,catch_form,48,0.580136,0.604167,0.011617,accept_revision,0.146534,0.086658,0.493478,1
seed,11,edge_shift,oracle_form_law,edge_form,48,0.086658,0.562500,0.170524,accept_revision,0.872513,0.086658,0.000000,1
seed,11,catch_heavy,base_law,base,48,0.013143,0.875000,0.002541,baseline,0.000000,0.009157,0.003986,1
seed,11,catch_heavy,gain_calibrated_law,gain_scaled_base,48,0.013064,0.875000,0.002501,keep_base_or_collect_data,0.006036,0.009157,0.003907,1
seed,11,catch_heavy,form_revised_law,quadratic_form,48,0.017157,0.937500,0.000105,keep_base_or_collect_data,0.000000,0.009157,0.008000,1
seed,11,catch_heavy,oracle_form_law,catch_form,48,0.009157,0.937500,0.005740,accept_revision,0.303296,0.009157,0.000000,1
seed,13,nominal,base_law,base,48,0.024920,0.958333,0.002245,baseline,0.000000,0.010640,0.014280,1
seed,13,nominal,gain_calibrated_law,gain_scaled_base,48,0.026214,0.958333,0.002117,keep_base_or_collect_data,0.000000,0.010640,0.015573,1
seed,13,nominal,form_revised_law,quadratic_form,48,0.036321,0.979167,0.000151,keep_base_or_collect_data,0.000000,0.010640,0.025680,1
seed,13,nominal,oracle_form_law,edge_form,48,0.010640,0.979167,0.005500,accept_revision,0.573022,0.010640,0.000000,1
seed,13,high_force,base_law,base,48,0.086011,1.000000,0.037431,baseline,0.000000,0.018535,0.067476,1
seed,13,high_force,gain_calibrated_law,gain_scaled_base,48,0.077844,1.000000,0.035627,keep_base_or_collect_data,0.094945,0.018535,0.059310,1
seed,13,high_force,form_revised_law,catch_form,48,0.036384,0.833333,0.007462,accept_revision,0.576983,0.018535,0.017849,1
seed,13,high_force,oracle_form_law,catch_form,48,0.018535,1.000000,0.016998,accept_revision,0.784508,0.018535,0.000000,1
seed,13,edge_shift,base_law,base,48,0.680349,0.729167,0.028249,baseline,0.000000,0.086784,0.593564,1
seed,13,edge_shift,gain_calibrated_law,gain_scaled_base,48,0.632500,0.729167,0.026186,keep_base_or_collect_data,0.070330,0.086784,0.545716,1
seed,13,edge_shift,form_revised_law,catch_form,48,0.546487,0.687500,0.007508,accept_revision,0.196755,0.086784,0.459702,1
