accuracy_delta,accuracy_safe,all_safe,best_low_cost_accuracy_delta,best_low_cost_brier_delta,best_low_cost_cost,best_low_cost_ece_delta,best_low_cost_policy,best_safe_accuracy_delta,best_safe_brier_delta,best_safe_cost,best_safe_ece_delta,best_safe_policy,branch_accuracy,brier,brier_delta,calibration_safe,cost_budget,dense_recompute_rate,ece,ece_delta,low_cost,lowest_cost_safe_cost,lowest_cost_safe_policy,mechanism,nll,nll_delta,policy,row_type,safe_policy_count
,,,0.072751,-0.040653,0.236773,0.024656,edge_catch_heavy=fewshot_learned_p0.08; edge_high_force=source_learned_p0.12; no_catch=source_learned_p0.08,0.0291,-0.030758,0.247355,-0.001652,edge_catch_heavy=wpu_sparse; edge_high_force=fewshot_learned_p0.01; no_catch=wpu_sparse,0.510582,0.646535,,,0.25,0.0,0.201734,,,0.107143,edge_catch_heavy=wpu_sparse; edge_high_force=source_learned_p0.12; no_catch=wpu_sparse,,1.069807,,sparse_reference,summary,4
0.0,,,,,,,,,,,,,0.40873,0.666421,0.0,,,0.0,0.130788,0.0,,,,edge_catch_heavy,,,wpu_sparse,no_safe_candidate,
0.087301,,,,,,,,,,,,,0.65873,0.546258,-0.092275,,,0.742064,0.191554,-0.004957,,,,edge_high_force,,,fewshot_learned_p0.01,mechanism_safe_best,
0.0,,,,,,,,,,,,,0.551587,0.634652,0.0,,,0.0,0.277903,0.0,,,,no_catch,,,wpu_sparse,no_safe_candidate,
0.0291,True,True,,,,,,,,,,,0.539682,0.615777,-0.030758,True,0.25,0.247355,0.200082,-0.001652,True,,,,1.029776,-0.04003,edge_catch_heavy=wpu_sparse; edge_high_force=fewshot_learned_p0.01; no_catch=wpu_sparse,policy,
0.027778,True,True,,,,,,,,,,,0.53836,0.623103,-0.023432,True,0.25,0.18254,0.201494,-0.00024,True,,,,1.038719,-0.031087,edge_catch_heavy=fewshot_learned_p0.04; edge_high_force=source_learned_p0.12; no_catch=wpu_sparse,policy,
0.025132,True,True,,,,,,,,,,,0.535714,0.624777,-0.021758,True,0.25,0.146826,0.201666,-6.8e-05,True,,,,1.041787,-0.02802,edge_catch_heavy=source_learned_p0.12; edge_high_force=source_learned_p0.12; no_catch=wpu_sparse,policy,
0.017196,True,True,,,,,,,,,,,0.527778,0.626462,-0.020073,True,0.25,0.107143,0.20023,-0.001504,True,,,,1.043347,-0.02646,edge_catch_heavy=wpu_sparse; edge_high_force=source_learned_p0.12; no_catch=wpu_sparse,policy,
0.0,True,True,,,,,,,,,,,0.510582,0.646535,0.0,True,0.25,0.0,0.201734,0.0,True,,,,1.069807,0.0,edge_catch_heavy=wpu_sparse; edge_high_force=wpu_sparse; no_catch=wpu_sparse,policy,
0.072751,True,False,,,,,,,,,,,0.583333,0.605882,-0.040653,False,0.25,0.236773,0.22639,0.024656,True,,,,1.014014,-0.055793,edge_catch_heavy=fewshot_learned_p0.08; edge_high_force=source_learned_p0.12; no_catch=source_learned_p0.08,policy,
0.072751,True,False,,,,,,,,,,,0.583333,0.605313,-0.041222,False,0.25,0.231481,0.23094,0.029206,True,,,,1.013926,-0.055881,edge_catch_heavy=fewshot_learned_p0.12; edge_high_force=fewshot_learned_p0.12; no_catch=source_learned_p0.12,policy,
0.068783,True,False,,,,,,,,,,,0.579365,0.606325,-0.040211,False,0.25,0.246032,0.223984,0.02225,True,,,,1.015964,-0.053842,edge_catch_heavy=source_learned_p0.12; edge_high_force=fewshot_learned_p0.12; no_catch=source_learned_p0.12,policy,
0.068783,True,False,,,,,,,,,,,0.579365,0.605049,-0.041486,False,0.25,0.240741,0.227657,0.025923,True,,,,1.013568,-0.056239,edge_catch_heavy=fewshot_learned_p0.08; edge_high_force=source_learned_p0.08; no_catch=source_learned_p0.12,policy,
0.06746,True,False,,,,,,,,,,,0.578042,0.603997,-0.042539,False,0.25,0.231481,0.22531,0.023576,True,,,,1.011788,-0.058019,edge_catch_heavy=wpu_sparse; edge_high_force=fewshot_learned_p0.12; no_catch=source_learned_p0.08,policy,
0.06746,True,False,,,,,,,,,,,0.578042,0.605681,-0.040855,False,0.25,0.243387,0.227377,0.025643,True,,,,1.013692,-0.056115,edge_catch_heavy=fewshot_learned_p0.12; edge_high_force=source_learned_p0.12; no_catch=source_learned_p0.04,policy,
0.066138,True,False,,,,,,,,,,,0.57672,0.609895,-0.03664,False,0.25,0.21164,0.223628,0.021894,True,,,,1.01975,-0.050056,edge_catch_heavy=fewshot_learned_p0.08; edge_high_force=source_learned_p0.12; no_catch=source_learned_p0.12,policy,
0.066138,True,False,,,,,,,,,,,0.57672,0.620256,-0.026279,False,0.25,0.165344,0.237439,0.035705,True,,,,1.032706,-0.0371,edge_catch_heavy=fewshot_learned_p0.08; edge_high_force=wpu_sparse; no_catch=fewshot_learned_p0.12,policy,
0.066138,True,False,,,,,,,,,,,0.57672,0.618486,-0.028049,False,0.25,0.206349,0.238637,0.036903,True,,,,1.030081,-0.039726,edge_catch_heavy=fewshot_learned_p0.08; edge_high_force=wpu_sparse; no_catch=fewshot_learned_p0.08,policy,
0.066137,True,False,,,,,,,,,,,0.576719,0.603115,-0.04342,False,0.25,0.244709,0.22625,0.024516,True,,,,1.010815,-0.058992,edge_catch_heavy=fewshot_learned_p0.12; edge_high_force=source_learned_p0.08; no_catch=source_learned_p0.08,policy,
0.063492,True,False,,,,,,,,,,,0.574074,0.607961,-0.038574,False,0.25,0.215609,0.222221,0.020487,True,,,,1.016997,-0.05281,edge_catch_heavy=fewshot_learned_p0.12; edge_high_force=source_learned_p0.12; no_catch=source_learned_p0.08,policy,
0.062169,True,False,,,,,,,,,,,0.572751,0.606417,-0.040118,False,0.25,0.239418,0.222439,0.020705,True,,,,1.015411,-0.054396,edge_catch_heavy=wpu_sparse; edge_high_force=fewshot_learned_p0.08; no_catch=source_learned_p0.12,policy,
0.062169,True,False,,,,,,,,,,,0.572751,0.604959,-0.041576,False,0.25,0.226191,0.223373,0.021639,True,,,,1.012829,-0.056978,edge_catch_heavy=wpu_sparse; edge_high_force=source_learned_p0.12; no_catch=fewshot_learned_p0.12,policy,
0.062169,True,False,,,,,,,,,,,0.572751,0.604096,-0.042439,False,0.25,0.243386,0.223652,0.021918,True,,,,1.012718,-0.057089,edge_catch_heavy=fewshot_learned_p0.12; edge_high_force=source_learned_p0.04; no_catch=source_learned_p0.12,policy,
0.062169,True,False,,,,,,,,,,,0.572751,0.621156,-0.025379,False,0.25,0.239418,0.234762,0.033028,True,,,,1.034717,-0.03509,edge_catch_heavy=source_learned_p0.01; edge_high_force=wpu_sparse; no_catch=fewshot_learned_p0.12,policy,
0.060847,True,False,,,,,,,,,,,0.571429,0.60801,-0.038526,False,0.25,0.206349,0.222548,0.020814,True,,,,1.017525,-0.052282,edge_catch_heavy=wpu_sparse; edge_high_force=fewshot_learned_p0.12; no_catch=source_learned_p0.12,policy,
0.059524,True,False,,,,,,,,,,,0.570106,0.608973,-0.037563,False,0.25,0.230159,0.215265,0.013531,True,,,,1.019036,-0.050771,edge_catch_heavy=source_learned_p0.12; edge_high_force=source_learned_p0.12; no_catch=source_learned_p0.08,policy,
0.059524,True,False,,,,,,,,,,,0.570106,0.607128,-0.039407,False,0.25,0.219577,0.223488,0.021754,True,,,,1.016551,-0.053255,edge_catch_heavy=fewshot_learned_p0.12; edge_high_force=source_learned_p0.08; no_catch=source_learned_p0.12,policy,
