row_type,seed,sample_index,background_objects,corruption,total_objects,corrupted_objects,identity_recall,semantic_identity_consistency,relation_precision,relation_recall,frontier_recall,selected_k,objectification_score,identity_coverage_report,relation_validity_report,object_confidence_report,relation_confidence_report,delta_locality_report,sample_count
sample,11,0,32,clean,36,36,1.000000,1.000000,1.000000,1.000000,1.000000,4,0.943778,1.000000,1.000000,0.990000,0.728889,1.000000,1
sample,11,0,32,drop_relations_heavy,36,36,1.000000,1.000000,1.000000,0.916667,0.500000,2,0.939697,1.000000,1.000000,0.990000,0.708485,1.000000,1
sample,11,0,32,drop_objects_light,36,30,0.833333,0.833333,1.000000,0.833333,1.000000,4,0.944933,1.000000,1.000000,0.990000,0.734667,1.000000,1
sample,11,0,32,position_noise,36,36,1.000000,0.722222,1.000000,1.000000,1.000000,4,0.943778,1.000000,1.000000,0.990000,0.728889,1.000000,1
sample,11,0,32,low_confidence,36,36,1.000000,1.000000,1.000000,1.000000,1.000000,4,0.789078,1.000000,1.000000,0.544500,0.400889,1.000000,1
sample,11,0,32,identity_swap,36,36,1.000000,0.944444,1.000000,1.000000,1.000000,4,0.943778,1.000000,1.000000,0.990000,0.728889,1.000000,1
sample,11,0,32,combined,36,33,0.916667,0.861111,1.000000,0.888889,0.750000,3,0.839925,1.000000,1.000000,0.693000,0.506625,1.000000,1
sample,11,1,32,clean,37,37,1.000000,1.000000,1.000000,1.000000,1.000000,5,0.944865,1.000000,1.000000,0.990000,0.734324,1.000000,1
sample,11,1,32,drop_relations_heavy,37,37,1.000000,1.000000,1.000000,0.945946,0.800000,4,0.942114,1.000000,1.000000,0.990000,0.720571,1.000000,1
sample,11,1,32,drop_objects_light,37,31,0.837838,0.837838,1.000000,0.810811,0.600000,3,0.941400,1.000000,1.000000,0.990000,0.717000,1.000000,1
sample,11,1,32,position_noise,37,37,1.000000,0.567568,1.000000,1.000000,1.000000,5,0.944865,1.000000,1.000000,0.990000,0.734324,1.000000,1
sample,11,1,32,low_confidence,37,37,1.000000,1.000000,1.000000,1.000000,1.000000,5,0.789676,1.000000,1.000000,0.544500,0.403878,1.000000,1
sample,11,1,32,identity_swap,37,37,1.000000,0.945946,1.000000,1.000000,1.000000,5,0.944865,1.000000,1.000000,0.990000,0.734324,1.000000,1
sample,11,1,32,combined,37,32,0.864865,0.864865,1.000000,0.837838,0.600000,3,0.838903,1.000000,1.000000,0.693000,0.501516,1.000000,1
sample,11,2,32,clean,36,36,1.000000,1.000000,1.000000,1.000000,1.000000,4,0.943778,1.000000,1.000000,0.990000,0.728889,1.000000,1
sample,11,2,32,drop_relations_heavy,36,36,1.000000,1.000000,1.000000,0.944444,0.750000,3,0.941176,1.000000,1.000000,0.990000,0.715882,1.000000,1
sample,11,2,32,drop_objects_light,36,31,0.861111,0.861111,1.000000,0.861111,1.000000,4,0.944710,1.000000,1.000000,0.990000,0.733548,1.000000,1
sample,11,2,32,position_noise,36,36,1.000000,0.611111,1.000000,1.000000,1.000000,4,0.943778,1.000000,1.000000,0.990000,0.728889,1.000000,1
sample,11,2,32,low_confidence,36,36,1.000000,1.000000,1.000000,1.000000,1.000000,4,0.789078,1.000000,1.000000,0.544500,0.400889,1.000000,1
sample,11,2,32,identity_swap,36,36,1.000000,0.944444,1.000000,1.000000,1.000000,4,0.943778,1.000000,1.000000,0.990000,0.728889,1.000000,1
sample,11,2,32,combined,36,32,0.888889,0.833333,1.000000,0.833333,0.750000,3,0.838887,1.000000,1.000000,0.693000,0.501433,1.000000,1
sample,11,3,32,clean,36,36,1.000000,1.000000,1.000000,1.000000,1.000000,4,0.943778,1.000000,1.000000,0.990000,0.728889,1.000000,1
sample,11,3,32,drop_relations_heavy,36,36,1.000000,1.000000,1.000000,0.944444,0.750000,3,0.940882,1.000000,1.000000,0.990000,0.714412,1.000000,1
sample,11,3,32,drop_objects_light,36,31,0.861111,0.861111,1.000000,0.861111,0.750000,3,0.943032,1.000000,1.000000,0.990000,0.725161,1.000000,1
sample,11,3,32,position_noise,36,36,1.000000,0.694444,1.000000,1.000000,1.000000,4,0.943778,1.000000,1.000000,0.990000,0.728889,1.000000,1
sample,11,3,32,low_confidence,36,36,1.000000,1.000000,1.000000,1.000000,1.000000,4,0.789078,1.000000,1.000000,0.544500,0.400889,1.000000,1
sample,11,3,32,identity_swap,36,36,1.000000,0.944444,1.000000,1.000000,1.000000,4,0.943778,1.000000,1.000000,0.990000,0.728889,1.000000,1
sample,11,3,32,combined,36,33,0.916667,0.888889,1.000000,0.916667,0.750000,3,0.839909,1.000000,1.000000,0.693000,0.506545,1.000000,1
sample,11,4,32,clean,37,37,1.000000,1.000000,1.000000,1.000000,1.000000,5,0.944865,1.000000,1.000000,0.990000,0.734324,1.000000,1
sample,11,4,32,drop_relations_heavy,37,37,1.000000,1.000000,1.000000,0.891892,0.400000,2,0.939394,1.000000,1.000000,0.990000,0.706970,1.000000,1
sample,11,4,32,drop_objects_light,37,33,0.891892,0.891892,1.000000,0.891892,0.800000,4,0.944121,1.000000,1.000000,0.990000,0.730606,1.000000,1
sample,11,4,32,position_noise,37,37,1.000000,0.702703,1.000000,1.000000,1.000000,5,0.944865,1.000000,1.000000,0.990000,0.734324,1.000000,1
sample,11,4,32,low_confidence,37,37,1.000000,1.000000,1.000000,1.000000,1.000000,5,0.789676,1.000000,1.000000,0.544500,0.403878,1.000000,1
sample,11,4,32,identity_swap,37,37,1.000000,0.945946,1.000000,1.000000,1.000000,5,0.944865,1.000000,1.000000,0.990000,0.734324,1.000000,1
sample,11,4,32,combined,37,34,0.918919,0.918919,1.000000,0.891892,0.600000,3,0.839697,1.000000,1.000000,0.693000,0.505485,1.000000,1
sample,11,5,32,clean,37,37,1.000000,1.000000,1.000000,1.000000,1.000000,5,0.944865,1.000000,1.000000,0.990000,0.734324,1.000000,1
sample,11,5,32,drop_relations_heavy,37,37,1.000000,1.000000,1.000000,0.918919,0.600000,3,0.941000,1.000000,1.000000,0.990000,0.715000,1.000000,1
