background_objects,branch_accuracy,corruption,frontier_causal_recall_mean,identity_coverage,majority_accuracy,model,model_causal_recall_mean,mse,object_confidence,object_count_mean,objectification_score,relation_confidence,relation_count_mean,relation_validity,seed,selected_k_mean,total_objects_n
32,0.555556,clean,1.0,1.0,0.333333,wpu-cws-indexed-sparse,1.0,0.204049,0.99,36.416667,0.944231,0.731154,36.416667,1.0,11,4.45,37
32,0.555556,drop_relations_light,0.85,1.0,0.333333,wpu-cws-indexed-sparse,1.0,0.202087,0.99,36.416667,0.943036,0.725181,35.5,1.0,11,3.775,37
32,0.555556,drop_relations_heavy,0.611111,1.0,0.333333,wpu-cws-indexed-sparse,1.0,0.248463,0.99,36.416667,0.941014,0.715071,34.027778,1.0,11,2.75,37
32,0.555556,position_noise,1.0,1.0,0.333333,wpu-cws-indexed-sparse,1.0,0.204054,0.99,36.416667,0.944231,0.731154,36.416667,1.0,11,4.45,37
32,0.5,low_confidence,1.0,1.0,0.333333,wpu-cws-indexed-sparse,1.0,0.203974,0.5445,36.416667,0.789327,0.402135,36.416667,1.0,11,4.45,37
32,0.555556,identity_swap,1.0,1.0,0.333333,wpu-cws-indexed-sparse,1.0,0.204049,0.99,36.416667,0.944231,0.731154,36.416667,1.0,11,4.45,37
32,0.555556,combined,0.784722,1.0,0.333333,wpu-cws-indexed-sparse,1.0,0.226695,0.693,31.583333,0.839911,0.506556,30.166667,1.0,11,3.475,37
32,0.5,clean,1.0,1.0,0.333333,wpu-cws-indexed-sparse,1.0,0.302739,0.99,36.444444,0.944261,0.731305,36.444444,1.0,13,4.475,37
32,0.5,drop_relations_light,0.845833,1.0,0.333333,wpu-cws-indexed-sparse,1.0,0.320776,0.99,36.444444,0.942765,0.723826,35.277778,1.0,13,3.775,37
32,0.5,drop_relations_heavy,0.593056,1.0,0.333333,wpu-cws-indexed-sparse,1.0,0.433038,0.99,36.444444,0.940631,0.713154,33.75,1.0,13,2.65,37
32,0.527778,position_noise,1.0,1.0,0.333333,wpu-cws-indexed-sparse,1.0,0.302952,0.99,36.444444,0.944261,0.731305,36.444444,1.0,13,4.475,37
32,0.5,low_confidence,1.0,1.0,0.333333,wpu-cws-indexed-sparse,1.0,0.299636,0.5445,36.444444,0.789344,0.402218,36.444444,1.0,13,4.475,37
