row_type,mechanism_prior_strength,eval_mechanism,best_wpu,best_baseline,wpu_accuracy,baseline_accuracy,wpu_minus_baseline,majority_accuracy,majority_minus_wpu,wpu_ece,baseline_ece,wpu_brier,baseline_brier,wpu_win,prior_dominated,shifted,shifted_wpu_win_rate,shifted_mechanism_count
mechanism,0.0,catch_heavy,wpu-cws-indexed-local-dense,serialized-token,0.40873,0.349206,0.059524,0.753968,0.345238,0.264469,0.219188,0.688479,0.650279,True,True,True,,
mechanism,0.0,edge_shift,wpu-cws-indexed-sparse,serialized-token,0.527778,0.571428,-0.04365,0.515873,-0.011905,0.212969,0.18707,0.60769,0.592148,False,False,True,,
mechanism,0.0,high_force,wpu-cws-indexed-local-dense,serialized-token,0.43254,0.460318,-0.027778,0.424603,-0.007937,0.31382,0.210711,0.736105,0.663026,False,False,True,,
mechanism,0.0,nominal,wpu-cws-indexed-sparse,serialized-token,0.444445,0.5,-0.055555,0.468254,0.023809,0.118385,0.131319,0.628308,0.609825,False,False,False,,
mechanism,0.25,catch_heavy,wpu-cws-indexed-sparse,serialized-token,0.674603,0.579365,0.095238,0.753968,0.079365,0.25456,0.161882,0.561287,0.560913,True,True,True,,
mechanism,0.25,edge_shift,wpu-cws-indexed-sparse,serialized-token,0.619048,0.638889,-0.019841,0.515873,-0.103175,0.194883,0.176852,0.580533,0.547134,False,False,True,,
mechanism,0.25,high_force,wpu-cws-indexed-local-dense,graph-transformer,0.428571,0.428571,0.0,0.424603,-0.003968,0.377047,0.379064,0.813441,0.826413,True,False,True,,
mechanism,0.25,nominal,wpu-cws-indexed-sparse,serialized-token,0.5,0.503968,-0.003968,0.468254,-0.031746,0.139856,0.130371,0.637051,0.61442,False,False,False,,
mechanism,0.5,catch_heavy,wpu-cws-indexed-sparse,serialized-token,0.730159,0.674603,0.055556,0.753968,0.023809,0.233865,0.155544,0.487971,0.491403,True,True,True,,
mechanism,0.5,edge_shift,wpu-cws-indexed-local-dense,serialized-token,0.630953,0.650794,-0.019841,0.515873,-0.11508,0.209004,0.145225,0.555295,0.534192,False,False,True,,
mechanism,0.5,high_force,wpu-cws-indexed-local-dense,graph-transformer,0.424603,0.424603,0.0,0.424603,0.0,0.428664,0.428627,0.88759,0.892827,True,False,True,,
mechanism,0.5,nominal,wpu-cws-indexed-sparse,serialized-token,0.480159,0.503968,-0.023809,0.468254,-0.011905,0.138434,0.168843,0.64789,0.620725,False,False,False,,
mechanism,0.75,catch_heavy,wpu-cws-indexed-sparse,serialized-token,0.753968,0.710317,0.043651,0.753968,0.0,0.182402,0.133396,0.439207,0.444213,True,False,True,,
mechanism,0.75,edge_shift,wpu-cws-indexed-local-dense,serialized-token,0.626984,0.642857,-0.015873,0.515873,-0.111111,0.226969,0.175225,0.567663,0.545651,False,False,True,,
mechanism,0.75,high_force,wpu-cws-indexed-local-dense,graph-transformer,0.424603,0.424603,0.0,0.424603,0.0,0.47042,0.467848,0.952565,0.952409,True,False,True,,
mechanism,0.75,nominal,wpu-cws-indexed-local-dense,graph-transformer,0.436508,0.503968,-0.06746,0.468254,0.031746,0.210939,0.215716,0.670574,0.668423,False,False,False,,
mechanism,1.0,catch_heavy,wpu-cws-indexed-sparse,serialized-token,0.753968,0.738095,0.015873,0.753968,0.0,0.123364,0.118641,0.413073,0.417589,True,False,True,,
mechanism,1.0,edge_shift,wpu-cws-indexed-local-dense,graph-transformer,0.607143,0.623016,-0.015873,0.515873,-0.09127,0.240886,0.245442,0.594803,0.586531,False,False,True,,
mechanism,1.0,high_force,wpu-cws-indexed-local-dense,graph-transformer,0.424603,0.424603,0.0,0.424603,0.0,0.501466,0.49827,1.005751,1.002547,True,False,True,,
mechanism,1.0,nominal,wpu-cws-indexed-local-dense,graph-transformer,0.448413,0.5,-0.051587,0.468254,0.019841,0.230146,0.225206,0.680749,0.677204,False,False,False,,
aggregate,0.0,shifted,,,0.456349,0.460317,-0.003968,0.564815,0.108465,0.263753,0.205656,0.677425,0.635151,,1,True,0.333333,3
aggregate,0.25,shifted,,,0.574074,0.548942,0.025132,0.564815,-0.009259,0.275497,0.239266,0.651754,0.64482,,1,True,0.666667,3
aggregate,0.5,shifted,,,0.595238,0.583333,0.011905,0.564815,-0.030424,0.290511,0.243132,0.643619,0.639474,,1,True,0.666667,3
aggregate,0.75,shifted,,,0.601852,0.592592,0.009259,0.564815,-0.037037,0.293264,0.258823,0.653145,0.647424,,0,True,0.666667,3
aggregate,1.0,shifted,,,0.595238,0.595238,0.0,0.564815,-0.030423,0.288572,0.287451,0.671209,0.668889,,0,True,0.666667,3
