background_objects,branch_entropy_mean,branch_flip_rate,constraint_violations_per_step,correct_on_violation,corrected_object_fraction,correction_entropy_threshold,correction_rate,correction_raw_delta_threshold,correction_stride,correction_violation_margin,delta_clip,delta_norm_mean,delta_norm_penalty,delta_target_norm_slack,escalation_model,escalation_rate,escalation_success_rate,final_majority_branch_ratio,finite_delta_clamp,horizon,integrity_projection,model,raw_delta_norm_mean,rollback_on_violation,rollback_rate,samples,seed,selected_k_mean,selective_correction,state_validity_penalty,unsafe_delta_reject_norm,unsafe_delta_rejection_rate
512,0.872592,0.078125,0.775,False,0.0,0.0,0.0,0.0,1,0,0.0,1.79176,0.0,0.5,,0.0,0.0,0.625,0.0,5,False,wpu-cws-indexed-mechanism-relation,2.337798,False,0.0,16,11,4.375,False,0.0,0.0,0.0
512,0.705632,0.076389,0.6125,False,0.0,0.0,0.0,0.0,1,0,0.0,3.721401,0.0,0.5,,0.0,0.0,1.0,0.0,10,False,wpu-cws-indexed-mechanism-relation,7.265933,False,0.0,16,11,4.375,False,0.0,0.0,0.0
512,0.282254,0.028646,2.795,False,0.0,0.0,0.0,0.0,1,0,0.0,1439775.048072,0.0,0.5,,0.0,0.0,1.0,0.0,25,False,wpu-cws-indexed-mechanism-relation,3977789.323783,False,0.0,16,11,4.375,False,0.0,0.0,0.0
512,0.986867,0.125,0.15,False,0.0,0.0,0.0,0.0,1,0,0.0,1.620755,0.0,0.5,,0.0,0.0,0.5625,0.0,5,False,wpu-cws-indexed-mechanism-relation,2.192465,False,0.0,16,13,4.375,False,0.0,0.0,0.0
512,0.95827,0.173611,0.35,False,0.0,0.0,0.0,0.0,1,0,0.0,5.54523,0.0,0.5,,0.0,0.0,1.0,0.0,10,False,wpu-cws-indexed-mechanism-relation,6.593254,False,0.0,16,13,4.375,False,0.0,0.0,0.0
512,0.386116,0.065104,3.365,False,0.0,0.0,0.0,0.0,1,0,0.0,3306452.676589,0.0,0.5,,0.0,0.0,1.0,0.0,25,False,wpu-cws-indexed-mechanism-relation,3757555.131053,False,0.0,16,13,4.375,False,0.0,0.0,0.0
512,0.928409,0.0625,0.2125,False,0.0,0.0,0.0,0.0,1,0,0.0,1.574032,0.0,0.5,,0.0,0.0,0.6875,0.0,5,False,wpu-cws-indexed-mechanism-relation,2.702861,False,0.0,16,17,4.3125,False,0.0,0.0,0.0
512,0.937862,0.083333,0.4875,False,0.0,0.0,0.0,0.0,1,0,0.0,4.391415,0.0,0.5,,0.0,0.0,0.875,0.0,10,False,wpu-cws-indexed-mechanism-relation,7.581197,False,0.0,16,17,4.3125,False,0.0,0.0,0.0
512,0.384153,0.036458,3.3825,False,0.0,0.0,0.0,0.0,1,0,0.0,2391250.689749,0.0,0.5,,0.0,0.0,1.0,0.0,25,False,wpu-cws-indexed-mechanism-relation,3901894.84235,False,0.0,16,17,4.3125,False,0.0,0.0,0.0
512,0.874431,0.125,0.3375,False,0.0,0.0,0.0,0.0,1,0,0.0,25.243384,0.0,0.5,,0.0,0.0,0.4375,0.0,5,False,graph-transformer,33.578944,False,0.0,16,11,516.375,False,0.0,0.0,0.0
512,0.920617,0.298611,0.55,False,0.0,0.0,0.0,0.0,1,0,0.0,28.520179,0.0,0.5,,0.0,0.0,1.0,0.0,10,False,graph-transformer,39.856692,False,0.0,16,11,516.375,False,0.0,0.0,0.0
512,0.976877,0.111979,0.805,False,0.0,0.0,0.0,0.0,1,0,0.0,27.559695,0.0,0.5,,0.0,0.0,1.0,0.0,25,False,graph-transformer,46.770447,False,0.0,16,11,516.375,False,0.0,0.0,0.0
512,0.988344,0.375,0.175,False,0.0,0.0,0.0,0.0,1,0,0.0,26.016513,0.0,0.5,,0.0,0.0,0.9375,0.0,5,False,graph-transformer,37.306431,False,0.0,16,13,516.375,False,0.0,0.0,0.0
512,1.005316,0.347222,0.35,False,0.0,0.0,0.0,0.0,1,0,0.0,30.705745,0.0,0.5,,0.0,0.0,1.0,0.0,10,False,graph-transformer,43.381481,False,0.0,16,13,516.375,False,0.0,0.0,0.0
512,1.011144,0.130208,18.0475,False,0.0,0.0,0.0,0.0,1,0,0.0,38.276405,0.0,0.5,,0.0,0.0,1.0,0.0,25,False,graph-transformer,54.46173,False,0.0,16,13,516.375,False,0.0,0.0,0.0
512,0.668574,0.265625,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,20.24171,0.0,0.5,,0.0,0.0,1.0,0.0,5,False,graph-transformer,34.724883,False,0.0,16,17,516.3125,False,0.0,0.0,0.0
512,0.793116,0.256944,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,19.692734,0.0,0.5,,0.0,0.0,1.0,0.0,10,False,graph-transformer,35.427595,False,0.0,16,17,516.3125,False,0.0,0.0,0.0
512,0.922122,0.096354,0.06,False,0.0,0.0,0.0,0.0,1,0,0.0,25.547271,0.0,0.5,,0.0,0.0,1.0,0.0,25,False,graph-transformer,40.81795,False,0.0,16,17,516.3125,False,0.0,0.0,0.0
512,1.060041,0.0625,0.3,False,0.0,0.0,0.0,0.0,1,0,0.0,21.388665,0.0,0.5,,0.0,0.0,0.5,0.0,5,False,serialized-token,27.146381,False,0.0,16,11,516.375,False,0.0,0.0,0.0
512,1.062924,0.125,0.65,False,0.0,0.0,0.0,0.0,1,0,0.0,31.175968,0.0,0.5,,0.0,0.0,1.0,0.0,10,False,serialized-token,37.554801,False,0.0,16,11,516.375,False,0.0,0.0,0.0
512,1.023416,0.046875,0.86,False,0.0,0.0,0.0,0.0,1,0,0.0,27.906381,0.0,0.5,,0.0,0.0,1.0,0.0,25,False,serialized-token,39.134188,False,0.0,16,11,516.375,False,0.0,0.0,0.0
512,1.027609,0.046875,0.0125,False,0.0,0.0,0.0,0.0,1,0,0.0,18.578486,0.0,0.5,,0.0,0.0,0.625,0.0,5,False,serialized-token,26.746259,False,0.0,16,13,516.375,False,0.0,0.0,0.0
512,0.985552,0.090278,0.00625,False,0.0,0.0,0.0,0.0,1,0,0.0,23.641754,0.0,0.5,,0.0,0.0,1.0,0.0,10,False,serialized-token,33.388217,False,0.0,16,13,516.375,False,0.0,0.0,0.0
