adaptive_delta_bounds,adaptive_delta_max,adaptive_delta_min,background_objects,bounded_delta_max,bounded_delta_position_max,bounded_delta_velocity_max,branch_entropy_mean,branch_flip_rate,branch_loss_weight,completed_training_steps,constraint_violations_per_step,correct_on_violation,corrected_object_fraction,correction_entropy_threshold,correction_rate,correction_raw_delta_threshold,correction_stride,correction_violation_margin,delta_clip,delta_loss_weight,delta_norm_mean,delta_norm_penalty,delta_target_norm_slack,escalation_model,escalation_rate,escalation_success_rate,eval_sim_steps,final_majority_branch_ratio,finite_delta_clamp,grad_clip_norm,horizon,integrity_projection,model,multihorizon_loss_weight,multihorizon_train_steps,nonfinite_gradient_steps,nonfinite_training_steps,raw_delta_norm_mean,rollback_on_violation,rollback_rate,rollout_branch_accuracy,rollout_delta_scale,samples,seed,selected_k_mean,selective_correction,skip_nonfinite_loss,state_validity_penalty,target_delta_loss_weight,target_object_position_mse,target_object_trajectory_mse,target_object_velocity_mse,train_sim_steps,trajectory_mse,trajectory_position_mse,trajectory_velocity_mse,unrolled_branch_loss_weight,unrolled_detach_between_steps,unrolled_train_horizons,unrolled_trajectory_loss_weight,unsafe_delta_reject_norm,unsafe_delta_rejection_rate
False,0.5,0.01,512,0.05,0.0,0.0,0.773511,0.0,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.236265,0.0,0.5,,0.0,0.0,80,0.375,0.0,0.0,5,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,2.017783,False,0.0,0.8125,1.0,16,11,4.375,False,True,0.0,0.0,0.042589,0.050507,0.058425,80,0.00043,0.000395,0.000465,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.79001,0.0,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.236971,0.0,0.5,,0.0,0.0,80,0.375,0.0,0.0,10,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,2.022227,False,0.0,0.8125,1.0,16,11,4.375,False,True,0.0,0.0,0.189068,0.209217,0.229365,80,0.001704,0.001591,0.001817,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.859464,0.005208,1.0,16,0.2875,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.23892,0.0,0.5,,0.0,0.0,80,0.4375,0.0,0.0,25,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,2.0394,False,0.0,0.8125,1.0,16,11,4.375,False,True,0.0,0.0,0.823531,1.013154,1.202777,80,0.009707,0.009178,0.010237,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.804922,0.03125,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.24053,0.0,0.5,,0.0,0.0,80,0.4375,0.0,0.0,5,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,1.884478,False,0.0,0.8125,1.0,16,13,4.375,False,True,0.0,0.0,13.484479,8.958102,4.431726,80,0.017707,0.026452,0.008962,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.829309,0.034722,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.240915,0.0,0.5,,0.0,0.0,80,0.625,0.0,0.0,10,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,1.82434,False,0.0,0.625,1.0,16,13,4.375,False,True,0.0,0.0,117.405234,61.358784,5.312333,80,0.120254,0.228752,0.011757,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.892332,0.013021,1.0,16,0.1875,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.240636,0.0,0.5,,0.0,0.0,80,0.625,0.0,0.0,25,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,1.789757,False,0.0,0.625,1.0,16,13,4.375,False,True,0.0,0.0,1065.117545,535.94109,6.764634,80,1.045953,2.070851,0.021054,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.725623,0.0,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.23982,0.0,0.5,,0.0,0.0,80,0.375,0.0,0.0,5,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,1.695376,False,0.0,0.9375,1.0,16,17,4.3125,False,True,0.0,0.0,13.509418,8.968857,4.428297,80,0.017728,0.026506,0.008951,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.766018,0.006944,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.2363,0.0,0.5,,0.0,0.0,80,0.4375,0.0,0.0,10,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,1.702955,False,0.0,0.875,1.0,16,17,4.3125,False,True,0.0,0.0,117.311535,61.301291,5.291046,80,0.12008,0.228445,0.011714,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.861266,0.015625,1.0,16,0.075,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.23087,0.0,0.5,,0.0,0.0,80,0.4375,0.0,0.0,25,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,1.86852,False,0.0,0.8125,1.0,16,17,4.3125,False,True,0.0,0.0,1069.921608,537.9268,5.931992,80,1.049424,2.079412,0.019436,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.673335,0.0,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.249846,0.0,0.5,,0.0,0.0,80,0.5,0.0,0.0,5,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,1.700326,False,0.0,0.8125,1.0,16,19,4.3125,False,True,0.0,0.0,14.086191,9.113272,4.140352,80,0.018042,0.027687,0.008396,0.0,True,,0.0,0.0,0.0
