adaptive_delta_bounds,adaptive_delta_max,adaptive_delta_min,background_objects,bounded_delta_max,bounded_delta_position_max,bounded_delta_velocity_max,branch_entropy_mean,branch_flip_rate,branch_loss_weight,completed_training_steps,constraint_violations_per_step,correct_on_violation,corrected_object_fraction,correction_entropy_threshold,correction_rate,correction_raw_delta_threshold,correction_stride,correction_violation_margin,delta_clip,delta_loss_weight,delta_norm_mean,delta_norm_penalty,delta_target_norm_slack,escalation_model,escalation_rate,escalation_success_rate,eval_sim_steps,final_majority_branch_ratio,finite_delta_clamp,grad_clip_norm,horizon,integrity_projection,model,multihorizon_loss_weight,multihorizon_train_steps,nonfinite_gradient_steps,nonfinite_training_steps,raw_delta_norm_mean,rollback_on_violation,rollback_rate,rollout_branch_accuracy,rollout_delta_scale,samples,seed,selected_k_mean,selective_correction,skip_nonfinite_loss,state_validity_penalty,target_delta_loss_weight,target_object_position_mse,target_object_trajectory_mse,target_object_velocity_mse,train_sim_steps,trajectory_mse,trajectory_position_mse,trajectory_velocity_mse,unrolled_branch_loss_weight,unrolled_detach_between_steps,unrolled_train_horizons,unrolled_trajectory_loss_weight,unsafe_delta_reject_norm,unsafe_delta_rejection_rate
False,0.5,0.01,512,0.05,0.0,0.0,0.772288,0.0,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.235574,0.0,0.5,,0.0,0.0,80,0.375,0.0,0.0,5,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,2.147982,False,0.0,0.8125,1.0,16,11,4.375,False,True,0.0,0.0,0.044435,0.048579,0.052722,80,0.000426,0.00039,0.000462,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.786191,0.013889,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.23598,0.0,0.5,,0.0,0.0,80,0.375,0.0,0.0,10,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,2.145504,False,0.0,0.8125,1.0,16,11,4.375,False,True,0.0,0.0,0.194801,0.197709,0.200617,80,0.001685,0.001587,0.001782,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.854512,0.010417,1.0,16,0.265,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.238935,0.0,0.5,,0.0,0.0,80,0.4375,0.0,0.0,25,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,2.12208,False,0.0,0.8125,1.0,16,11,4.375,False,True,0.0,0.0,1.110957,1.127811,1.144665,80,0.009823,0.009699,0.009946,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.804368,0.03125,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.239487,0.0,0.5,,0.0,0.0,80,0.4375,0.0,0.0,5,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,1.849481,False,0.0,0.8125,1.0,16,13,4.375,False,True,0.0,0.0,13.504051,8.958297,4.412543,80,0.017703,0.026491,0.008915,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.835129,0.034722,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.240354,0.0,0.5,,0.0,0.0,80,0.625,0.0,0.0,10,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,1.762676,False,0.0,0.625,1.0,16,13,4.375,False,True,0.0,0.0,117.351255,61.31645,5.281644,80,0.120138,0.22866,0.011616,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.910633,0.013021,1.0,16,0.235,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.239717,0.0,0.5,,0.0,0.0,80,0.625,0.0,0.0,25,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,1.743595,False,0.0,0.625,1.0,16,13,4.375,False,True,0.0,0.0,1064.260974,535.57293,6.884886,80,1.044904,2.069263,0.020546,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.710148,0.0,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.23888,0.0,0.5,,0.0,0.0,80,0.375,0.0,0.0,5,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,1.784499,False,0.0,0.9375,1.0,16,17,4.3125,False,True,0.0,0.0,13.510743,8.971384,4.432024,80,0.017725,0.026507,0.008944,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.728589,0.006944,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.236149,0.0,0.5,,0.0,0.0,80,0.4375,0.0,0.0,10,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,1.774843,False,0.0,0.875,1.0,16,17,4.3125,False,True,0.0,0.0,117.304982,61.307478,5.309973,80,0.120106,0.228525,0.011687,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.826714,0.010417,1.0,16,0.1925,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.227567,0.0,0.5,,0.0,0.0,80,0.4375,0.0,0.0,25,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,1.876582,False,0.0,0.8125,1.0,16,17,4.3125,False,True,0.0,0.0,1063.67947,534.961457,6.243444,80,1.042964,2.066936,0.018993,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.679663,0.0,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.250441,0.0,0.5,,0.0,0.0,80,0.5,0.0,0.0,5,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,1.732406,False,0.0,0.8125,1.0,16,19,4.3125,False,True,0.0,0.0,14.086191,9.113022,4.139853,80,0.018044,0.027693,0.008396,0.0,True,,0.0,0.0,0.0
