adaptive_delta_bounds,adaptive_delta_max,adaptive_delta_min,background_objects,bounded_delta_max,bounded_delta_position_max,bounded_delta_velocity_max,branch_entropy_mean,branch_flip_rate,branch_loss_weight,completed_training_steps,constraint_violations_per_step,correct_on_violation,corrected_object_fraction,correction_entropy_threshold,correction_rate,correction_raw_delta_threshold,correction_stride,correction_violation_margin,delta_clip,delta_loss_weight,delta_norm_mean,delta_norm_penalty,delta_target_norm_slack,escalation_model,escalation_rate,escalation_success_rate,eval_sim_steps,final_majority_branch_ratio,finite_delta_clamp,grad_clip_norm,horizon,integrity_projection,model,multihorizon_loss_weight,multihorizon_train_steps,nonfinite_gradient_steps,nonfinite_training_steps,raw_delta_norm_mean,rollback_on_violation,rollback_rate,rollout_branch_accuracy,rollout_delta_scale,samples,seed,selected_k_mean,selective_correction,skip_nonfinite_loss,state_validity_penalty,target_delta_loss_weight,target_object_position_mse,target_object_trajectory_mse,target_object_velocity_mse,train_sim_steps,trajectory_mse,trajectory_position_mse,trajectory_velocity_mse,unrolled_branch_loss_weight,unrolled_detach_between_steps,unrolled_train_horizons,unrolled_trajectory_loss_weight,unsafe_delta_reject_norm,unsafe_delta_rejection_rate
False,0.5,0.01,512,0.05,0.0,0.0,0.772059,0.0,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.236728,0.0,0.5,,0.0,0.0,80,0.375,0.0,0.0,5,False,wpu-cws-indexed-mechanism-target-constrained,0.0,,0,0,2.003288,False,0.0,0.8125,1.0,16,11,4.375,False,True,0.0,0.0,0.044233,0.051006,0.05778,80,0.000432,0.000389,0.000476,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.786254,0.013889,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.236914,0.0,0.5,,0.0,0.0,80,0.375,0.0,0.0,10,False,wpu-cws-indexed-mechanism-target-constrained,0.0,,0,0,2.024094,False,0.0,0.8125,1.0,16,11,4.375,False,True,0.0,0.0,0.192495,0.207457,0.222418,80,0.001712,0.001585,0.001839,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.853314,0.010417,1.0,16,0.285,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.238941,0.0,0.5,,0.0,0.0,80,0.4375,0.0,0.0,25,False,wpu-cws-indexed-mechanism-target-constrained,0.0,,0,0,2.069744,False,0.0,0.8125,1.0,16,11,4.375,False,True,0.0,0.0,1.095236,1.16086,1.226485,80,0.009847,0.009676,0.010018,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.809374,0.03125,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.240678,0.0,0.5,,0.0,0.0,80,0.4375,0.0,0.0,5,False,wpu-cws-indexed-mechanism-target-constrained,0.0,,0,0,1.831657,False,0.0,0.8125,1.0,16,13,4.375,False,True,0.0,0.0,13.638748,9.032673,4.426599,80,0.01785,0.02675,0.00895,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.839576,0.027778,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.241501,0.0,0.5,,0.0,0.0,80,0.5625,0.0,0.0,10,False,wpu-cws-indexed-mechanism-target-constrained,0.0,,0,0,1.740735,False,0.0,0.6875,1.0,16,13,4.375,False,True,0.0,0.0,119.000657,62.155665,5.310672,80,0.12178,0.231823,0.011738,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.914472,0.013021,1.0,16,0.17,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.239962,0.0,0.5,,0.0,0.0,80,0.625,0.0,0.0,25,False,wpu-cws-indexed-mechanism-target-constrained,0.0,,0,0,1.703827,False,0.0,0.625,1.0,16,13,4.375,False,True,0.0,0.0,1072.258654,539.537037,6.81542,80,1.052722,2.08475,0.020693,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.717595,0.0,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.238851,0.0,0.5,,0.0,0.0,80,0.375,0.0,0.0,5,False,wpu-cws-indexed-mechanism-target-constrained,0.0,,0,0,1.683733,False,0.0,0.9375,1.0,16,17,4.3125,False,True,0.0,0.0,13.510077,8.969671,4.429264,80,0.017724,0.02651,0.008937,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.744616,0.006944,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.237308,0.0,0.5,,0.0,0.0,80,0.4375,0.0,0.0,10,False,wpu-cws-indexed-mechanism-target-constrained,0.0,,0,0,1.667212,False,0.0,0.875,1.0,16,17,4.3125,False,True,0.0,0.0,117.310072,61.310063,5.310055,80,0.120127,0.228564,0.011689,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.842689,0.010417,1.0,16,0.24,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.22938,0.0,0.5,,0.0,0.0,80,0.4375,0.0,0.0,25,False,wpu-cws-indexed-mechanism-target-constrained,0.0,,0,0,1.780686,False,0.0,0.8125,1.0,16,17,4.3125,False,True,0.0,0.0,1063.710033,534.846702,5.983371,80,1.04302,2.067296,0.018744,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.675431,0.0,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.249899,0.0,0.5,,0.0,0.0,80,0.5,0.0,0.0,5,False,wpu-cws-indexed-mechanism-target-constrained,0.0,,0,0,1.703868,False,0.0,0.8125,1.0,16,19,4.3125,False,True,0.0,0.0,14.086191,9.113024,4.139856,80,0.018042,0.027689,0.008394,0.0,True,,0.0,0.0,0.0
