adaptive_delta_bounds,adaptive_delta_max,adaptive_delta_min,background_objects,bounded_delta_max,bounded_delta_position_max,bounded_delta_velocity_max,branch_entropy_mean,branch_flip_rate,branch_loss_weight,completed_training_steps,constraint_violations_per_step,correct_on_violation,corrected_object_fraction,correction_entropy_threshold,correction_rate,correction_raw_delta_threshold,correction_stride,correction_violation_margin,delta_clip,delta_loss_weight,delta_norm_mean,delta_norm_penalty,delta_target_norm_slack,escalation_model,escalation_rate,escalation_success_rate,eval_sim_steps,final_majority_branch_ratio,finite_delta_clamp,grad_clip_norm,horizon,integrity_projection,model,multihorizon_loss_weight,multihorizon_train_steps,nonfinite_gradient_steps,nonfinite_training_steps,raw_delta_norm_mean,rollback_on_violation,rollback_rate,rollout_branch_accuracy,rollout_delta_scale,samples,seed,selected_k_mean,selective_correction,skip_nonfinite_loss,state_validity_penalty,target_delta_loss_weight,target_object_position_mse,target_object_trajectory_mse,target_object_velocity_mse,train_sim_steps,trajectory_mse,trajectory_position_mse,trajectory_velocity_mse,unrolled_branch_loss_weight,unrolled_detach_between_steps,unrolled_train_horizons,unrolled_trajectory_loss_weight,unsafe_delta_reject_norm,unsafe_delta_rejection_rate
False,0.5,0.01,512,0.05,0.0,0.0,0.530301,0.0,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.250399,0.0,0.5,,0.0,0.0,120,0.4,0.0,1.0,5,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,1.134183,False,0.0,0.8,1.0,40,11,4.4,False,True,0.1,1.0,182.671471,97.790289,12.909107,120,0.189904,0.35439,0.025419,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.552079,0.008333,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.249823,0.0,0.5,,0.0,0.0,120,0.4,0.0,1.0,10,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,1.205446,False,0.0,0.825,1.0,40,11,4.4,False,True,0.1,1.0,1008.272791,510.518161,12.763532,120,0.990877,1.955414,0.02634,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.689398,0.00625,1.0,16,0.235,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.248421,0.0,0.5,,0.0,0.0,120,0.4,0.0,1.0,25,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,1.597802,False,0.0,0.85,1.0,40,11,4.4,False,True,0.1,1.0,7486.660827,3749.592854,12.524881,120,7.275453,14.517223,0.033682,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.566082,0.0125,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.238427,0.0,0.5,,0.0,0.0,120,0.45,0.0,1.0,5,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,1.219361,False,0.0,0.85,1.0,40,13,4.45,False,True,0.1,1.0,211.033745,112.896751,14.759758,120,0.219124,0.409299,0.028949,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.635843,0.013889,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.239784,0.0,0.5,,0.0,0.0,120,0.45,0.0,1.0,10,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,1.220042,False,0.0,0.825,1.0,40,13,4.45,False,True,0.1,1.0,1166.321892,590.449155,14.576418,120,1.145575,2.261582,0.029568,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.817384,0.013542,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.239994,0.0,0.5,,0.0,0.0,120,0.425,0.0,1.0,25,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,1.385435,False,0.0,0.775,1.0,40,13,4.45,False,True,0.1,1.0,8666.167752,4340.111526,14.055299,120,8.418519,16.801922,0.035115,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.666144,0.01875,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.25118,0.0,0.5,,0.0,0.0,120,0.45,0.0,1.0,5,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,1.138299,False,0.0,0.775,1.0,40,17,4.35,False,True,0.1,1.0,155.092052,83.460997,11.829941,120,0.162135,0.300938,0.023331,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.706311,0.05,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.251767,0.0,0.5,,0.0,0.0,120,0.55,0.0,1.0,10,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,1.251393,False,0.0,0.55,1.0,40,17,4.35,False,True,0.1,1.0,860.592073,436.549864,12.507655,120,0.847574,1.669286,0.025861,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.717615,0.022917,1.0,16,0.312,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.251148,0.0,0.5,,0.0,0.0,120,0.65,0.0,1.0,25,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,1.751738,False,0.0,0.6,1.0,40,17,4.35,False,True,0.1,1.0,6406.999635,3210.974256,14.948878,120,6.231822,12.424541,0.039103,0.0,True,,0.0,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,0.634391,0.03125,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.242859,0.0,0.5,,0.0,0.0,120,0.525,0.0,1.0,5,False,wpu-cws-indexed-mechanism-target,0.0,,0,0,0.879849,False,0.0,0.725,1.0,40,19,4.325,False,True,0.1,1.0,130.004912,69.619886,9.234861,120,0.135277,0.252285,0.01827,0.0,True,,0.0,0.0,0.0
