row_type,model,seed,train_mechanism,eval_mechanism,temperature,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy,no_catch,0.359624,32,37,36,0.805556,0.666667,0.176559,0.871791,0.515644,0.367616,4.025,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.359624,32,37,36,0.583333,0.583333,0.963758,0.98454,0.589069,0.130114,4.375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.359624,32,37,36,0.416667,0.555556,0.146985,1.017035,0.623508,0.020757,4.8,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy,no_catch,0.355114,32,37,36,0.638889,0.666667,0.195269,1.068503,0.646704,0.264968,4.025,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.355114,32,37,36,0.333333,0.583333,0.993175,1.150807,0.699729,0.033181,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.355114,32,37,36,0.472222,0.583333,0.166281,1.035996,0.627628,0.09872,4.825,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy,no_catch,0.360354,32,37,36,0.833333,0.694444,0.217816,0.832856,0.479379,0.378567,4.025,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.360354,32,37,36,0.555556,0.555556,0.969004,1.023694,0.614753,0.126813,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.360354,32,37,36,0.472222,0.583333,0.179445,1.013035,0.605394,0.091941,4.8,1.0,0.0,1
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy,no_catch,0.412761,32,37,36,0.472222,0.666667,0.345879,0.982156,0.580086,0.128597,4.025,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.412761,32,37,36,0.583333,0.583333,1.071843,1.227162,0.656492,0.237243,4.375,1.0,1.0,1
