row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy,no_catch,0.412035,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.805556,0.666667,0.176559,0.895089,0.53121,0.380328,4.025,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.412035,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.583333,0.963758,0.990017,0.592508,0.141271,4.375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.412035,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.416667,0.555556,0.146985,1.021854,0.624524,0.019762,4.8,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy,no_catch,0.358912,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.638889,0.666667,0.195269,1.068717,0.646847,0.265384,4.025,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.358912,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.333333,0.583333,0.993175,1.15019,0.699358,0.032837,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.358912,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.472222,0.583333,0.166281,1.036529,0.627932,0.099121,4.825,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy,no_catch,0.359554,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.833333,0.694444,0.217816,0.832363,0.479024,0.378292,4.025,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.359554,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.555556,0.555556,0.969004,1.023584,0.614673,0.126594,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.359554,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.472222,0.583333,0.179445,1.012934,0.605317,0.091747,4.8,1.0,0.0,1
seed,wpu-cws-indexed-sparse,19,nominal+high_force+edge_shift+catch_heavy,no_catch,0.359276,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.527778,0.694444,0.185446,1.070497,0.640802,0.219251,4.025,1.0,0.0,1
seed,wpu-cws-indexed-sparse,19,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.359276,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.555556,0.555556,0.794027,1.122875,0.660146,0.076398,4.4,1.0,0.0,1
