row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy,no_catch,0.399124,temperature_bias,-0.033495;-0.075501;0.108997,32,37,36,0.138889,0.666667,0.176559,1.009928,0.626034,0.273288,4.025,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.399124,temperature_bias,-0.033495;-0.075501;0.108997,32,37,36,0.5,0.583333,0.963758,1.071353,0.643842,0.094728,4.375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.399124,temperature_bias,-0.033495;-0.075501;0.108997,32,37,36,0.305556,0.555556,0.146985,1.024386,0.632223,0.108224,4.8,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy,no_catch,0.866651,temperature_bias,0.218517;-0.116582;-0.101934,32,37,36,0.666667,0.666667,0.195269,0.983571,0.583641,0.226456,4.025,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.866651,temperature_bias,0.218517;-0.116582;-0.101934,32,37,36,0.333333,0.583333,0.993175,1.144878,0.696078,0.103479,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.866651,temperature_bias,0.218517;-0.116582;-0.101934,32,37,36,0.583333,0.583333,0.166281,0.997302,0.597414,0.144262,4.825,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy,no_catch,0.446408,temperature_bias,0.076156;-0.066750;-0.009406,32,37,36,0.694444,0.694444,0.217816,0.829948,0.475501,0.272529,4.025,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.446408,temperature_bias,0.076156;-0.066750;-0.009406,32,37,36,0.416667,0.555556,0.969004,1.054651,0.638954,0.062744,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.446408,temperature_bias,0.076156;-0.066750;-0.009406,32,37,36,0.583333,0.583333,0.179445,0.978202,0.582601,0.102062,4.8,1.0,0.0,1
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy,no_catch,0.78189,temperature_bias,0.093729;-0.204381;0.110652,32,37,36,0.472222,0.666667,0.345879,0.97792,0.594001,0.098123,4.025,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.78189,temperature_bias,0.093729;-0.204381;0.110652,32,37,36,0.555556,0.583333,1.071843,1.055102,0.620654,0.109574,4.375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.78189,temperature_bias,0.093729;-0.204381;0.110652,32,37,36,0.361111,0.555556,0.321148,1.05476,0.648164,0.067396,4.8,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,13,nominal+high_force+edge_shift+catch_heavy,no_catch,0.831065,temperature_bias,0.390836;-0.465111;0.074275,32,37,36,0.75,0.666667,0.207333,0.82771,0.481166,0.300952,4.025,1.0,1.0,1
