row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,wpu-cws-indexed-sparse,11,nominal,nominal,1.0,mechanism_prior,0.187077;0.253035;-0.440112,32,37,36,0.5,0.444444,0.045138,1.125127,0.664741,0.173148,4.375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,high_force,1.0,mechanism_prior,-0.824524;1.264636;-0.440112,32,37,36,0.444444,0.444444,0.456995,1.63039,0.930436,0.447899,4.375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,edge_shift,1.0,mechanism_prior,0.204288;1.170622;-1.374910,32,37,36,0.527778,0.527778,0.30669,1.147523,0.69037,0.262911,4.375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,catch_heavy,1.0,mechanism_prior,0.035095;-0.833256;0.798161,32,37,36,0.805556,0.805556,0.013176,0.713866,0.410737,0.229335,4.8,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,nominal,1.0,mechanism_prior,0.067494;0.271794;-0.339288,32,37,36,0.361111,0.444444,0.046258,1.165945,0.713387,0.200948,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,high_force,1.0,mechanism_prior,-0.848797;1.188085;-0.339288,32,37,36,0.416667,0.416667,0.463102,1.568789,0.927771,0.434454,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,edge_shift,1.0,mechanism_prior,0.083196;1.146629;-1.229826,32,37,36,0.305556,0.555556,0.328101,1.296069,0.830825,0.421758,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,catch_heavy,1.0,mechanism_prior,-0.017650;-0.768861;0.786510,32,37,36,0.805556,0.805556,0.014584,0.692901,0.385942,0.199462,4.825,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,nominal,1.0,mechanism_prior,-0.033041;0.313052;-0.280012,32,37,36,0.333333,0.444444,0.047368,1.143794,0.698081,0.126225,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,high_force,1.0,mechanism_prior,-0.790512;1.167792;-0.377280,32,37,36,0.361111,0.361111,0.428917,1.619655,0.979229,0.466997,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,edge_shift,1.0,mechanism_prior,-0.126095;1.202779;-1.076684,32,37,36,0.305556,0.555556,0.331112,1.315167,0.846407,0.421915,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,catch_heavy,1.0,mechanism_prior,-0.121954;-0.702623;0.824577,32,37,36,0.777778,0.777778,0.013702,0.696793,0.390477,0.144187,4.8,1.0,0.0,1
seed,wpu-cws-indexed-sparse,19,nominal,nominal,1.0,mechanism_prior,-0.095766;0.304394;-0.208627,32,37,36,0.361111,0.444444,0.062364,1.13767,0.696639,0.166176,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,19,nominal,high_force,1.0,mechanism_prior,-1.004157;1.256756;-0.252599,32,37,36,0.361111,0.361111,0.42126,1.658481,0.98227,0.469582,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,19,nominal,edge_shift,1.0,mechanism_prior,-0.066626;1.144465;-1.077839,32,37,36,0.305556,0.555556,0.340637,1.252261,0.805109,0.401073,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,19,nominal,catch_heavy,1.0,mechanism_prior,-0.269155;-0.667503;0.936658,32,37,36,0.777778,0.777778,0.035507,0.682035,0.379199,0.108267,4.825,1.0,0.0,1
seed,wpu-cws-indexed-sparse,23,nominal,nominal,1.0,mechanism_prior,-0.175800;0.243148;-0.067348,32,37,36,0.277778,0.472222,0.059325,1.137555,0.692024,0.167484,4.275,1.0,0.0,1
seed,wpu-cws-indexed-sparse,23,nominal,high_force,1.0,mechanism_prior,-1.059158;1.191555;-0.132396,32,37,36,0.472222,0.472222,0.6294,1.33853,0.792994,0.340658,4.275,1.0,0.0,1
seed,wpu-cws-indexed-sparse,23,nominal,edge_shift,1.0,mechanism_prior,-0.145929;1.099698;-0.953768,32,37,36,0.416667,0.444444,0.523854,1.118196,0.703785,0.304974,4.275,1.0,0.0,1
seed,wpu-cws-indexed-sparse,23,nominal,catch_heavy,1.0,mechanism_prior,-0.390256;-0.588082;0.978338,32,37,36,0.722222,0.722222,0.030328,0.74967,0.427338,0.055331,4.775,1.0,0.0,1
seed,wpu-cws-indexed-sparse,29,nominal,nominal,1.0,mechanism_prior,-0.107446;0.246964;-0.139518,32,37,36,0.444444,0.5,0.042478,1.101663,0.669591,0.151858,4.3,1.0,0.0,1
seed,wpu-cws-indexed-sparse,29,nominal,high_force,1.0,mechanism_prior,-0.990804;1.195371;-0.204567,32,37,36,0.472222,0.472222,0.648523,1.409024,0.827371,0.377019,4.3,1.0,0.0,1
seed,wpu-cws-indexed-sparse,29,nominal,edge_shift,1.0,mechanism_prior,-0.017957;1.041435;-1.023478,32,37,36,0.444444,0.472222,0.570537,0.962272,0.607683,0.256927,4.3,1.0,0.0,1
seed,wpu-cws-indexed-sparse,29,nominal,catch_heavy,1.0,mechanism_prior,-0.102550;-1.058061;1.160612,32,37,36,0.694444,0.694444,0.010738,0.767275,0.455018,0.080896,4.775,1.0,0.0,1
seed,wpu-cws-indexed-sparse,31,nominal,nominal,1.0,mechanism_prior,0.005058;0.125686;-0.130744,32,37,36,0.527778,0.527778,0.045216,0.975516,0.592625,0.112482,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,31,nominal,high_force,1.0,mechanism_prior,-0.967790;1.195912;-0.228123,32,37,36,0.444444,0.444444,0.647945,1.493767,0.867933,0.413342,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,31,nominal,edge_shift,1.0,mechanism_prior,0.005058;1.041977;-1.047034,32,37,36,0.611111,0.5,0.533678,0.791102,0.475416,0.079457,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,31,nominal,catch_heavy,1.0,mechanism_prior,-0.079536;-1.057520;1.137056,32,37,36,0.694444,0.694444,0.01401,0.721554,0.442799,0.046073,4.825,1.0,0.0,1
seed,wpu-cws-indexed-local-dense,11,nominal,nominal,1.0,mechanism_prior,0.187077;0.253035;-0.440112,32,37,36,0.5,0.444444,0.311852,1.122247,0.669148,0.210233,4.375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal,high_force,1.0,mechanism_prior,-0.824524;1.264636;-0.440112,32,37,36,0.444444,0.444444,0.656813,1.993871,0.98882,0.494925,4.375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal,edge_shift,1.0,mechanism_prior,0.204288;1.170622;-1.374910,32,37,36,0.555556,0.527778,0.530514,1.08377,0.619039,0.271055,4.375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal,catch_heavy,1.0,mechanism_prior,0.035095;-0.833256;0.798161,32,37,36,0.722222,0.805556,0.313938,0.754108,0.459396,0.182678,4.8,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,13,nominal,nominal,1.0,mechanism_prior,0.067494;0.271794;-0.339288,32,37,36,0.472222,0.444444,0.225678,1.229145,0.732955,0.253369,4.35,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,13,nominal,high_force,1.0,mechanism_prior,-0.848797;1.188085;-0.339288,32,37,36,0.416667,0.416667,0.682673,2.388362,1.081439,0.543382,4.35,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,13,nominal,edge_shift,1.0,mechanism_prior,0.083196;1.146629;-1.229826,32,37,36,0.555556,0.555556,0.478119,1.268907,0.703865,0.313036,4.35,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,13,nominal,catch_heavy,1.0,mechanism_prior,-0.017650;-0.768861;0.786510,32,37,36,0.638889,0.805556,0.212777,0.745705,0.45279,0.12759,4.825,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,17,nominal,nominal,1.0,mechanism_prior,-0.033041;0.313052;-0.280012,32,37,36,0.416667,0.444444,0.126832,1.171173,0.718155,0.244552,4.4,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,17,nominal,high_force,1.0,mechanism_prior,-0.790512;1.167792;-0.377280,32,37,36,0.361111,0.361111,0.514212,2.028063,1.105025,0.552196,4.4,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,17,nominal,edge_shift,1.0,mechanism_prior,-0.126095;1.202779;-1.076684,32,37,36,0.444444,0.555556,0.400856,1.286017,0.783106,0.345701,4.4,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,17,nominal,catch_heavy,1.0,mechanism_prior,-0.121954;-0.702623;0.824577,32,37,36,0.777778,0.777778,0.10491,0.695443,0.40105,0.158631,4.8,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,19,nominal,nominal,1.0,mechanism_prior,-0.095766;0.304394;-0.208627,32,37,36,0.305556,0.444444,0.094441,1.087513,0.684665,0.258986,4.4,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,19,nominal,high_force,1.0,mechanism_prior,-1.004157;1.256756;-0.252599,32,37,36,0.361111,0.361111,0.460408,2.257192,1.119908,0.565333,4.4,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,19,nominal,edge_shift,1.0,mechanism_prior,-0.066626;1.144465;-1.077839,32,37,36,0.638889,0.555556,0.382087,1.083463,0.620268,0.281489,4.4,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,19,nominal,catch_heavy,1.0,mechanism_prior,-0.269155;-0.667503;0.936658,32,37,36,0.722222,0.777778,0.071082,0.656915,0.388148,0.065902,4.825,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,23,nominal,nominal,1.0,mechanism_prior,-0.175800;0.243148;-0.067348,32,37,36,0.472222,0.472222,0.189993,1.168362,0.709588,0.268624,4.275,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,23,nominal,high_force,1.0,mechanism_prior,-1.059158;1.191555;-0.132396,32,37,36,0.472222,0.472222,0.837928,1.835563,0.93898,0.464458,4.275,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,23,nominal,edge_shift,1.0,mechanism_prior,-0.145929;1.099698;-0.953768,32,37,36,0.638889,0.444444,0.677822,0.992927,0.557414,0.154807,4.275,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,23,nominal,catch_heavy,1.0,mechanism_prior,-0.390256;-0.588082;0.978338,32,37,36,0.694444,0.722222,0.172227,0.756655,0.44645,0.091828,4.775,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,29,nominal,nominal,1.0,mechanism_prior,-0.107446;0.246964;-0.139518,32,37,36,0.416667,0.5,0.201443,1.078495,0.658641,0.181379,4.3,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,29,nominal,high_force,1.0,mechanism_prior,-0.990804;1.195371;-0.204567,32,37,36,0.472222,0.472222,0.776241,1.71732,0.89631,0.438442,4.3,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,29,nominal,edge_shift,1.0,mechanism_prior,-0.017957;1.041435;-1.023478,32,37,36,0.638889,0.472222,0.640336,0.840592,0.479643,0.149562,4.3,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,29,nominal,catch_heavy,1.0,mechanism_prior,-0.102550;-1.058061;1.160612,32,37,36,0.694444,0.694444,0.195498,0.729208,0.449432,0.083692,4.775,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,31,nominal,nominal,1.0,mechanism_prior,0.005058;0.125686;-0.130744,32,37,36,0.555556,0.527778,0.131415,0.950969,0.592093,0.193876,4.35,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,31,nominal,high_force,1.0,mechanism_prior,-0.967790;1.195912;-0.228123,32,37,36,0.444444,0.444444,0.760856,1.676127,0.909777,0.451529,4.35,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,31,nominal,edge_shift,1.0,mechanism_prior,0.005058;1.041977;-1.047034,32,37,36,0.777778,0.5,0.610745,0.707032,0.400283,0.170552,4.35,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,31,nominal,catch_heavy,1.0,mechanism_prior,-0.079536;-1.057520;1.137056,32,37,36,0.694444,0.694444,0.116125,0.689251,0.429677,0.066297,4.825,1.0,1.0,1
seed,graph-transformer,11,nominal,nominal,1.0,mechanism_prior,0.187077;0.253035;-0.440112,32,37,36,0.5,0.444444,0.047051,1.20826,0.730675,0.263219,4.375,1.0,1.0,1
seed,graph-transformer,11,nominal,high_force,1.0,mechanism_prior,-0.824524;1.264636;-0.440112,32,37,36,0.444444,0.444444,0.126822,2.255948,1.023575,0.512585,4.375,1.0,1.0,1
seed,graph-transformer,11,nominal,edge_shift,1.0,mechanism_prior,0.204288;1.170622;-1.374910,32,37,36,0.555556,0.527778,0.08126,1.228604,0.680538,0.274157,4.375,1.0,1.0,1
seed,graph-transformer,11,nominal,catch_heavy,1.0,mechanism_prior,0.035095;-0.833256;0.798161,32,37,36,0.722222,0.805556,0.043443,0.723183,0.435078,0.09541,4.8,1.0,1.0,1
seed,graph-transformer,13,nominal,nominal,1.0,mechanism_prior,0.067494;0.271794;-0.339288,32,37,36,0.472222,0.444444,0.041982,1.276131,0.778638,0.350871,4.35,1.0,1.0,1
seed,graph-transformer,13,nominal,high_force,1.0,mechanism_prior,-0.848797;1.188085;-0.339288,32,37,36,0.416667,0.416667,0.130101,2.36232,1.085067,0.542653,4.35,1.0,1.0,1
seed,graph-transformer,13,nominal,edge_shift,1.0,mechanism_prior,0.083196;1.146629;-1.229826,32,37,36,0.5,0.555556,0.079559,1.406309,0.771154,0.352011,4.35,1.0,1.0,1
seed,graph-transformer,13,nominal,catch_heavy,1.0,mechanism_prior,-0.017650;-0.768861;0.786510,32,37,36,0.666667,0.805556,0.037781,0.75315,0.456238,0.126149,4.825,1.0,1.0,1
seed,graph-transformer,17,nominal,nominal,1.0,mechanism_prior,-0.033041;0.313052;-0.280012,32,37,36,0.5,0.444444,0.028162,1.180261,0.717729,0.267226,4.4,1.0,1.0,1
seed,graph-transformer,17,nominal,high_force,1.0,mechanism_prior,-0.790512;1.167792;-0.377280,32,37,36,0.361111,0.361111,0.083591,2.672052,1.184856,0.597372,4.4,1.0,1.0,1
seed,graph-transformer,17,nominal,edge_shift,1.0,mechanism_prior,-0.126095;1.202779;-1.076684,32,37,36,0.611111,0.555556,0.065049,1.259662,0.671074,0.323453,4.4,1.0,1.0,1
seed,graph-transformer,17,nominal,catch_heavy,1.0,mechanism_prior,-0.121954;-0.702623;0.824577,32,37,36,0.638889,0.777778,0.023935,0.758051,0.475645,0.110662,4.8,1.0,1.0,1
seed,graph-transformer,19,nominal,nominal,1.0,mechanism_prior,-0.095766;0.304394;-0.208627,32,37,36,0.5,0.444444,0.032972,1.007383,0.623565,0.086959,4.4,1.0,1.0,1
seed,graph-transformer,19,nominal,high_force,1.0,mechanism_prior,-1.004157;1.256756;-0.252599,32,37,36,0.361111,0.361111,0.09663,2.063609,1.082389,0.547335,4.4,1.0,1.0,1
seed,graph-transformer,19,nominal,edge_shift,1.0,mechanism_prior,-0.066626;1.144465;-1.077839,32,37,36,0.638889,0.555556,0.070579,0.996901,0.576459,0.201577,4.4,1.0,1.0,1
seed,graph-transformer,19,nominal,catch_heavy,1.0,mechanism_prior,-0.269155;-0.667503;0.936658,32,37,36,0.75,0.777778,0.029371,0.666477,0.387025,0.109202,4.825,1.0,1.0,1
seed,graph-transformer,23,nominal,nominal,1.0,mechanism_prior,-0.175800;0.243148;-0.067348,32,37,36,0.472222,0.472222,0.030857,1.192211,0.724829,0.303139,4.275,1.0,1.0,1
seed,graph-transformer,23,nominal,high_force,1.0,mechanism_prior,-1.059158;1.191555;-0.132396,32,37,36,0.472222,0.472222,0.123382,2.005577,0.961506,0.483059,4.275,1.0,1.0,1
seed,graph-transformer,23,nominal,edge_shift,1.0,mechanism_prior,-0.145929;1.099698;-0.953768,32,37,36,0.638889,0.444444,0.093297,1.031585,0.581881,0.267261,4.275,1.0,1.0,1
seed,graph-transformer,23,nominal,catch_heavy,1.0,mechanism_prior,-0.390256;-0.588082;0.978338,32,37,36,0.638889,0.722222,0.026547,0.794122,0.479545,0.040265,4.775,1.0,1.0,1
seed,graph-transformer,29,nominal,nominal,1.0,mechanism_prior,-0.107446;0.246964;-0.139518,32,37,36,0.444444,0.5,0.02836,1.029652,0.626903,0.14046,4.3,1.0,1.0,1
seed,graph-transformer,29,nominal,high_force,1.0,mechanism_prior,-0.990804;1.195371;-0.204567,32,37,36,0.472222,0.472222,0.101366,1.609747,0.854871,0.408592,4.3,1.0,1.0,1
seed,graph-transformer,29,nominal,edge_shift,1.0,mechanism_prior,-0.017957;1.041435;-1.023478,32,37,36,0.666667,0.472222,0.099177,0.801548,0.451666,0.146443,4.3,1.0,1.0,1
seed,graph-transformer,29,nominal,catch_heavy,1.0,mechanism_prior,-0.102550;-1.058061;1.160612,32,37,36,0.694444,0.694444,0.024439,0.735709,0.459532,0.12077,4.775,1.0,1.0,1
seed,graph-transformer,31,nominal,nominal,1.0,mechanism_prior,0.005058;0.125686;-0.130744,32,37,36,0.611111,0.527778,0.028766,0.872615,0.53809,0.164565,4.35,1.0,1.0,1
seed,graph-transformer,31,nominal,high_force,1.0,mechanism_prior,-0.967790;1.195912;-0.228123,32,37,36,0.444444,0.444444,0.097635,1.410899,0.825562,0.396297,4.35,1.0,1.0,1
seed,graph-transformer,31,nominal,edge_shift,1.0,mechanism_prior,0.005058;1.041977;-1.047034,32,37,36,0.75,0.5,0.092889,0.661369,0.372946,0.153192,4.35,1.0,1.0,1
seed,graph-transformer,31,nominal,catch_heavy,1.0,mechanism_prior,-0.079536;-1.057520;1.137056,32,37,36,0.694444,0.694444,0.024476,0.720165,0.456879,0.085775,4.825,1.0,1.0,1
seed,serialized-token,11,nominal,nominal,1.0,mechanism_prior,0.187077;0.253035;-0.440112,32,37,36,0.444444,0.444444,0.020365,1.039799,0.640663,0.114583,4.375,1.0,1.0,1
seed,serialized-token,11,nominal,high_force,1.0,mechanism_prior,-0.824524;1.264636;-0.440112,32,37,36,0.444444,0.444444,0.076117,1.637119,0.913739,0.437411,4.375,1.0,1.0,1
seed,serialized-token,11,nominal,edge_shift,1.0,mechanism_prior,0.204288;1.170622;-1.374910,32,37,36,0.527778,0.527778,0.056691,1.11751,0.666314,0.218292,4.375,1.0,1.0,1
seed,serialized-token,11,nominal,catch_heavy,1.0,mechanism_prior,0.035095;-0.833256;0.798161,32,37,36,0.805556,0.805556,0.016193,0.641532,0.361591,0.116202,4.8,1.0,1.0,1
seed,serialized-token,13,nominal,nominal,1.0,mechanism_prior,0.067494;0.271794;-0.339288,32,37,36,0.472222,0.444444,0.016404,1.110531,0.680911,0.190664,4.35,1.0,1.0,1
seed,serialized-token,13,nominal,high_force,1.0,mechanism_prior,-0.848797;1.188085;-0.339288,32,37,36,0.416667,0.416667,0.065028,1.903733,1.01498,0.500835,4.35,1.0,1.0,1
seed,serialized-token,13,nominal,edge_shift,1.0,mechanism_prior,0.083196;1.146629;-1.229826,32,37,36,0.5,0.555556,0.052475,1.203995,0.710897,0.252377,4.35,1.0,1.0,1
seed,serialized-token,13,nominal,catch_heavy,1.0,mechanism_prior,-0.017650;-0.768861;0.786510,32,37,36,0.805556,0.805556,0.012354,0.68448,0.394369,0.201487,4.825,1.0,1.0,1
seed,serialized-token,17,nominal,nominal,1.0,mechanism_prior,-0.033041;0.313052;-0.280012,32,37,36,0.5,0.444444,0.019584,1.219573,0.729874,0.317387,4.4,1.0,1.0,1
seed,serialized-token,17,nominal,high_force,1.0,mechanism_prior,-0.790512;1.167792;-0.377280,32,37,36,0.361111,0.361111,0.065876,2.243967,1.145975,0.576696,4.4,1.0,1.0,1
seed,serialized-token,17,nominal,edge_shift,1.0,mechanism_prior,-0.126095;1.202779;-1.076684,32,37,36,0.527778,0.555556,0.054043,1.28373,0.749688,0.35112,4.4,1.0,1.0,1
seed,serialized-token,17,nominal,catch_heavy,1.0,mechanism_prior,-0.121954;-0.702623;0.824577,32,37,36,0.666667,0.777778,0.015513,0.768548,0.459415,0.186928,4.8,1.0,1.0,1
seed,serialized-token,19,nominal,nominal,1.0,mechanism_prior,-0.095766;0.304394;-0.208627,32,37,36,0.472222,0.444444,0.016751,1.045167,0.643112,0.124978,4.4,1.0,1.0,1
seed,serialized-token,19,nominal,high_force,1.0,mechanism_prior,-1.004157;1.256756;-0.252599,32,37,36,0.361111,0.361111,0.072623,1.887441,1.05632,0.527276,4.4,1.0,1.0,1
seed,serialized-token,19,nominal,edge_shift,1.0,mechanism_prior,-0.066626;1.144465;-1.077839,32,37,36,0.555556,0.555556,0.059208,1.057433,0.625451,0.238507,4.4,1.0,1.0,1
seed,serialized-token,19,nominal,catch_heavy,1.0,mechanism_prior,-0.269155;-0.667503;0.936658,32,37,36,0.777778,0.777778,0.012175,0.667258,0.383148,0.115715,4.825,1.0,1.0,1
seed,serialized-token,23,nominal,nominal,1.0,mechanism_prior,-0.175800;0.243148;-0.067348,32,37,36,0.388889,0.472222,0.017323,1.036146,0.64251,0.191943,4.275,1.0,1.0,1
seed,serialized-token,23,nominal,high_force,1.0,mechanism_prior,-1.059158;1.191555;-0.132396,32,37,36,0.472222,0.472222,0.095187,1.624709,0.877657,0.431589,4.275,1.0,1.0,1
seed,serialized-token,23,nominal,edge_shift,1.0,mechanism_prior,-0.145929;1.099698;-0.953768,32,37,36,0.666667,0.444444,0.07841,0.851014,0.479986,0.166748,4.275,1.0,1.0,1
seed,serialized-token,23,nominal,catch_heavy,1.0,mechanism_prior,-0.390256;-0.588082;0.978338,32,37,36,0.722222,0.722222,0.01289,0.712988,0.426519,0.066551,4.775,1.0,1.0,1
seed,serialized-token,29,nominal,nominal,1.0,mechanism_prior,-0.107446;0.246964;-0.139518,32,37,36,0.555556,0.5,0.020853,0.948768,0.578758,0.135729,4.3,1.0,1.0,1
seed,serialized-token,29,nominal,high_force,1.0,mechanism_prior,-0.990804;1.195371;-0.204567,32,37,36,0.472222,0.472222,0.108542,1.476271,0.822717,0.392415,4.3,1.0,1.0,1
seed,serialized-token,29,nominal,edge_shift,1.0,mechanism_prior,-0.017957;1.041435;-1.023478,32,37,36,0.75,0.472222,0.095163,0.738845,0.413636,0.085696,4.3,1.0,1.0,1
seed,serialized-token,29,nominal,catch_heavy,1.0,mechanism_prior,-0.102550;-1.058061;1.160612,32,37,36,0.694444,0.694444,0.016467,0.726535,0.455601,0.109747,4.775,1.0,1.0,1
