row_type,model,seed,train_mechanism,eval_mechanism,temperature,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy,nominal,0.25,32,37,36,0.5,0.444444,0.052942,1.071434,0.662974,0.220089,4.375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy,high_force,0.25,32,37,36,0.472222,0.444444,0.45945,1.286316,0.765131,0.331772,4.375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy,edge_shift,0.25,32,37,36,0.611111,0.527778,0.309706,0.989387,0.58865,0.172975,4.375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy,catch_heavy,0.25,32,37,36,0.138889,0.805556,0.022222,1.312959,0.856191,0.454222,4.8,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy,nominal,0.25,32,37,36,0.416667,0.444444,0.061483,0.990196,0.600264,0.060479,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy,high_force,0.25,32,37,36,0.5,0.416667,0.444421,1.021318,0.616216,0.044909,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy,edge_shift,0.25,32,37,36,0.222222,0.555556,0.33078,1.101886,0.671337,0.192489,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy,catch_heavy,0.25,32,37,36,0.722222,0.805556,0.033747,0.92253,0.552995,0.305833,4.825,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy,nominal,0.25,32,37,36,0.5,0.444444,0.060483,1.004428,0.605195,0.041597,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy,high_force,0.25,32,37,36,0.361111,0.361111,0.445999,1.133403,0.699026,0.235968,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy,edge_shift,0.25,32,37,36,0.611111,0.555556,0.340627,0.946487,0.551356,0.107743,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy,catch_heavy,0.25,32,37,36,0.138889,0.777778,0.02879,1.243348,0.784535,0.363819,4.8,1.0,0.0,1
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy,nominal,0.562784,32,37,36,0.444444,0.444444,0.167873,1.078897,0.671975,0.172806,4.375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy,high_force,0.562784,32,37,36,0.444444,0.444444,0.552864,1.164299,0.717899,0.272644,4.375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy,edge_shift,0.562784,32,37,36,0.555556,0.527778,0.40903,0.992638,0.584833,0.170932,4.375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy,catch_heavy,0.562784,32,37,36,0.111111,0.805556,0.150458,1.251834,0.820338,0.44705,4.8,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,13,nominal+high_force+edge_shift+catch_heavy,nominal,1.562333,32,37,36,0.333333,0.444444,0.1733,1.093106,0.665353,0.067257,4.35,1.0,1.0,1
