row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,wpu-cws-indexed-sparse,11,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.4375,0.4375,0.082228,1.22341,0.737384,0.38518,4.4375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.4375,0.4375,0.329825,1.134728,0.684719,0.004068,4.4375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.4375,0.6875,0.205559,1.016437,0.621303,0.26039,4.4375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0625,0.9375,0.089506,1.490381,0.898169,0.352563,4.9375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.6875,0.5625,0.231,0.975479,0.587262,0.286225,4.0625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5625,0.5625,0.827274,0.958317,0.587435,0.121434,4.4375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.125,0.75,0.138037,1.096857,0.672853,0.289683,4.9375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5,0.5625,0.091575,1.066686,0.645694,0.15238,4.5625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.3125,0.4375,0.190116,1.068473,0.646498,0.052913,4.5625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.625,0.75,0.133588,1.06557,0.644884,0.276964,4.5625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.1875,0.9375,0.104144,1.074812,0.65124,0.158154,4.9375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.75,0.5625,0.256415,1.025183,0.617546,0.386542,4.0625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5,0.5,0.583734,1.065506,0.643667,0.13449,4.5625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.6875,0.75,0.145952,1.069473,0.647458,0.341388,4.9375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.25,0.625,0.067915,1.121557,0.680299,0.428192,4.625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.25,0.5,0.225023,1.125525,0.684526,0.119005,4.625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5625,0.5625,0.192694,1.058051,0.638871,0.178881,4.625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0,0.875,0.077301,1.204857,0.737137,0.376583,4.875,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5625,0.5625,0.260613,1.005639,0.603602,0.22671,4.0625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.4375,0.4375,0.577432,1.094981,0.665826,0.068179,4.625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.625,0.625,0.202171,1.058198,0.638991,0.248002,4.875,1.0,0.0,1
seed,wpu-cws-indexed-local-dense,11,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.4375,0.4375,0.272004,1.200171,0.716208,0.019952,4.4375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5,0.4375,0.487832,1.126685,0.67717,0.070741,4.4375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.625,0.6875,0.384877,0.943315,0.568186,0.258566,4.4375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0,0.9375,0.282743,1.542131,0.92664,0.428835,4.9375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.8125,0.5625,0.424587,0.927203,0.554635,0.395524,4.0625,1.0,1.0,1
