row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,route_regret_mean,route_regret_negative_ratio,route_regret_loss_weight,route_regret_compute_cost,route_regret_threshold,route_regret_threshold_policy,route_regret_selection_metric,route_regret_selection_score,seed_count
seed,wpu-cws-indexed-sparse,11,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.083333,0.5,0.046023,1.07346,0.652613,0.282113,4.416667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.416667,0.102186,1.099252,0.666244,0.138942,4.416667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.25,0.75,0.067525,1.1575,0.704023,0.116569,4.416667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.0,1.0,0.039378,1.0892,0.665236,0.382668,5.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.333333,0.666667,0.098569,1.081771,0.656132,0.020901,4.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.583333,0.258271,1.172008,0.711462,0.056119,4.416667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.0,0.833333,0.039844,1.236529,0.756441,0.383634,5.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.5,0.050786,1.065439,0.643437,0.213631,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.666667,0.333333,0.084195,1.046201,0.631671,0.30016,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.25,0.75,0.064813,1.102449,0.670271,0.119194,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,1.0,0.916667,0.054987,0.980357,0.586208,0.624777,4.916667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.583333,0.094371,1.10994,0.673508,0.054438,4.083333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.5,0.233841,1.058113,0.64099,0.133973,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.25,0.75,0.06892,1.078597,0.655568,0.124966,4.916667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.583333,0.075547,1.094471,0.664843,0.225182,4.583333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.416667,0.128309,1.068597,0.647081,0.14463,4.583333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.333333,0.666667,0.093173,1.098744,0.667753,0.024488,4.583333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.916667,0.08148,1.096277,0.665547,0.228574,4.916667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.25,0.5,0.158117,1.118712,0.681185,0.107733,4.083333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.166667,0.5,0.265221,1.08868,0.661059,0.188144,4.583333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.25,0.75,0.099196,1.117156,0.679581,0.104414,4.916667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,11,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.5,0.068045,1.049955,0.637563,0.038703,4.416667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
