row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,route_regret_mean,route_regret_negative_ratio,route_regret_loss_weight,route_regret_compute_cost,route_regret_threshold,route_regret_threshold_policy,route_regret_selection_metric,route_regret_selection_score,seed_count
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.35,0.5,0.045783,1.050414,0.635656,0.006627,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.35,0.4,0.118329,1.064911,0.643296,0.101667,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.15,0.6,0.083135,1.138808,0.692116,0.206791,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.4,0.9,0.041123,1.049596,0.63595,0.03276,4.9,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.2,0.55,0.097829,1.083785,0.65722,0.144707,4.05,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.15,0.5,0.246923,1.178094,0.716449,0.222346,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.15,0.65,0.065821,1.180822,0.719606,0.217358,4.9,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.7,0.6,0.044041,1.040335,0.626852,0.325937,4.6,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.8,0.5,0.081729,1.016144,0.610997,0.427152,4.6,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.35,0.65,0.069122,1.077202,0.653427,0.023585,4.6,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
