row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,target_mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,route_regret_mean,route_regret_negative_ratio,route_regret_loss_weight,global_delta_loss_weight,target_local_delta_loss_weight,route_regret_compute_cost,route_regret_threshold,route_regret_threshold_policy,route_regret_selection_metric,route_regret_selection_score,seed_count
seed,wpu-cws-indexed-mechanism-branch,11,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.8,0.5,0.057376,0.066268,0.937449,0.556176,0.398728,4.5,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,11,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.4,0.4,0.130972,0.394645,1.028088,0.620674,0.280245,4.5,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.45,0.6,0.095545,0.259466,1.000186,0.599788,0.127359,4.5,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,11,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.85,0.9,0.05554,0.058,1.002354,0.604205,0.517992,4.9,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,11,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.75,0.55,0.11125,0.239596,0.894326,0.526757,0.328099,4.05,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.35,0.5,0.262685,1.062196,1.073094,0.649732,0.210852,4.5,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.35,0.65,0.080186,0.184475,1.060894,0.644329,0.020917,4.9,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,13,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.65,0.6,0.063168,0.071454,1.026331,0.620392,0.275884,4.6,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,13,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.45,0.5,0.105643,0.253549,1.037626,0.627413,0.089288,4.6,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.55,0.65,0.087031,0.194836,1.039926,0.630262,0.257996,4.6,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,13,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.95,0.9,0.062927,0.066407,0.991346,0.594414,0.578174,4.9,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,13,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.25,0.6,0.120505,0.250567,1.044397,0.634483,0.126432,4.05,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.7,0.45,0.221398,0.833456,1.023783,0.617693,0.336999,4.6,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.55,0.65,0.086943,0.189957,1.044555,0.632134,0.184686,4.9,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,17,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.85,0.55,0.08099,0.089627,0.862347,0.509671,0.419372,4.55,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,17,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.8,0.45,0.181287,0.528182,0.903586,0.532514,0.367259,4.55,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,17,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.7,0.5,0.155469,0.452842,0.921059,0.54896,0.47332,4.55,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,17,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.9,0.85,0.07949,0.083241,0.859992,0.507273,0.474287,4.85,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,17,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.75,0.55,0.14776,0.298263,0.858457,0.508736,0.298596,4.05,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,17,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.6,0.45,0.313807,1.180188,0.957508,0.566245,0.25218,4.55,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,17,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.5,0.65,0.133489,0.345734,0.967218,0.583085,0.361573,4.85,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,11,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.4,0.5,0.059742,0.049743,1.062628,0.646604,0.383189,4.5,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,11,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.4,0.4,0.072784,0.420058,0.970658,0.572732,0.351516,4.5,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.35,0.6,0.060175,0.27509,1.205778,0.718253,0.289235,4.5,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,11,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.65,0.9,0.055716,0.040784,0.908243,0.54784,0.469791,4.9,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,11,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.45,0.55,0.067097,0.251793,1.104882,0.659173,0.277043,4.05,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.5,0.5,0.074203,1.153764,1.125946,0.642261,0.451526,4.5,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.25,0.65,0.056003,0.190769,1.259364,0.753169,0.258581,4.9,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.7,0.6,0.275603,0.354169,0.896192,0.53079,0.281379,4.6,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.65,0.5,0.266099,0.644298,0.987398,0.590619,0.21518,4.6,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.45,0.65,0.276059,0.594709,1.149272,0.689645,0.180035,4.6,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.9,0.9,0.275993,0.392763,0.879574,0.517461,0.477951,4.9,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.35,0.6,0.278945,0.62264,1.005537,0.61109,0.049393,4.05,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.4,0.45,0.267953,1.605472,1.254531,0.751252,0.341381,4.6,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.45,0.65,0.276441,0.628656,1.159359,0.695281,0.059962,4.9,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.75,0.55,0.34354,0.185112,0.651737,0.39989,0.124556,4.55,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.8,0.45,0.333663,0.620555,0.64938,0.378269,0.183482,4.55,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.5,0.5,0.344179,0.537918,0.86062,0.56996,0.158812,4.55,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,1.0,0.85,0.382948,0.20781,0.413289,0.188679,0.334855,4.85,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.45,0.55,0.291354,0.344258,0.893678,0.624635,0.231193,4.05,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.6,0.45,0.334884,1.26169,0.761011,0.464983,0.165563,4.55,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.35,0.65,0.383433,0.464909,1.05299,0.723998,0.32254,4.85,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.35,0.5,0.109676,0.065651,1.026234,0.62314,0.048429,4.5,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.1,0.4,0.110478,0.473774,1.101224,0.673204,0.288936,4.5,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.2,0.6,0.1102,0.32387,1.17621,0.714141,0.183241,4.5,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.25,0.9,0.109714,0.065623,0.995581,0.606823,0.358753,4.9,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.45,0.55,0.110203,0.281247,1.043537,0.631569,0.077333,4.05,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.0,0.5,0.112117,1.308286,1.170537,0.716284,0.388939,4.5,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.0,0.65,0.110066,0.235266,1.321382,0.800773,0.399673,4.9,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,13,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.7,0.6,0.1006,0.132265,0.968361,0.583432,0.32047,4.6,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,13,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.8,0.5,0.100978,0.315053,0.944096,0.559928,0.383086,4.6,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.35,0.65,0.100833,0.25271,1.07751,0.661451,0.104982,4.6,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,13,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,1.0,0.9,0.100656,0.132257,0.899872,0.528124,0.592771,4.9,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,13,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.4,0.6,0.100981,0.31101,1.077465,0.664534,0.276329,4.05,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.55,0.45,0.102129,0.909781,1.057864,0.643671,0.305427,4.6,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.35,0.65,0.100889,0.252611,1.078818,0.655855,0.110466,4.9,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,17,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.35,0.55,0.235777,0.172322,1.042566,0.625694,0.177592,4.55,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,17,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.7,0.45,0.236838,0.706225,1.042318,0.62787,0.321994,4.55,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,17,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.35,0.5,0.236705,0.64167,1.023238,0.614812,0.1776,4.55,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,17,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.05,0.85,0.235875,0.17242,1.199338,0.731518,0.337972,4.85,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,17,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.8,0.55,0.236469,0.432882,0.880457,0.51679,0.370161,4.05,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,17,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.5,0.45,0.238442,1.525629,1.13085,0.683028,0.162542,4.55,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,17,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.35,0.65,0.236554,0.512967,1.049173,0.630578,0.271357,4.85,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
summary,graph-transformer,all,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,,512,517,20,0.85,0.883333,0.238219,0.213786,0.733702,0.417993,0.427532,4.883333,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,3
summary,graph-transformer,all,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,,512,517,20,0.35,0.65,0.238626,0.428111,1.157238,0.724149,0.213694,4.883333,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,3
summary,graph-transformer,all,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,,512,517,20,0.5,0.466667,0.22568,1.340309,1.047163,0.619499,0.31949,4.55,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,3
