row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,target_mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,route_regret_mean,route_regret_negative_ratio,route_regret_loss_weight,global_delta_loss_weight,target_local_delta_loss_weight,route_regret_compute_cost,route_regret_threshold,route_regret_threshold_policy,route_regret_selection_metric,route_regret_selection_score,seed_count
seed,wpu-cws-indexed-mechanism-branch,11,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,40,0.525,0.475,0.068178,0.093515,1.002521,0.60497,0.065624,4.35,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,11,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,40,0.525,0.425,0.157945,0.47205,0.940965,0.556103,0.281054,4.35,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,40,0.5,0.55,0.128195,0.375095,0.954883,0.567994,0.157448,4.35,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,11,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,40,0.825,0.8,0.047437,0.051388,0.858999,0.503067,0.373677,4.825,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,11,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,40,0.375,0.675,0.108667,0.183067,1.05503,0.641607,0.136764,4.025,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,40,0.625,0.6,0.287609,1.098409,0.839643,0.474844,0.343631,4.35,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,40,0.4,0.575,0.06612,0.149278,0.999206,0.607044,0.108462,4.825,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,13,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,40,0.55,0.45,0.065239,0.093125,0.944346,0.575502,0.298809,4.4,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,13,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,40,0.275,0.375,0.146105,0.452342,0.997634,0.610309,0.130101,4.4,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,40,0.45,0.6,0.124698,0.380511,0.925776,0.563749,0.045654,4.4,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,13,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,40,0.45,0.8,0.055295,0.058295,0.977077,0.593858,0.129188,4.825,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,13,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,40,0.7,0.7,0.101559,0.190322,0.902585,0.550099,0.308199,4.025,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,40,0.4,0.55,0.286317,1.107864,0.940035,0.569934,0.106599,4.4,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,40,0.55,0.6,0.076824,0.171615,0.962094,0.581892,0.154948,4.825,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,17,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,40,0.6,0.45,0.066935,0.096093,0.793931,0.471091,0.12338,4.35,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-branch,17,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,40,0.675,0.4,0.209911,0.674508,0.814085,0.481894,0.092625,4.35,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,fixed,,,1
