row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,route_regret_mean,route_regret_negative_ratio,route_regret_loss_weight,route_regret_compute_cost,route_regret_threshold,route_regret_threshold_policy,route_regret_selection_metric,route_regret_selection_score,seed_count
seed,wpu-cws-indexed-sparse,11,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.416667,0.09305,1.070324,0.647586,0.039188,4.416667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.75,0.059024,1.032196,0.622679,0.115579,4.416667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,1.0,0.031806,1.047711,0.63447,0.044316,5.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.666667,0.666667,0.08657,1.001776,0.599817,0.279115,4.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.666667,0.333333,0.082518,1.07739,0.651566,0.304303,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.25,0.75,0.064089,1.124078,0.683236,0.103173,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.916667,0.056135,1.066729,0.645572,0.148683,4.916667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.333333,0.583333,0.090778,1.078878,0.653872,0.018278,4.083333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.416667,0.122415,1.104511,0.670389,0.156048,4.583333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.666667,0.087858,1.086739,0.658586,0.149343,4.583333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.666667,0.916667,0.074438,1.079868,0.654305,0.320754,4.916667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.5,0.157067,1.08923,0.659992,0.227912,4.083333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,11,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.416667,0.104065,1.070069,0.647804,0.032993,4.416667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,11,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.333333,0.75,0.079072,1.031897,0.623219,0.049217,4.416667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,11,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.75,1.0,0.046743,1.012162,0.609608,0.383486,5.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,11,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.666667,0.666667,0.11194,1.013859,0.608421,0.277543,4.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,13,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.333333,0.078674,1.075675,0.650798,0.142649,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,13,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.25,0.75,0.072246,1.106256,0.672091,0.101824,4.5,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,13,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.666667,0.916667,0.064394,1.076638,0.651776,0.320483,4.916667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,13,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.333333,0.583333,0.092381,1.087014,0.659395,0.014907,4.083333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,17,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.416667,0.122689,1.09192,0.661286,0.224258,4.583333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,17,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.666667,0.089881,1.076098,0.650563,0.129947,4.583333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,17,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.916667,0.916667,0.081068,1.040887,0.627631,0.555305,4.916667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,17,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.5,0.153356,1.06264,0.640325,0.204518,4.083333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,11,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.416667,0.1046,1.046998,0.629491,0.309261,4.416667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,11,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.333333,0.75,0.101207,1.08523,0.657702,0.091086,4.416667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,11,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.0,1.0,0.102604,1.174259,0.721954,0.393894,5.0,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,11,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.666667,0.107415,1.020432,0.615381,0.305944,4.0,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,13,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.333333,0.360188,1.143312,0.68506,0.072713,4.5,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,13,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.75,0.365887,1.253349,0.742786,0.03563,4.5,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,13,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.916667,0.916667,0.379384,0.921153,0.555024,0.512433,4.916667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,13,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.583333,0.360418,0.965321,0.584411,0.169781,4.083333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,17,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.416667,0.385837,0.834748,0.495034,0.125163,4.583333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,17,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.333333,0.666667,0.37765,1.145258,0.741043,0.420096,4.583333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,17,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,1.0,0.916667,0.48273,0.430807,0.191057,0.345303,4.916667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,graph-transformer,17,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.5,0.237886,0.961197,0.578647,0.123552,4.083333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,11,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.333333,0.416667,0.197196,1.183699,0.734541,0.184806,4.416667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,11,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.75,0.75,0.196868,0.92788,0.552054,0.254559,4.416667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,11,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.083333,1.0,0.196642,1.277093,0.780523,0.305939,5.0,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,11,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.666667,0.666667,0.197189,0.872306,0.51211,0.107269,4.0,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,13,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.666667,0.333333,0.146956,1.010435,0.608722,0.383146,4.5,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,13,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.25,0.75,0.146761,1.034731,0.63485,0.151914,4.5,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,13,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.916667,0.14673,1.04766,0.632381,0.214141,4.916667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,13,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.583333,0.146999,1.02765,0.631786,0.278616,4.083333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,17,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.416667,0.350137,1.086574,0.656018,0.118915,4.583333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,17,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.333333,0.666667,0.349961,1.019752,0.610657,0.323646,4.583333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,17,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.083333,0.916667,0.349825,1.216082,0.741797,0.300522,4.916667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,serialized-token,17,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.5,0.350754,0.915425,0.536423,0.292368,4.083333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
