row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.125,0.4375,0.111879,1.145766,0.69915,0.268454,4.4375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.4375,0.4375,0.539516,1.079116,0.65381,0.072525,4.4375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.25,0.6875,0.301903,1.078132,0.656214,0.14424,4.4375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0625,0.9375,0.117758,1.260824,0.771561,0.332326,4.9375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.375,0.5625,0.345567,1.032865,0.623751,0.338397,4.0625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5625,0.5625,1.297814,1.0411,0.627641,0.147271,4.4375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0625,0.75,0.193238,1.136092,0.695768,0.333005,4.9375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.375,0.5625,0.075698,1.094524,0.663085,0.0533,4.5625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.25,0.4375,0.189197,1.131552,0.690385,0.159204,4.5625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.75,0.75,0.15243,0.949443,0.56179,0.321435,4.5625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0,0.9375,0.080691,1.267823,0.784028,0.428696,4.9375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5625,0.5625,0.379415,1.012671,0.60582,0.134956,4.0625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5,0.5,0.870797,1.068573,0.646131,0.136951,4.5625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.75,0.75,0.157418,0.950874,0.562329,0.321061,4.9375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.25,0.625,0.149549,1.167417,0.711341,0.130125,4.625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.25,0.5,0.38602,1.157967,0.704969,0.149411,4.625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5625,0.5625,0.32343,1.062174,0.641477,0.182357,4.625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0,0.875,0.153186,1.21222,0.741447,0.380262,4.875,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5625,0.5625,0.4566,1.048783,0.634638,0.182726,4.0625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.4375,0.4375,0.88679,1.056297,0.638419,0.25424,4.625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal+high_force+edge_shift+catch_heavy+no_catch+edge_high_force+edge_catch_heavy,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.625,0.625,0.327097,1.054027,0.635791,0.244722,4.875,1.0,0.0,1
