row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,route_regret_mean,route_regret_negative_ratio,route_regret_loss_weight,route_regret_compute_cost,route_regret_threshold,route_regret_threshold_policy,route_regret_selection_metric,route_regret_selection_score,seed_count
seed,wpu-cws-indexed-physics-regret-hybrid,11,nominal,high_force,1.0,mechanism_prior,0.5,selected,nll_ece,0.891254,-0.243662;0.700583;-0.456921,512,517,12,0.416667,0.416667,0.092531,1.165923,0.723017,0.212618,4.416667,1.0,0.0,-0.064215,1.0,1.0,0.05,-0.25,selected,compute_adjusted_nll,1.090851,1
seed,wpu-cws-indexed-physics-regret-hybrid,11,nominal,edge_shift,1.0,mechanism_prior,0.25,selected,nll_ece,1.012963,0.120069;0.242512;-0.362580,512,517,12,0.25,0.75,0.06214,0.951392,0.594378,0.191922,4.416667,1.0,0.0,-0.065649,1.0,1.0,0.05,-0.25,selected,compute_adjusted_nll,1.090851,1
seed,wpu-cws-indexed-physics-regret-hybrid,11,nominal,catch_heavy,1.0,mechanism_prior,1.0,selected,nll_ece,1.101733,0.200574;-0.667777;0.467203,512,517,12,1.0,1.0,0.034789,0.823498,0.49296,0.561088,5.0,1.0,0.0,-0.049599,1.0,1.0,0.05,-0.25,selected,compute_adjusted_nll,1.090851,1
seed,wpu-cws-indexed-physics-regret-hybrid,11,nominal,no_catch,1.0,mechanism_prior,0.25,selected,nll_ece,0.985146,0.120069;0.242512;-0.362580,512,517,12,0.333333,0.666667,0.091689,0.889537,0.548896,0.09957,4.0,1.0,0.0,-0.049074,1.0,1.0,0.05,-0.25,selected,compute_adjusted_nll,1.090851,1
seed,wpu-cws-indexed-physics-regret-hybrid,13,nominal,high_force,1.0,mechanism_prior,0.25,selected,nll_ece,1.143332,-0.094774;0.269491;-0.174717,512,517,12,0.333333,0.333333,0.089069,1.161779,0.710623,0.174808,4.5,1.0,0.083333,0.31868,0.0,1.0,0.05,0.25,selected,compute_adjusted_nll,1.028473,1
seed,wpu-cws-indexed-physics-regret-hybrid,13,nominal,edge_shift,1.0,mechanism_prior,0.25,selected,nll_ece,0.935781,0.087956;0.296184;-0.384140,512,517,12,0.166667,0.75,0.10764,1.006271,0.642112,0.310485,4.5,1.0,0.333333,0.315952,0.0,1.0,0.05,0.25,selected,compute_adjusted_nll,1.028473,1
seed,wpu-cws-indexed-physics-regret-hybrid,13,nominal,catch_heavy,1.0,mechanism_prior,1.0,selected,nll_ece,0.954532,0.211421;-0.613898;0.402476,512,517,12,0.0,0.916667,0.063672,1.002412,0.626332,0.434127,4.916667,1.0,0.083333,0.357012,0.0,1.0,0.05,0.25,selected,compute_adjusted_nll,1.028473,1
seed,wpu-cws-indexed-physics-regret-hybrid,13,nominal,no_catch,1.0,mechanism_prior,0.25,selected,nll_ece,0.975645,0.122780;0.255982;-0.378762,512,517,12,0.333333,0.583333,0.18031,0.903433,0.568059,0.139368,4.083333,1.0,0.666667,0.243232,0.0,1.0,0.05,0.25,selected,compute_adjusted_nll,1.028473,1
seed,wpu-cws-indexed-physics-regret-hybrid,17,nominal,high_force,1.0,mechanism_prior,0.25,selected,nll_ece,1.065366,-0.039933;0.301378;-0.261445,512,517,12,0.25,0.416667,0.131545,1.312061,0.798933,0.271359,4.583333,1.0,0.0,0.123138,0.0,1.0,0.05,0.0,selected,compute_adjusted_nll,1.054374,1
seed,wpu-cws-indexed-physics-regret-hybrid,17,nominal,edge_shift,1.0,mechanism_prior,0.5,selected,nll_ece,0.844806,0.013404;0.762790;-0.776195,512,517,12,0.166667,0.666667,0.093618,1.334198,0.872193,0.462967,4.583333,1.0,0.0,0.123406,0.0,1.0,0.05,0.0,selected,compute_adjusted_nll,1.054374,1
seed,wpu-cws-indexed-physics-regret-hybrid,17,nominal,catch_heavy,1.0,mechanism_prior,1.0,selected,nll_ece,1.365037,-0.005579;-0.047252;0.052831,512,517,12,0.0,0.916667,0.081371,1.347966,0.821101,0.385132,4.916667,1.0,0.0,0.116354,0.0,1.0,0.05,0.0,selected,compute_adjusted_nll,1.054374,1
seed,wpu-cws-indexed-physics-regret-hybrid,17,nominal,no_catch,1.0,mechanism_prior,0.25,selected,nll_ece,0.97731,0.113447;0.269273;-0.382719,512,517,12,0.5,0.5,0.160226,0.925417,0.563273,0.047897,4.083333,1.0,0.0,0.071046,0.0,1.0,0.05,0.0,selected,compute_adjusted_nll,1.054374,1
seed,graph-transformer,11,nominal,high_force,1.0,mechanism_prior,0.5,selected,nll_ece,0.990514,-0.243662;0.700583;-0.456921,512,517,12,0.416667,0.416667,0.1046,1.244709,0.775991,0.313468,4.416667,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,graph-transformer,11,nominal,edge_shift,1.0,mechanism_prior,0.5,selected,nll_ece,1.124992,0.240137;0.485023;-0.725161,512,517,12,0.25,0.75,0.101207,0.966768,0.646325,0.440131,4.416667,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,graph-transformer,11,nominal,catch_heavy,1.0,mechanism_prior,1.0,selected,nll_ece,0.918129,0.200574;-0.667777;0.467203,512,517,12,1.0,1.0,0.102604,0.775153,0.454099,0.53936,5.0,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,graph-transformer,11,nominal,no_catch,1.0,mechanism_prior,0.0,selected,nll_ece,1.081814,0.000000;0.000000;0.000000,512,517,12,0.416667,0.666667,0.107415,1.020432,0.615381,0.305944,4.0,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,graph-transformer,13,nominal,high_force,1.0,mechanism_prior,0.0,selected,nll_ece,1.243549,0.000000;0.000000;0.000000,512,517,12,0.5,0.333333,0.360188,1.143312,0.68506,0.072713,4.5,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,graph-transformer,13,nominal,edge_shift,1.0,mechanism_prior,0.25,selected,nll_ece,1.115503,0.087956;0.296184;-0.384140,512,517,12,0.25,0.75,0.365887,1.219066,0.751783,0.244216,4.5,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,graph-transformer,13,nominal,catch_heavy,1.0,mechanism_prior,0.75,selected,nll_ece,1.012442,0.158566;-0.460423;0.301857,512,517,12,0.833333,0.916667,0.379384,0.726197,0.401037,0.324541,4.916667,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,graph-transformer,13,nominal,no_catch,1.0,mechanism_prior,0.5,selected,nll_ece,1.005808,0.245561;0.511963;-0.757524,512,517,12,0.416667,0.583333,0.360418,0.875204,0.553833,0.327346,4.083333,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,graph-transformer,17,nominal,high_force,1.0,mechanism_prior,0.75,selected,nll_ece,1.100992,-0.119798;0.904133;-0.784336,512,517,12,0.583333,0.416667,0.385837,1.002678,0.627037,0.461892,4.583333,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,graph-transformer,17,nominal,edge_shift,1.0,mechanism_prior,1.0,selected,nll_ece,1.048925,0.026809;1.525581;-1.552390,512,517,12,0.166667,0.666667,0.37765,1.404673,0.947525,0.527142,4.583333,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,graph-transformer,17,nominal,catch_heavy,1.0,mechanism_prior,0.0,selected,nll_ece,1.26827,0.000000;0.000000;0.000000,512,517,12,1.0,0.916667,0.48273,0.430807,0.191057,0.345303,4.916667,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,graph-transformer,17,nominal,no_catch,1.0,mechanism_prior,0.5,selected,nll_ece,1.135973,0.226893;0.538545;-0.765438,512,517,12,0.5,0.5,0.237886,0.86255,0.564908,0.142537,4.083333,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,serialized-token,11,nominal,high_force,1.0,mechanism_prior,1.0,selected,nll_ece,1.245272,-0.487324;1.401166;-0.913842,512,517,12,0.416667,0.416667,0.197196,1.395485,0.836152,0.31217,4.416667,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
