row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,route_regret_mean,route_regret_negative_ratio,route_regret_loss_weight,route_regret_compute_cost,route_regret_threshold,route_regret_threshold_policy,route_regret_selection_metric,route_regret_selection_score,seed_count
seed,wpu-cws-indexed-sparse,11,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.4375,0.4375,0.036092,1.062641,0.64271,0.068717,4.4375,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.125,0.4375,0.100114,1.085442,0.661309,0.251215,4.4375,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.4375,0.6875,0.063833,1.038057,0.628038,0.068923,4.4375,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0625,0.9375,0.032271,1.136047,0.691618,0.284293,4.9375,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5625,0.5625,0.085031,1.001234,0.604192,0.177495,4.0625,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0,0.5625,0.253634,1.052351,0.641297,0.376504,4.4375,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,11,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.3125,0.75,0.043842,1.092622,0.663391,0.034711,4.9375,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5625,0.5625,0.051936,1.043335,0.629563,0.204395,4.5625,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.625,0.4375,0.076251,1.071563,0.648219,0.271653,4.5625,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.125,0.75,0.062068,1.158023,0.704668,0.23483,4.5625,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.9375,0.9375,0.056369,0.990332,0.593966,0.56581,4.9375,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.25,0.5625,0.110648,1.101314,0.668432,0.08977,4.0625,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0625,0.5,0.214261,1.161633,0.707244,0.291866,4.5625,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,13,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.1875,0.75,0.066354,1.193896,0.72738,0.185784,4.9375,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.25,0.625,0.075372,1.152853,0.709704,0.192139,4.625,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.25,0.5,0.147635,1.169752,0.718536,0.205476,4.625,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5625,0.5625,0.112726,1.014747,0.608223,0.120405,4.625,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0,0.875,0.080146,1.238119,0.772211,0.444811,4.875,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5625,0.5625,0.137196,1.04245,0.626429,0.127962,4.0625,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.4375,0.4375,0.262936,1.067721,0.643565,0.018163,4.625,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.625,0.625,0.117574,0.978103,0.58292,0.180234,4.875,1.0,0.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,11,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.3125,0.4375,0.214663,1.023044,0.620741,0.063968,4.4375,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,11,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.125,0.4375,0.250383,1.060003,0.646759,0.261239,4.4375,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,11,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.3125,0.6875,0.243439,1.10871,0.674197,0.064817,4.4375,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,11,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.3125,0.9375,0.212846,1.0207,0.619547,0.142719,4.9375,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,11,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.4375,0.5625,0.291204,0.988632,0.598408,0.059591,4.0625,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,11,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.125,0.5625,0.402823,1.091068,0.665646,0.261308,4.4375,1.0,1.0,0.0,0.0,1.0,0.05,0.0,fixed,,,1
