row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,target_mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,route_regret_mean,route_regret_negative_ratio,route_regret_loss_weight,global_delta_loss_weight,target_local_delta_loss_weight,route_regret_compute_cost,route_regret_threshold,route_regret_threshold_policy,route_regret_selection_metric,route_regret_selection_score,seed_count
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.85,0.5,0.035701,0.03606,0.959735,0.573894,0.458696,4.5,1.0,0.0,0.0,0.0,0.0,0.1,0.5,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.5,0.4,0.107775,0.351327,1.030661,0.628498,0.385241,4.5,1.0,0.0,0.0,0.0,0.0,0.1,0.5,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.4,0.6,0.073461,0.227729,1.035764,0.627967,0.11102,4.5,1.0,0.0,0.0,0.0,0.0,0.1,0.5,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.9,0.9,0.035588,0.030662,0.934727,0.554291,0.501229,4.9,1.0,0.0,0.0,0.0,0.0,0.1,0.5,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.6,0.55,0.079384,0.196593,0.988646,0.598124,0.270427,4.05,1.0,0.0,0.0,0.0,0.0,0.1,0.5,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.3,0.5,0.23548,0.997798,1.056722,0.647354,0.28556,4.5,1.0,0.0,0.0,0.0,0.0,0.1,0.5,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,11,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.25,0.65,0.06101,0.160526,1.095307,0.667262,0.146589,4.9,1.0,0.0,0.0,0.0,0.0,0.1,0.5,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,13,nominal+high_force+edge_shift+catch_heavy+no_catch,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.9,0.6,0.042279,0.046831,0.984766,0.589657,0.522685,4.6,1.0,0.0,0.0,0.0,0.0,0.1,0.5,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,13,nominal+high_force+edge_shift+catch_heavy+no_catch,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.65,0.5,0.083159,0.210905,1.047958,0.632326,0.285081,4.6,1.0,0.0,0.0,0.0,0.0,0.1,0.5,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-factorized,13,nominal+high_force+edge_shift+catch_heavy+no_catch,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,20,0.45,0.65,0.064462,0.158309,1.113932,0.674613,0.073413,4.6,1.0,0.0,0.0,0.0,0.0,0.1,0.5,0.05,0.0,fixed,,,1
