"row_type","model","seed","train_mechanism","eval_mechanism","temperature","calibration_mode","mechanism_prior_strength","calibration_bias","background_objects","total_objects_n","samples","branch_accuracy","majority_accuracy","mse","nll","brier","ece","selected_k_mean","causal_recall_mean","dense_compute_ratio","seed_count"
"seed","wpu-cws-indexed-sparse","11","nominal","nominal","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.5","0.444444","0.045138","1.025639","0.629066","0.201548","4.375","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","nominal","1.0","mechanism_prior","0.25","0.046769;0.063259;-0.110028","32","37","36","0.5","0.444444","0.045138","1.04283","0.634587","0.149753","4.375","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","nominal","1.0","mechanism_prior","0.5","0.093539;0.126518;-0.220056","32","37","36","0.5","0.444444","0.045138","1.065396","0.642778","0.154441","4.375","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","nominal","1.0","mechanism_prior","0.75","0.140308;0.189776;-0.330084","32","37","36","0.5","0.444444","0.045138","1.092959","0.653026","0.187235","4.375","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","nominal","1.0","mechanism_prior","1.0","0.187077;0.253035;-0.440112","32","37","36","0.5","0.444444","0.045138","1.125127","0.664741","0.173148","4.375","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","high_force","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.472222","0.444444","0.456995","1.056283","0.63888","0.130624","4.375","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","high_force","1.0","mechanism_prior","0.25","-0.206131;0.316159;-0.110028","32","37","36","0.444444","0.444444","0.456995","1.137616","0.697675","0.233941","4.375","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","high_force","1.0","mechanism_prior","0.5","-0.412262;0.632318;-0.220056","32","37","36","0.444444","0.444444","0.456995","1.266517","0.777166","0.324641","4.375","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","high_force","1.0","mechanism_prior","0.75","-0.618393;0.948477;-0.330084","32","37","36","0.444444","0.444444","0.456995","1.433927","0.858915","0.395669","4.375","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","high_force","1.0","mechanism_prior","1.0","-0.824524;1.264636;-0.440112","32","37","36","0.444444","0.444444","0.456995","1.63039","0.930436","0.447899","4.375","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","edge_shift","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.611111","0.527778","0.30669","1.016425","0.612921","0.153336","4.375","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","edge_shift","1.0","mechanism_prior","0.25","0.051072;0.292655;-0.343727","32","37","36","0.611111","0.527778","0.30669","0.978426","0.587771","0.203765","4.375","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","edge_shift","1.0","mechanism_prior","0.5","0.102144;0.585311;-0.687455","32","37","36","0.611111","0.527778","0.30669","0.994299","0.601134","0.185727","4.375","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","edge_shift","1.0","mechanism_prior","0.75","0.153216;0.877966;-1.031182","32","37","36","0.555556","0.527778","0.30669","1.053877","0.638798","0.212881","4.375","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","edge_shift","1.0","mechanism_prior","1.0","0.204288;1.170622;-1.374910","32","37","36","0.527778","0.527778","0.30669","1.147523","0.69037","0.262911","4.375","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","catch_heavy","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.138889","0.805556","0.013176","1.117214","0.698475","0.322649","4.8","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","catch_heavy","1.0","mechanism_prior","0.25","0.008774;-0.208314;0.199540","32","37","36","0.583333","0.805556","0.013176","0.9802","0.60642","0.230694","4.8","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","catch_heavy","1.0","mechanism_prior","0.5","0.017548;-0.416628;0.399080","32","37","36","0.638889","0.805556","0.013176","0.867988","0.526214","0.21939","4.8","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","catch_heavy","1.0","mechanism_prior","0.75","0.026321;-0.624942;0.598621","32","37","36","0.805556","0.805556","0.013176","0.779743","0.460679","0.293437","4.8","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","11","nominal","catch_heavy","1.0","mechanism_prior","1.0","0.035095;-0.833256;0.798161","32","37","36","0.805556","0.805556","0.013176","0.713866","0.410737","0.229335","4.8","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","nominal","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.472222","0.444444","0.046258","1.063577","0.647906","0.23173","4.35","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","nominal","1.0","mechanism_prior","0.25","0.016873;0.067949;-0.084822","32","37","36","0.472222","0.444444","0.046258","1.08339","0.660604","0.21216","4.35","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","nominal","1.0","mechanism_prior","0.5","0.033747;0.135897;-0.169644","32","37","36","0.444444","0.444444","0.046258","1.107162","0.675993","0.132498","4.35","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","nominal","1.0","mechanism_prior","0.75","0.050620;0.203846;-0.254466","32","37","36","0.416667","0.444444","0.046258","1.134737","0.693712","0.181987","4.35","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","nominal","1.0","mechanism_prior","1.0","0.067494;0.271794;-0.339288","32","37","36","0.361111","0.444444","0.046258","1.165945","0.713387","0.200948","4.35","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","high_force","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.416667","0.416667","0.463102","1.070543","0.648597","0.09035","4.35","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","high_force","1.0","mechanism_prior","0.25","-0.212199;0.297021;-0.084822","32","37","36","0.416667","0.416667","0.463102","1.133506","0.695229","0.196915","4.35","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","high_force","1.0","mechanism_prior","0.5","-0.424398;0.594042;-0.169644","32","37","36","0.416667","0.416667","0.463102","1.242242","0.767701","0.292824","4.35","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","high_force","1.0","mechanism_prior","0.75","-0.636598;0.891064;-0.254466","32","37","36","0.416667","0.416667","0.463102","1.390016","0.849899","0.372491","4.35","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","high_force","1.0","mechanism_prior","1.0","-0.848797;1.188085;-0.339288","32","37","36","0.416667","0.416667","0.463102","1.568789","0.927771","0.434454","4.35","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","edge_shift","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.583333","0.555556","0.328101","1.058998","0.636749","0.189134","4.35","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","edge_shift","1.0","mechanism_prior","0.25","0.020799;0.286657;-0.307456","32","37","36","0.555556","0.555556","0.328101","1.045841","0.632943","0.195539","4.35","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","edge_shift","1.0","mechanism_prior","0.5","0.041598;0.573315;-0.614913","32","37","36","0.305556","0.555556","0.328101","1.086985","0.675341","0.266415","4.35","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","edge_shift","1.0","mechanism_prior","0.75","0.062397;0.859972;-0.922369","32","37","36","0.305556","0.555556","0.328101","1.17357","0.746604","0.350535","4.35","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","edge_shift","1.0","mechanism_prior","1.0","0.083196;1.146629;-1.229826","32","37","36","0.305556","0.555556","0.328101","1.296069","0.830825","0.421758","4.35","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","catch_heavy","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.25","0.805556","0.014584","1.094987","0.674535","0.174747","4.825","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","catch_heavy","1.0","mechanism_prior","0.25","-0.004412;-0.192215;0.196628","32","37","36","0.666667","0.805556","0.014584","0.956547","0.576507","0.254728","4.825","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","catch_heavy","1.0","mechanism_prior","0.5","-0.008825;-0.384430;0.393255","32","37","36","0.805556","0.805556","0.014584","0.844099","0.494527","0.337971","4.825","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","catch_heavy","1.0","mechanism_prior","0.75","-0.013237;-0.576645;0.589883","32","37","36","0.805556","0.805556","0.014584","0.756804","0.431056","0.267042","4.825","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","13","nominal","catch_heavy","1.0","mechanism_prior","1.0","-0.017650;-0.768861;0.786510","32","37","36","0.805556","0.805556","0.014584","0.692901","0.385942","0.199462","4.825","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","nominal","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.305556","0.444444","0.047368","1.042883","0.633588","0.092996","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","nominal","1.0","mechanism_prior","0.25","-0.008260;0.078263;-0.070003","32","37","36","0.555556","0.444444","0.047368","1.062563","0.645313","0.241116","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","nominal","1.0","mechanism_prior","0.5","-0.016520;0.156526;-0.140006","32","37","36","0.5","0.444444","0.047368","1.085942","0.660019","0.221778","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","nominal","1.0","mechanism_prior","0.75","-0.024781;0.234789;-0.210009","32","37","36","0.416667","0.444444","0.047368","1.113025","0.677645","0.173756","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","nominal","1.0","mechanism_prior","1.0","-0.033041;0.313052;-0.280012","32","37","36","0.333333","0.444444","0.047368","1.143794","0.698081","0.126225","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","high_force","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.361111","0.361111","0.428917","1.080953","0.656489","0.128142","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","high_force","1.0","mechanism_prior","0.25","-0.197628;0.291948;-0.094320","32","37","36","0.361111","0.361111","0.428917","1.152674","0.709778","0.213539","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","high_force","1.0","mechanism_prior","0.5","-0.395256;0.583896;-0.188640","32","37","36","0.361111","0.361111","0.428917","1.270126","0.791513","0.312964","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","high_force","1.0","mechanism_prior","0.75","-0.592884;0.875844;-0.282960","32","37","36","0.361111","0.361111","0.428917","1.428178","0.886514","0.398478","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","high_force","1.0","mechanism_prior","1.0","-0.790512;1.167792;-0.377280","32","37","36","0.361111","0.361111","0.428917","1.619655","0.979229","0.466997","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","edge_shift","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.305556","0.555556","0.331112","1.053039","0.637195","0.135603","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","edge_shift","1.0","mechanism_prior","0.25","-0.031524;0.300695;-0.269171","32","37","36","0.527778","0.555556","0.331112","1.042791","0.629149","0.149153","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","edge_shift","1.0","mechanism_prior","0.5","-0.063047;0.601389;-0.538342","32","37","36","0.305556","0.555556","0.331112","1.086365","0.66943","0.239842","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","edge_shift","1.0","mechanism_prior","0.75","-0.094571;0.902084;-0.807513","32","37","36","0.305556","0.555556","0.331112","1.179516","0.747441","0.337223","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","edge_shift","1.0","mechanism_prior","1.0","-0.126095;1.202779;-1.076684","32","37","36","0.305556","0.555556","0.331112","1.315167","0.846407","0.421915","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","catch_heavy","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.5","0.777778","0.013702","1.05647","0.643745","0.247528","4.8","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","catch_heavy","1.0","mechanism_prior","0.25","-0.030488;-0.175656;0.206144","32","37","36","0.694444","0.777778","0.013702","0.929114","0.555108","0.274116","4.8","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","catch_heavy","1.0","mechanism_prior","0.5","-0.060977;-0.351311;0.412288","32","37","36","0.777778","0.777778","0.013702","0.827159","0.481822","0.288203","4.8","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","catch_heavy","1.0","mechanism_prior","0.75","-0.091465;-0.526967;0.618433","32","37","36","0.777778","0.777778","0.013702","0.750186","0.426874","0.21434","4.8","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","17","nominal","catch_heavy","1.0","mechanism_prior","1.0","-0.121954;-0.702623;0.824577","32","37","36","0.777778","0.777778","0.013702","0.696793","0.390477","0.144187","4.8","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","19","nominal","nominal","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.472222","0.444444","0.062364","1.038552","0.629096","0.077765","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","19","nominal","nominal","1.0","mechanism_prior","0.25","-0.023942;0.076098;-0.052157","32","37","36","0.472222","0.444444","0.062364","1.058676","0.642001","0.077186","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","19","nominal","nominal","1.0","mechanism_prior","0.5","-0.047883;0.152197;-0.104314","32","37","36","0.444444","0.444444","0.062364","1.081865","0.657533","0.176618","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","19","nominal","nominal","1.0","mechanism_prior","0.75","-0.071825;0.228295;-0.156470","32","37","36","0.388889","0.444444","0.062364","1.10818","0.675745","0.158377","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","19","nominal","nominal","1.0","mechanism_prior","1.0","-0.095766;0.304394;-0.208627","32","37","36","0.361111","0.444444","0.062364","1.13767","0.696639","0.166176","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","19","nominal","high_force","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.361111","0.361111","0.42126","1.066856","0.646505","0.117879","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","19","nominal","high_force","1.0","mechanism_prior","0.25","-0.251039;0.314189;-0.063150","32","37","36","0.361111","0.361111","0.42126","1.143415","0.702028","0.208773","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","19","nominal","high_force","1.0","mechanism_prior","0.5","-0.502078;0.628378;-0.126299","32","37","36","0.361111","0.361111","0.42126","1.272802","0.7884","0.31254","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","19","nominal","high_force","1.0","mechanism_prior","0.75","-0.753118;0.942567;-0.189449","32","37","36","0.361111","0.361111","0.42126","1.44758","0.88747","0.400394","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","19","nominal","high_force","1.0","mechanism_prior","1.0","-1.004157;1.256756;-0.252599","32","37","36","0.361111","0.361111","0.42126","1.658481","0.98227","0.469582","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","19","nominal","edge_shift","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.638889","0.555556","0.340637","1.031358","0.620644","0.245246","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","19","nominal","edge_shift","1.0","mechanism_prior","0.25","-0.016656;0.286116;-0.269460","32","37","36","0.583333","0.555556","0.340637","1.016684","0.610031","0.128392","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","19","nominal","edge_shift","1.0","mechanism_prior","0.5","-0.033313;0.572232;-0.538920","32","37","36","0.305556","0.555556","0.340637","1.051942","0.644654","0.227411","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","19","nominal","edge_shift","1.0","mechanism_prior","0.75","-0.049969;0.858349;-0.808380","32","37","36","0.305556","0.555556","0.340637","1.132674","0.714534","0.319782","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","19","nominal","edge_shift","1.0","mechanism_prior","1.0","-0.066626;1.144465;-1.077839","32","37","36","0.305556","0.555556","0.340637","1.252261","0.805109","0.401073","4.4","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","19","nominal","catch_heavy","1.0","mechanism_prior","0.0","0.000000;0.000000;0.000000","32","37","36","0.138889","0.777778","0.035507","1.071386","0.654721","0.254779","4.825","1.0","0.0","1"
"seed","wpu-cws-indexed-sparse","19","nominal","catch_heavy","1.0","mechanism_prior","0.25","-0.067289;-0.166876;0.234164","32","37","36","0.75","0.777778","0.035507","0.92791","0.554457","0.331743","4.825","1.0","0.0","1"
