row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,wpu-cws-indexed-sparse,11,nominal,nominal,1.0,mechanism_prior,1.0,selected,nll_ece,1.068694,0.187077;0.253035;-0.440112,32,37,36,0.5,0.444444,0.045138,1.125127,0.664741,0.173148,4.375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,high_force,1.0,mechanism_prior,0.0,selected,nll_ece,0.988072,0.000000;0.000000;0.000000,32,37,36,0.472222,0.444444,0.456995,1.056283,0.63888,0.130624,4.375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,edge_shift,1.0,mechanism_prior,0.75,selected,nll_ece,0.958164,0.153216;0.877966;-1.031182,32,37,36,0.555556,0.527778,0.30669,1.053877,0.638798,0.212881,4.375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,catch_heavy,1.0,mechanism_prior,1.0,selected,nll_ece,0.910997,0.035095;-0.833256;0.798161,32,37,36,0.805556,0.805556,0.013176,0.713866,0.410737,0.229335,4.8,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,nominal,1.0,mechanism_prior,0.75,selected,nll_ece,1.154038,0.050620;0.203846;-0.254466,32,37,36,0.416667,0.444444,0.046258,1.134737,0.693712,0.181987,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,high_force,1.0,mechanism_prior,0.25,selected,nll_ece,1.125195,-0.212199;0.297021;-0.084822,32,37,36,0.416667,0.416667,0.463102,1.133506,0.695229,0.196915,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,edge_shift,1.0,mechanism_prior,0.25,selected,nll_ece,1.067322,0.020799;0.286657;-0.307456,32,37,36,0.555556,0.555556,0.328101,1.045841,0.632943,0.195539,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,catch_heavy,1.0,mechanism_prior,1.0,selected,nll_ece,0.915659,-0.017650;-0.768861;0.786510,32,37,36,0.805556,0.805556,0.014584,0.692901,0.385942,0.199462,4.825,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,nominal,1.0,mechanism_prior,0.0,selected,nll_ece,1.103717,0.000000;0.000000;0.000000,32,37,36,0.305556,0.444444,0.047368,1.042883,0.633588,0.092996,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,high_force,1.0,mechanism_prior,0.0,selected,nll_ece,1.10268,0.000000;0.000000;0.000000,32,37,36,0.361111,0.361111,0.428917,1.080953,0.656489,0.128142,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,edge_shift,1.0,mechanism_prior,0.5,selected,nll_ece,1.056236,-0.063047;0.601389;-0.538342,32,37,36,0.305556,0.555556,0.331112,1.086365,0.66943,0.239842,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,catch_heavy,1.0,mechanism_prior,1.0,selected,nll_ece,0.829066,-0.121954;-0.702623;0.824577,32,37,36,0.777778,0.777778,0.013702,0.696793,0.390477,0.144187,4.8,1.0,0.0,1
seed,wpu-cws-indexed-sparse,19,nominal,nominal,1.0,mechanism_prior,0.75,selected,nll_ece,1.150713,-0.071825;0.228295;-0.156470,32,37,36,0.388889,0.444444,0.062364,1.10818,0.675745,0.158377,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,19,nominal,high_force,1.0,mechanism_prior,0.25,selected,nll_ece,1.025609,-0.251039;0.314189;-0.063150,32,37,36,0.361111,0.361111,0.42126,1.143415,0.702028,0.208773,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,19,nominal,edge_shift,1.0,mechanism_prior,0.5,selected,nll_ece,1.070122,-0.033313;0.572232;-0.538920,32,37,36,0.305556,0.555556,0.340637,1.051942,0.644654,0.227411,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,19,nominal,catch_heavy,1.0,mechanism_prior,1.0,selected,nll_ece,0.789683,-0.269155;-0.667503;0.936658,32,37,36,0.777778,0.777778,0.035507,0.682035,0.379199,0.108267,4.825,1.0,0.0,1
seed,wpu-cws-indexed-sparse,23,nominal,nominal,1.0,mechanism_prior,0.0,selected,nll_ece,1.130845,0.000000;0.000000;0.000000,32,37,36,0.388889,0.472222,0.059325,1.06149,0.64263,0.016758,4.275,1.0,0.0,1
seed,wpu-cws-indexed-sparse,23,nominal,high_force,1.0,mechanism_prior,0.0,selected,nll_ece,1.074106,0.000000;0.000000;0.000000,32,37,36,0.472222,0.472222,0.6294,1.004313,0.603026,0.096425,4.275,1.0,0.0,1
seed,wpu-cws-indexed-sparse,23,nominal,edge_shift,1.0,mechanism_prior,0.25,selected,nll_ece,1.126887,-0.036482;0.274924;-0.238442,32,37,36,0.638889,0.444444,0.523854,0.97167,0.575905,0.183823,4.275,1.0,0.0,1
seed,wpu-cws-indexed-sparse,23,nominal,catch_heavy,1.0,mechanism_prior,1.0,selected,nll_ece,0.786861,-0.390256;-0.588082;0.978338,32,37,36,0.722222,0.722222,0.030328,0.74967,0.427338,0.055331,4.775,1.0,0.0,1
seed,wpu-cws-indexed-sparse,29,nominal,nominal,1.0,mechanism_prior,0.0,selected,nll_ece,1.103665,0.000000;0.000000;0.000000,32,37,36,0.555556,0.5,0.042478,1.035229,0.624426,0.136388,4.3,1.0,0.0,1
seed,wpu-cws-indexed-sparse,29,nominal,high_force,1.0,mechanism_prior,0.0,selected,nll_ece,1.117004,0.000000;0.000000;0.000000,32,37,36,0.472222,0.472222,0.648523,0.986319,0.587005,0.280555,4.3,1.0,0.0,1
seed,wpu-cws-indexed-sparse,29,nominal,edge_shift,1.0,mechanism_prior,0.5,selected,nll_ece,1.118414,-0.008978;0.520718;-0.511739,32,37,36,0.583333,0.472222,0.570537,0.887221,0.527804,0.054111,4.3,1.0,0.0,1
seed,wpu-cws-indexed-sparse,29,nominal,catch_heavy,1.0,mechanism_prior,1.0,selected,nll_ece,0.698372,-0.102550;-1.058061;1.160612,32,37,36,0.694444,0.694444,0.010738,0.767275,0.455018,0.080896,4.775,1.0,0.0,1
seed,wpu-cws-indexed-sparse,31,nominal,nominal,1.0,mechanism_prior,0.0,selected,nll_ece,1.14557,0.000000;0.000000;0.000000,32,37,36,0.416667,0.527778,0.045216,0.968732,0.591445,0.071508,4.35,1.0,0.0,1
