background_objects,branch_entropy_mean,branch_flip_rate,config,constraint_violations_per_step,correct_on_violation,corrected_object_fraction,correction_entropy_threshold,correction_rate,correction_raw_delta_threshold,correction_stride,correction_violation_margin,delta_clip,delta_norm_mean,delta_norm_penalty,delta_target_norm_slack,escalation_model,escalation_rate,escalation_success_rate,eval_mode,final_majority_branch_ratio,finite_delta_clamp,horizon,integrity_projection,low_disruption_integrity_score,meets_joint_target,model,raw_delta_norm_mean,rollback_on_violation,rollback_rate,rollout_consistency_penalty,rollout_consistency_slack,row_type,samples,seed,seed_count,selected_k_mean,selective_correction,state_integrity_score,state_validity_penalty,unsafe_delta_reject_norm,unsafe_delta_rejection_rate
32,0.399674,0.059028,baseline_finite,0.71,False,0.0,0.0,0.0,0.0,1,0,0.25,0.700808,0.0,0.5,,0.0,0.0,raw_finite_clamped,1.0,1.0,25,False,0.573166,0,wpu-cws-indexed-sparse,1885269.286784,False,0.0,0.0,0.5,seed,24,11,,4.416667,False,0.573166,0.0,0.0,0.0
32,0.399716,0.059028,baseline_finite,0.0,True,0.027461,0.0,0.71,0.0,1,0,0.25,0.689764,0.0,0.5,,0.0,0.0,selective_corrected,1.0,1.0,25,False,0.782434,0,wpu-cws-indexed-sparse,1885269.247918,False,0.0,0.0,0.5,seed,24,11,,4.416667,True,0.964053,0.0,0.0,0.0
32,0.471851,0.105903,baseline_finite,0.858333,False,0.0,0.0,0.0,0.0,1,0,0.25,0.717732,0.0,0.5,,0.0,0.0,raw_finite_clamped,1.0,1.0,25,False,0.481616,0,wpu-cws-indexed-sparse,1993310.979955,False,0.0,0.0,0.5,seed,24,13,,4.416667,False,0.481616,0.0,0.0,0.0
32,0.471933,0.109375,baseline_finite,0.0,True,0.027461,0.0,0.858333,0.0,1,0,0.25,0.705951,0.0,0.5,,0.0,0.0,selective_corrected,1.0,1.0,25,False,0.734714,0,wpu-cws-indexed-sparse,1993310.889654,False,0.0,0.0,0.5,seed,24,13,,4.416667,True,0.953417,0.0,0.0,0.0
32,0.398078,0.0625,delta_norm_mid,0.721667,False,0.0,0.0,0.0,0.0,1,0,0.25,0.704266,0.2,0.25,,0.0,0.0,raw_finite_clamped,1.0,1.0,25,False,0.565934,0,wpu-cws-indexed-sparse,1916427.621559,False,0.0,0.0,0.5,seed,24,11,,4.416667,False,0.565934,0.0,0.0,0.0
32,0.398115,0.0625,delta_norm_mid,0.0,True,0.027462,0.0,0.721667,0.0,1,0,0.25,0.693201,0.2,0.25,,0.0,0.0,selective_corrected,1.0,1.0,25,False,0.778702,0,wpu-cws-indexed-sparse,1916427.597903,False,0.0,0.0,0.5,seed,24,11,,4.416667,True,0.963238,0.0,0.0,0.0
32,0.474526,0.088542,delta_norm_mid,0.718333,False,0.0,0.0,0.0,0.0,1,0,0.25,0.683491,0.2,0.25,,0.0,0.0,raw_finite_clamped,1.0,1.0,25,False,0.563286,0,wpu-cws-indexed-sparse,1964433.029633,False,0.0,0.0,0.5,seed,24,13,,4.416667,False,0.563286,0.0,0.0,0.0
32,0.474507,0.090278,delta_norm_mid,0.0,True,0.027464,0.0,0.718333,0.0,1,0,0.25,0.673818,0.2,0.25,,0.0,0.0,selective_corrected,1.0,1.0,25,False,0.774658,0,wpu-cws-indexed-sparse,1964432.930246,False,0.0,0.0,0.5,seed,24,13,,4.416667,True,0.958361,0.0,0.0,0.0
32,0.396219,0.065972,delta_norm_strong,0.653333,False,0.0,0.0,0.0,0.0,1,0,0.25,0.67654,0.5,0.0,,0.0,0.0,raw_finite_clamped,1.0,1.0,25,False,0.603794,0,wpu-cws-indexed-sparse,2145011.818349,False,0.0,0.0,0.5,seed,24,11,,4.416667,False,0.603794,0.0,0.0,0.0
32,0.396235,0.065972,delta_norm_strong,0.0,True,0.027461,0.0,0.653333,0.0,1,0,0.25,0.667359,0.5,0.0,,0.0,0.0,selective_corrected,1.0,1.0,25,False,0.795996,0,wpu-cws-indexed-sparse,2145011.803055,False,0.0,0.0,0.5,seed,24,11,,4.416667,True,0.963448,0.0,0.0,0.0
32,0.471311,0.074653,delta_norm_strong,0.543333,False,0.0,0.0,0.0,0.0,1,0,0.25,0.66386,0.5,0.0,,0.0,0.0,raw_finite_clamped,1.0,1.0,25,False,0.663001,0,wpu-cws-indexed-sparse,1969993.051932,False,0.0,0.0,0.5,seed,24,13,,4.416667,False,0.663001,0.0,0.0,0.0
32,0.47131,0.074653,delta_norm_strong,0.0,True,0.027471,0.0,0.543333,0.0,1,0,0.25,0.656294,0.5,0.0,,0.0,0.0,selective_corrected,1.0,1.0,25,False,0.822145,0,wpu-cws-indexed-sparse,1969992.984974,False,0.0,0.0,0.5,seed,24,13,,4.416667,True,0.962099,0.0,0.0,0.0
32,0.399674,0.059028,validity_mid,0.71,False,0.0,0.0,0.0,0.0,1,0,0.25,0.700808,0.0,0.5,,0.0,0.0,raw_finite_clamped,1.0,1.0,25,False,0.573166,0,wpu-cws-indexed-sparse,1885269.286784,False,0.0,0.0,0.5,seed,24,11,,4.416667,False,0.573166,0.5,0.0,0.0
32,0.399716,0.059028,validity_mid,0.0,True,0.027461,0.0,0.71,0.0,1,0,0.25,0.689764,0.0,0.5,,0.0,0.0,selective_corrected,1.0,1.0,25,False,0.782434,0,wpu-cws-indexed-sparse,1885269.247918,False,0.0,0.0,0.5,seed,24,11,,4.416667,True,0.964053,0.5,0.0,0.0
32,0.471851,0.105903,validity_mid,0.858333,False,0.0,0.0,0.0,0.0,1,0,0.25,0.717732,0.0,0.5,,0.0,0.0,raw_finite_clamped,1.0,1.0,25,False,0.481616,0,wpu-cws-indexed-sparse,1993310.979955,False,0.0,0.0,0.5,seed,24,13,,4.416667,False,0.481616,0.5,0.0,0.0
32,0.471933,0.109375,validity_mid,0.0,True,0.027461,0.0,0.858333,0.0,1,0,0.25,0.705951,0.0,0.5,,0.0,0.0,selective_corrected,1.0,1.0,25,False,0.734714,0,wpu-cws-indexed-sparse,1993310.889654,False,0.0,0.0,0.5,seed,24,13,,4.416667,True,0.953417,0.5,0.0,0.0
32,0.399674,0.059028,validity_strong,0.71,False,0.0,0.0,0.0,0.0,1,0,0.25,0.700808,0.0,0.5,,0.0,0.0,raw_finite_clamped,1.0,1.0,25,False,0.573166,0,wpu-cws-indexed-sparse,1885269.286784,False,0.0,0.0,0.5,seed,24,11,,4.416667,False,0.573166,2.0,0.0,0.0
32,0.399716,0.059028,validity_strong,0.0,True,0.027461,0.0,0.71,0.0,1,0,0.25,0.689764,0.0,0.5,,0.0,0.0,selective_corrected,1.0,1.0,25,False,0.782434,0,wpu-cws-indexed-sparse,1885269.247918,False,0.0,0.0,0.5,seed,24,11,,4.416667,True,0.964053,2.0,0.0,0.0
32,0.471851,0.105903,validity_strong,0.858333,False,0.0,0.0,0.0,0.0,1,0,0.25,0.717732,0.0,0.5,,0.0,0.0,raw_finite_clamped,1.0,1.0,25,False,0.481616,0,wpu-cws-indexed-sparse,1993310.979955,False,0.0,0.0,0.5,seed,24,13,,4.416667,False,0.481616,2.0,0.0,0.0
32,0.471933,0.109375,validity_strong,0.0,True,0.027461,0.0,0.858333,0.0,1,0,0.25,0.705951,0.0,0.5,,0.0,0.0,selective_corrected,1.0,1.0,25,False,0.734714,0,wpu-cws-indexed-sparse,1993310.889654,False,0.0,0.0,0.5,seed,24,13,,4.416667,True,0.953417,2.0,0.0,0.0
32,0.398227,0.060764,combined_mid,0.716667,False,0.0,0.0,0.0,0.0,1,0,0.25,0.701041,0.2,0.25,,0.0,0.0,raw_finite_clamped,1.0,1.0,25,False,0.569144,0,wpu-cws-indexed-sparse,1923913.471777,False,0.0,0.02,0.25,seed,24,11,,4.416667,False,0.569144,0.5,0.0,0.0
32,0.398268,0.060764,combined_mid,0.0,True,0.027462,0.0,0.716667,0.0,1,0,0.25,0.690117,0.2,0.25,,0.0,0.0,selective_corrected,1.0,1.0,25,False,0.780407,0,wpu-cws-indexed-sparse,1923913.440227,False,0.0,0.02,0.25,seed,24,11,,4.416667,True,0.963693,0.5,0.0,0.0
32,0.477034,0.105903,combined_mid,0.733333,False,0.0,0.0,0.0,0.0,1,0,0.25,0.682857,0.2,0.25,,0.0,0.0,raw_finite_clamped,1.0,1.0,25,False,0.551586,0,wpu-cws-indexed-sparse,1965369.543058,False,0.0,0.02,0.25,seed,24,13,,4.416667,False,0.551586,0.5,0.0,0.0
32,0.477016,0.111111,combined_mid,0.0,True,0.027462,0.0,0.733333,0.0,1,0,0.25,0.673044,0.2,0.25,,0.0,0.0,selective_corrected,1.0,1.0,25,False,0.766769,0,wpu-cws-indexed-sparse,1965369.445319,False,0.0,0.02,0.25,seed,24,13,,4.416667,True,0.954221,0.5,0.0,0.0
32,0.396518,0.065972,combined_strong,0.646667,False,0.0,0.0,0.0,0.0,1,0,0.25,0.668283,0.5,0.0,,0.0,0.0,raw_finite_clamped,1.0,1.0,25,False,0.607749,0,wpu-cws-indexed-sparse,2159337.383688,False,0.0,0.05,0.0,seed,24,11,,4.416667,False,0.607749,2.0,0.0,0.0
32,0.396527,0.065972,combined_strong,0.0,True,0.027457,0.0,0.646667,0.0,1,0,0.25,0.659184,0.5,0.0,,0.0,0.0,selective_corrected,1.0,1.0,25,False,0.797949,0,wpu-cws-indexed-sparse,2159337.370143,False,0.0,0.05,0.0,seed,24,11,,4.416667,True,0.963734,2.0,0.0,0.0
32,0.471716,0.088542,combined_strong,0.565,False,0.0,0.0,0.0,0.0,1,0,0.25,0.659535,0.5,0.0,,0.0,0.0,raw_finite_clamped,1.0,1.0,25,False,0.648458,0,wpu-cws-indexed-sparse,1977415.630069,False,0.0,0.05,0.0,seed,24,13,,4.416667,False,0.648458,2.0,0.0,0.0
32,0.471715,0.088542,combined_strong,0.0,True,0.027467,0.0,0.565,0.0,1,0,0.25,0.651717,0.5,0.0,,0.0,0.0,selective_corrected,1.0,1.0,25,False,0.814111,0,wpu-cws-indexed-sparse,1977415.566983,False,0.0,0.05,0.0,seed,24,13,,4.416667,True,0.959482,2.0,0.0,0.0
32,0.435762,0.082465,baseline_finite,0.784166,False,0.0,0.0,0.0,0.0,1,0,0.25,0.70927,0.0,0.5,,0.0,0.0,raw_finite_clamped,1.0,1.0,25,False,0.527391,0,wpu-cws-indexed-sparse,1939290.13337,False,0.0,0.0,0.5,summary,48,summary,2,4.416667,False,0.527391,0.0,0.0,0.0
32,0.435825,0.084201,baseline_finite,0.0,True,0.027461,0.0,0.784166,0.0,1,0,0.25,0.697858,0.0,0.5,,0.0,0.0,selective_corrected,1.0,1.0,25,False,0.758574,0,wpu-cws-indexed-sparse,1939290.068786,False,0.0,0.0,0.5,summary,48,summary,2,4.416667,True,0.958735,0.0,0.0,0.0
32,0.437631,0.083334,combined_mid,0.725,False,0.0,0.0,0.0,0.0,1,0,0.25,0.691949,0.2,0.25,,0.0,0.0,raw_finite_clamped,1.0,1.0,25,False,0.560365,0,wpu-cws-indexed-sparse,1944641.507418,False,0.0,0.02,0.25,summary,48,summary,2,4.416667,False,0.560365,0.5,0.0,0.0
