run_label,model,horizon,seed_count,constraint_violations_per_step,delta_norm_mean,branch_entropy_mean,branch_flip_rate,selected_k_mean,unsafe_delta_rejection_rate,correction_rate,corrected_object_fraction,rollback_rate,escalation_rate,escalation_success_rate,state_integrity_score,low_disruption_integrity_score
clipped,graph-transformer,25,2,0.253333,8.363635,0.883979,0.054688,36.416667,0.0,0.0,0.0,0.0,0.0,0.0,0.557002,0.557002
clipped,wpu-cws-indexed-local-dense,25,2,0.314167,2.8099,0.866729,0.048611,4.416667,0.0,0.0,0.0,0.0,0.0,0.0,0.719139,0.719139
clipped,wpu-cws-indexed-sparse,25,2,0.785,1939290.233702,0.435631,0.082465,4.416667,0.0,0.0,0.0,0.0,0.0,0.0,0.201757,0.201757
consistency,wpu-cws-indexed-local-dense,25,2,0.811667,1.965078,0.872328,0.059896,4.416667,0.0,0.0,0.0,0.0,0.0,0.0,0.472827,0.472827
consistency,wpu-cws-indexed-sparse,25,2,3.360834,1775082.311771,0.423205,0.077257,4.416667,0.0,0.0,0.0,0.0,0.0,0.0,0.084549,0.084549
corrected_rollback,graph-transformer,25,2,0.0,5.756884,0.890153,0.056424,36.416667,0.0,0.268334,0.268334,0.0,0.0,0.0,0.787224,0.679891
corrected_rollback,wpu-cws-indexed-local-dense,25,2,0.0,2.263392,0.880601,0.055556,4.416667,0.0,0.499166,0.499166,0.0,0.0,0.0,0.90967,0.710004
corrected_rollback,wpu-cws-indexed-sparse,25,2,0.0,2.392552,0.508215,0.079862,4.416667,0.0,0.8125,0.8125,0.564167,0.0,0.0,0.900288,0.406038
escalated_corrected_rollback,wpu-cws-indexed-sparse,25,2,0.0,1.942319,0.43957,0.085938,4.416667,0.0,0.710833,0.710833,0.0,0.805833,0.116107,0.914831,0.549915
finite_clamped,graph-transformer,25,2,0.253333,2.096666,0.883981,0.054688,36.416667,0.0,0.0,0.0,0.0,0.0,0.0,0.776346,0.776346
finite_clamped,wpu-cws-indexed-local-dense,25,2,0.314167,0.741596,0.866812,0.048611,4.416667,0.0,0.0,0.0,0.0,0.0,0.0,0.79153,0.79153
