profile,background_objects,total_objects,branch_count,full_proxy,selected_proxy,proxy_reduction,latency_reduction,memory_reduction
cpu_tensorization,0,4.562,1,95.163732,79.121977,0.16857,0.225724,0.0
cpu_tensorization,0,4.562,3,92.741645,79.285911,0.145088,0.194806,0.0
cpu_tensorization,0,4.562,8,91.852948,75.791521,0.17486,0.195042,0.0
cpu_tensorization,32,36.562,1,3129.777712,73.850193,0.976404,0.831249,0.859694
cpu_tensorization,32,36.562,3,3101.827915,78.336818,0.974745,0.820678,0.859694
cpu_tensorization,32,36.562,8,3501.771694,77.264859,0.977935,0.8407,0.859694
cpu_tensorization,128,132.562,1,38269.271556,81.391174,0.997873,0.945943,0.960764
cpu_tensorization,128,132.562,3,38449.477859,77.941995,0.997973,0.948473,0.960764
cpu_tensorization,128,132.562,8,39287.075774,76.671589,0.998048,0.950143,0.960764
cpu_tensorization,512,516.562,1,566461.415935,84.193244,0.999851,0.985288,0.989891
cpu_tensorization,512,516.562,3,566685.218927,81.162701,0.999857,0.98561,0.989891
cpu_tensorization,512,516.562,8,570490.040468,86.136643,0.999849,0.985058,0.989891
cpu_tensorization,2048,2052.562,1,7508163.909861,90.047254,0.999988,0.995233,0.997454
cpu_tensorization,2048,2052.562,3,8968831.155453,96.322317,0.999989,0.995784,0.997454
cpu_tensorization,2048,2052.562,8,8928780.251359,90.211188,0.99999,0.996035,0.997454
cuda_forward_screening,0,4.375,1,31716248.895232,23922380.169728,0.245737,0.244978,0.0
cuda_forward_screening,0,4.375,3,31388284.616256,23867896.6176,0.239592,0.239443,0.0
cuda_forward_screening,0,4.375,8,31400144.97696,23825933.05536,0.241216,0.241037,0.0
cuda_forward_screening,32,36.375,1,130926018.4208,23561265.6272,0.820041,0.818833,0.006256
cuda_forward_screening,32,36.375,3,130091054.857024,23985913.334976,0.815622,0.81437,0.006256
cuda_forward_screening,32,36.375,8,129573332.76256,23621202.20352,0.8177,0.816534,0.006256
cuda_forward_screening,128,132.375,1,431044719.251136,23452642.06752,0.945591,0.94412,0.026337
cuda_forward_screening,128,132.375,3,429530589.92608,23617495.77024,0.945016,0.943537,0.026337
cuda_forward_screening,128,132.375,8,429337418.6512,23530054.418496,0.945194,0.943708,0.026337
cuda_forward_screening,512,516.375,1,1741658914.2576,23660860.821696,0.986415,0.984922,0.098948
cuda_forward_screening,512,516.375,3,1741617601.266816,23642949.49632,0.986425,0.984935,0.098948
cuda_forward_screening,512,516.375,8,1748385612.57152,23682968.942976,0.986454,0.984966,0.098948
cuda_forward_screening,2048,2052.375,1,8983174917.585535,23922536.80032,0.997337,0.996173,0.30408
cuda_forward_screening,2048,2052.375,3,8996538722.90592,23692283.26848,0.997367,0.996216,0.30408
cuda_forward_screening,2048,2052.375,8,9006283387.849665,23776170.990336,0.99736,0.996206,0.30408
