row_type,seed,sample_index,background_objects,branch_count,total_objects,total_relations,selected_objects,selected_relations,objectification_score,full_tensor_bytes,selected_tensor_bytes,tensor_byte_reduction,full_tensorize_ms,selected_tensorize_ms,tensorize_latency_reduction,full_state_memory_bytes,selected_state_memory_bytes,selected_state_memory_reduction,branch_overlay_bytes,base_plus_overlay_bytes,full_copy_branch_bytes,branch_memory_reduction,dense_object_work_proxy,sparse_object_work_proxy,work_proxy_reduction,full_graph_forward_ms,selected_sparse_forward_ms,selected_local_dense_forward_ms,sparse_forward_latency_reduction,local_dense_forward_latency_reduction,sample_count
sample,11,0,0,1,4,4,4,4,0.990000,308,308,0.000000,0.263300,0.156800,0.404482,608,608,0.000000,272,880,608,0.000000,16,16,0.000000,1.823700,1.003933,1.847933,0.449507,0.000000,1
sample,11,0,0,3,4,4,4,4,0.990000,308,308,0.000000,0.347700,0.202700,0.417026,608,608,0.000000,816,1424,1824,0.219298,48,48,0.000000,1.718533,0.896167,2.287600,0.478528,0.000000,1
sample,11,0,0,8,4,4,4,4,0.990000,308,308,0.000000,0.196000,0.284500,0.000000,608,608,0.000000,2176,2784,4864,0.427632,128,128,0.000000,2.219867,0.981933,1.764567,0.557661,0.205102,1
sample,11,1,0,1,5,5,5,5,0.988800,374,374,0.000000,0.427600,0.230200,0.461646,760,760,0.000000,272,1032,760,0.000000,25,25,0.000000,2.107167,1.164400,2.180533,0.447410,0.000000,1
sample,11,1,0,3,5,5,5,5,0.988800,374,374,0.000000,0.307900,0.304100,0.012342,760,760,0.000000,816,1576,2280,0.308772,75,75,0.000000,1.634133,0.850267,2.183800,0.479683,0.000000,1
sample,11,1,0,8,5,5,5,5,0.988800,374,374,0.000000,0.326000,0.240300,0.262884,760,760,0.000000,2176,2936,6080,0.517105,200,200,0.000000,1.536500,0.998667,2.312833,0.350038,0.000000,1
sample,11,2,0,1,4,4,4,4,0.990000,308,308,0.000000,0.258200,0.205100,0.205654,608,608,0.000000,272,880,608,0.000000,16,16,0.000000,1.659400,1.086700,2.228133,0.345125,0.000000,1
sample,11,2,0,3,4,4,4,4,0.990000,308,308,0.000000,0.249400,0.186000,0.254210,608,608,0.000000,816,1424,1824,0.219298,48,48,0.000000,2.400867,1.303067,1.617133,0.457252,0.326438,1
sample,11,2,0,8,4,4,4,4,0.990000,308,308,0.000000,0.239500,0.182600,0.237578,608,608,0.000000,2176,2784,4864,0.427632,128,128,0.000000,1.921900,1.202300,2.837233,0.374421,0.000000,1
sample,11,3,0,1,4,4,4,4,0.990000,308,308,0.000000,0.276300,0.203400,0.263844,608,608,0.000000,272,880,608,0.000000,16,16,0.000000,2.893700,1.969000,3.834933,0.319556,0.000000,1
sample,11,3,0,3,4,4,4,4,0.990000,308,308,0.000000,0.291800,0.208300,0.286155,608,608,0.000000,816,1424,1824,0.219298,48,48,0.000000,1.783767,1.438367,2.326567,0.193635,0.000000,1
sample,11,3,0,8,4,4,4,4,0.990000,308,308,0.000000,0.379800,0.224400,0.409162,608,608,0.000000,2176,2784,4864,0.427632,128,128,0.000000,2.728500,1.046800,3.607067,0.616346,0.000000,1
sample,11,4,0,1,5,5,5,5,0.988800,374,374,0.000000,0.277300,0.229700,0.171655,760,760,0.000000,272,1032,760,0.000000,25,25,0.000000,2.621467,1.623167,2.657100,0.380817,0.000000,1
sample,11,4,0,3,5,5,5,5,0.988800,374,374,0.000000,0.284200,0.217600,0.234342,760,760,0.000000,816,1576,2280,0.308772,75,75,0.000000,2.277100,1.073600,2.583367,0.528523,0.000000,1
sample,11,4,0,8,5,5,5,5,0.988800,374,374,0.000000,0.281100,0.219100,0.220562,760,760,0.000000,2176,2936,6080,0.517105,200,200,0.000000,2.272800,1.101600,2.193200,0.515312,0.035023,1
sample,11,5,0,1,5,5,5,5,0.988800,374,374,0.000000,0.292300,0.244500,0.163531,760,760,0.000000,272,1032,760,0.000000,25,25,0.000000,1.889033,1.105800,1.997100,0.414621,0.000000,1
sample,11,5,0,3,5,5,5,5,0.988800,374,374,0.000000,0.327800,0.255600,0.220256,760,760,0.000000,816,1576,2280,0.308772,75,75,0.000000,2.239067,0.971700,2.133667,0.566025,0.047073,1
sample,11,5,0,8,5,5,5,5,0.988800,374,374,0.000000,0.310800,0.241400,0.223295,760,760,0.000000,2176,2936,6080,0.517105,200,200,0.000000,1.593033,2.059067,1.896900,0.000000,0.000000,1
sample,11,6,0,1,5,5,5,5,0.988800,374,374,0.000000,0.274900,0.577700,0.000000,760,760,0.000000,272,1032,760,0.000000,25,25,0.000000,1.567633,1.355433,1.712733,0.135363,0.000000,1
