row_type,seed,sample_index,background_objects,branch_count,total_objects,total_relations,selected_objects,selected_relations,objectification_score,full_tensor_bytes,selected_tensor_bytes,tensor_byte_reduction,full_tensorize_ms,selected_tensorize_ms,tensorize_latency_reduction,full_state_memory_bytes,selected_state_memory_bytes,selected_state_memory_reduction,branch_overlay_bytes,base_plus_overlay_bytes,full_copy_branch_bytes,branch_memory_reduction,dense_object_work_proxy,sparse_object_work_proxy,work_proxy_reduction,full_graph_forward_ms,selected_sparse_forward_ms,selected_local_dense_forward_ms,sparse_forward_latency_reduction,local_dense_forward_latency_reduction,full_graph_peak_memory_bytes,selected_sparse_peak_memory_bytes,selected_local_dense_peak_memory_bytes,sparse_peak_memory_reduction,local_dense_peak_memory_reduction,sample_count
sample,11,0,0,1,4,4,4,4,0.990000,308,308,0.000000,0.273200,0.142300,0.479137,608,608,0.000000,272,880,608,0.000000,16,16,0.000000,3.208820,2.311840,3.367700,0.279536,0.000000,10657280.000,10666496.000,10671104.000,0.000000,0.000000,1
sample,11,0,0,3,4,4,4,4,0.990000,308,308,0.000000,0.186400,0.121900,0.346030,608,608,0.000000,816,1424,1824,0.219298,48,48,0.000000,2.857840,2.187440,3.345800,0.234583,0.000000,10664448.000,10672128.000,10671104.000,0.000000,0.000000,1
sample,11,0,0,8,4,4,4,4,0.990000,308,308,0.000000,0.182900,0.133500,0.270093,608,608,0.000000,2176,2784,4864,0.427632,128,128,0.000000,2.880860,2.285480,3.287360,0.206667,0.000000,10664448.000,10672128.000,10671104.000,0.000000,0.000000,1
sample,11,1,0,1,5,5,5,5,0.988800,374,374,0.000000,0.207800,0.142300,0.315207,760,760,0.000000,272,1032,760,0.000000,25,25,0.000000,3.170760,2.326220,3.405000,0.266353,0.000000,10668032.000,10672640.000,10671616.000,0.000000,0.000000,1
sample,11,1,0,3,5,5,5,5,0.988800,374,374,0.000000,0.210200,0.141600,0.326356,760,760,0.000000,816,1576,2280,0.308772,75,75,0.000000,3.188580,2.305500,3.383840,0.276951,0.000000,10668032.000,10672640.000,10671616.000,0.000000,0.000000,1
sample,11,1,0,8,5,5,5,5,0.988800,374,374,0.000000,0.197600,0.140200,0.290486,760,760,0.000000,2176,2936,6080,0.517105,200,200,0.000000,3.149160,2.294080,3.362240,0.271526,0.000000,10668032.000,10672640.000,10671616.000,0.000000,0.000000,1
sample,11,2,0,1,4,4,4,4,0.990000,308,308,0.000000,0.165800,0.118200,0.287093,608,608,0.000000,272,880,608,0.000000,16,16,0.000000,2.808940,2.242240,3.338580,0.201749,0.000000,10664448.000,10672128.000,10671104.000,0.000000,0.000000,1
sample,11,2,0,3,4,4,4,4,0.990000,308,308,0.000000,0.179100,0.120800,0.325516,608,608,0.000000,816,1424,1824,0.219298,48,48,0.000000,2.919060,2.273540,3.348600,0.221140,0.000000,10664448.000,10672128.000,10671104.000,0.000000,0.000000,1
sample,11,2,0,8,4,4,4,4,0.990000,308,308,0.000000,0.186000,0.118500,0.362903,608,608,0.000000,2176,2784,4864,0.427632,128,128,0.000000,2.864880,2.202260,3.312720,0.231291,0.000000,10664448.000,10672128.000,10671104.000,0.000000,0.000000,1
sample,11,3,0,1,4,4,4,4,0.990000,308,308,0.000000,0.171700,0.121900,0.290041,608,608,0.000000,272,880,608,0.000000,16,16,0.000000,2.882100,2.243500,3.393040,0.221575,0.000000,10664448.000,10672128.000,10671104.000,0.000000,0.000000,1
sample,11,3,0,3,4,4,4,4,0.990000,308,308,0.000000,0.180300,0.117700,0.347200,608,608,0.000000,816,1424,1824,0.219298,48,48,0.000000,2.891000,2.228540,3.321540,0.229146,0.000000,10664448.000,10672128.000,10671104.000,0.000000,0.000000,1
sample,11,3,0,8,4,4,4,4,0.990000,308,308,0.000000,0.176800,0.125300,0.291290,608,608,0.000000,2176,2784,4864,0.427632,128,128,0.000000,2.912700,2.263980,3.240640,0.222721,0.000000,10664448.000,10672128.000,10671104.000,0.000000,0.000000,1
sample,11,0,32,1,36,36,4,4,0.943778,2420,308,0.872727,0.827600,0.124800,0.849202,5472,608,0.888889,272,5744,5472,0.000000,1296,16,0.987654,12.051620,2.188380,3.264640,0.818416,0.729112,10740224.000,10674176.000,10673152.000,0.006150,0.006245,1
sample,11,0,32,3,36,36,4,4,0.943778,2420,308,0.872727,0.807400,0.127000,0.842705,5472,608,0.888889,816,6288,16416,0.616959,3888,48,0.987654,12.081640,2.247480,3.253720,0.813976,0.730689,10740224.000,10674176.000,10673152.000,0.006150,0.006245,1
sample,11,0,32,8,36,36,4,4,0.943778,2420,308,0.872727,0.812000,0.120100,0.852094,5472,608,0.888889,2176,7648,43776,0.825292,10368,128,0.987654,12.303680,2.259740,3.279820,0.816336,0.733428,10740224.000,10674176.000,10673152.000,0.006150,0.006245,1
sample,11,1,32,1,37,37,5,5,0.944865,2486,374,0.849558,0.835100,0.148600,0.822057,5624,760,0.864865,272,5896,5624,0.000000,1369,25,0.981738,12.773960,2.257240,3.377420,0.823294,0.735601,10743808.000,10674688.000,10673664.000,0.006433,0.006529,1
sample,11,1,32,3,37,37,5,5,0.944865,2486,374,0.849558,0.857400,0.141100,0.835433,5624,760,0.864865,816,6440,16872,0.618303,4107,75,0.981738,13.097220,2.357840,3.313980,0.819974,0.746971,10743808.000,10674688.000,10673664.000,0.006433,0.006529,1
sample,11,1,32,8,37,37,5,5,0.944865,2486,374,0.849558,0.887800,0.148500,0.832733,5624,760,0.864865,2176,7800,44992,0.826636,10952,200,0.981738,12.740780,2.326980,3.430460,0.817360,0.730750,10743808.000,10674688.000,10673664.000,0.006433,0.006529,1
sample,11,2,32,1,36,36,4,4,0.943778,2420,308,0.872727,0.802400,0.123400,0.846211,5472,608,0.888889,272,5744,5472,0.000000,1296,16,0.987654,12.390980,2.168720,3.280360,0.824976,0.735262,10740224.000,10674176.000,10673152.000,0.006150,0.006245,1
sample,11,2,32,3,36,36,4,4,0.943778,2420,308,0.872727,0.826600,0.121300,0.853254,5472,608,0.888889,816,6288,16416,0.616959,3888,48,0.987654,11.903380,2.127320,3.183480,0.821284,0.732557,10740224.000,10674176.000,10673152.000,0.006150,0.006245,1
sample,11,2,32,8,36,36,4,4,0.943778,2420,308,0.872727,0.795300,0.117100,0.852760,5472,608,0.888889,2176,7648,43776,0.825292,10368,128,0.987654,11.996160,2.262740,3.330860,0.811378,0.722339,10740224.000,10674176.000,10673152.000,0.006150,0.006245,1
sample,11,3,32,1,36,36,4,4,0.943778,2420,308,0.872727,0.809700,0.121800,0.849574,5472,608,0.888889,272,5744,5472,0.000000,1296,16,0.987654,12.263480,2.222560,3.293000,0.818766,0.731479,10740224.000,10674176.000,10673152.000,0.006150,0.006245,1
sample,11,3,32,3,36,36,4,4,0.943778,2420,308,0.872727,0.853000,0.123700,0.854982,5472,608,0.888889,816,6288,16416,0.616959,3888,48,0.987654,12.156960,2.244960,3.294360,0.815335,0.729014,10740224.000,10674176.000,10673152.000,0.006150,0.006245,1
sample,11,3,32,8,36,36,4,4,0.943778,2420,308,0.872727,0.843900,0.120800,0.856855,5472,608,0.888889,2176,7648,43776,0.825292,10368,128,0.987654,12.226620,2.203440,3.253760,0.819783,0.733879,10740224.000,10674176.000,10673152.000,0.006150,0.006245,1
sample,11,0,128,1,132,132,4,4,0.939576,8756,308,0.964824,2.758400,0.140100,0.949210,20064,608,0.969697,272,20336,20064,0.000000,17424,16,0.999082,39.584740,2.224940,3.319160,0.943793,0.916151,10968064.000,10680320.000,10679296.000,0.026235,0.026328,1
sample,11,0,128,3,132,132,4,4,0.939576,8756,308,0.964824,2.819400,0.126300,0.955203,20064,608,0.969697,816,20880,60192,0.653110,52272,48,0.999082,39.281700,2.117300,3.192320,0.946100,0.918733,10968064.000,10680320.000,10679296.000,0.026235,0.026328,1
sample,11,0,128,8,132,132,4,4,0.939576,8756,308,0.964824,2.732200,0.121400,0.955567,20064,608,0.969697,2176,22240,160512,0.861443,139392,128,0.999082,38.843820,2.202700,3.274360,0.943293,0.915704,10968064.000,10680320.000,10679296.000,0.026235,0.026328,1
sample,11,1,128,1,133,133,5,5,0.939910,8822,374,0.957606,2.711900,0.141500,0.947823,20216,760,0.962406,272,20488,20216,0.000000,17689,25,0.998587,39.991120,2.231160,3.322480,0.944209,0.916920,10971648.000,10680832.000,10679808.000,0.026506,0.026599,1
