row_type,policy,train_mechanism,eval_mechanism,seed,background_objects,total_objects_n,samples,threshold,dense_recompute_rate,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,wpu_sparse,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,-1.0,0.0,0.861111,0.777778,0.083935,0.995294,0.598349,0.486351,4.025,1.0,0.0,1
seed,wpu_local_dense,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,-1.0,1.0,0.472222,0.777778,0.262412,1.008352,0.608571,0.168804,4.025,1.0,1.0,1
seed,wpu_gated_t0.34,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.34,0.0,0.861111,0.777778,0.083935,0.995294,0.598349,0.486351,4.025,1.0,0.0,1
seed,wpu_gated_t0.40,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.4,0.805556,0.472222,0.777778,0.215964,1.030133,0.619267,0.178248,4.025,1.0,0.0,1
seed,wpu_gated_t0.45,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.45,1.0,0.472222,0.777778,0.262412,1.008352,0.608571,0.168804,4.025,1.0,0.0,1
seed,wpu_gated_t0.50,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.5,1.0,0.472222,0.777778,0.262412,1.008352,0.608571,0.168804,4.025,1.0,0.0,1
seed,wpu_gated_t0.55,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.55,1.0,0.472222,0.777778,0.262412,1.008352,0.608571,0.168804,4.025,1.0,0.0,1
seed,wpu_gated_t0.60,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.6,1.0,0.472222,0.777778,0.262412,1.008352,0.608571,0.168804,4.025,1.0,0.0,1
seed,wpu_gated_t0.65,nominal+high_force+edge_shift+catch_heavy,no_catch,11,32,37,36,0.65,1.0,0.472222,0.777778,0.262412,1.008352,0.608571,0.168804,4.025,1.0,0.0,1
seed,wpu_sparse,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,-1.0,0.0,0.527778,0.694444,1.06514,1.037281,0.624487,0.138837,4.35,1.0,0.0,1
seed,wpu_local_dense,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,-1.0,1.0,0.694444,0.694444,1.183487,0.968989,0.562795,0.17619,4.35,1.0,1.0,1
seed,wpu_gated_t0.34,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,0.34,0.0,0.527778,0.694444,1.06514,1.037281,0.624487,0.138837,4.35,1.0,0.0,1
seed,wpu_gated_t0.40,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,0.4,0.583333,0.694444,0.694444,1.138352,0.963359,0.569724,0.245045,4.35,1.0,0.0,1
seed,wpu_gated_t0.45,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,0.45,1.0,0.694444,0.694444,1.183487,0.968989,0.562795,0.17619,4.35,1.0,0.0,1
seed,wpu_gated_t0.50,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,0.5,1.0,0.694444,0.694444,1.183487,0.968989,0.562795,0.17619,4.35,1.0,0.0,1
seed,wpu_gated_t0.55,nominal+high_force+edge_shift+catch_heavy,edge_high_force,11,32,37,36,0.55,1.0,0.694444,0.694444,1.183487,0.968989,0.562795,0.17619,4.35,1.0,0.0,1
