mode,total_n,escape_rate,dual_omission,horizon,streams,mean_selected_k,max_selected_k,mean_observation_budget,causal_recall,causal_precision,trajectory_mse,state_integrity,observation_hit_rate,observation_cost,objective,work_proxy,bytes_proxy
wpu-neighbor-only,128,0.0,0.75,25,32,24.0,24.0,0.0,1.0,0.333333,0.053106,0.949601,0.0,0.0,0.053106,24.0,864.0
wpu-fixed-observation,128,0.0,0.75,25,32,32.0,32.0,8.0,1.0,0.25,0.068801,0.935663,0.0,8.0,0.188801,32.0,1152.0
wpu-adaptive-observation,128,0.0,0.75,25,32,24.0,24.0,0.0,1.0,0.333333,0.052875,0.94982,0.0,0.0,0.052875,24.0,864.0
dense-state-copy,128,0.0,0.75,25,32,8.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,128,0.25,0.75,25,32,24.0,24.0,0.0,0.832031,0.277344,0.128776,0.887522,0.0,0.0,0.128776,24.0,864.0
wpu-fixed-observation,128,0.25,0.75,25,32,32.0,32.0,8.0,1.0,0.25,0.066554,0.937636,0.75,8.0,0.186554,32.0,1152.0
wpu-adaptive-observation,128,0.25,0.75,25,32,30.5,32.0,1.15625,1.0,0.265625,0.068469,0.936012,0.8125,1.15625,0.085813,30.5,1098.0
dense-state-copy,128,0.25,0.75,25,32,8.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,128,0.5,0.75,25,32,24.0,24.0,0.0,0.601562,0.200521,0.234035,0.813743,0.0,0.0,0.234035,24.0,864.0
wpu-fixed-observation,128,0.5,0.75,25,32,32.0,32.0,8.0,1.0,0.25,0.067915,0.93643,0.96875,8.0,0.187915,32.0,1152.0
wpu-adaptive-observation,128,0.5,0.75,25,32,32.0,32.0,3.28125,1.0,0.25,0.071207,0.933556,1.0,3.28125,0.120426,32.0,1152.0
dense-state-copy,128,0.5,0.75,25,32,8.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,128,0.75,0.75,25,32,24.0,24.0,0.0,0.488281,0.16276,0.283976,0.781,0.0,0.0,0.283976,24.0,864.0
