model,total_n,k_ref,true_relation_confidence,missing_rate,false_positive_rate,delta_mse,delta_mae,mean_selected_k,max_selected_k,mean_updated_k,work_proxy,bytes_proxy,accuracy_per_kwork
wpu-hybrid,128,4,0.95,0.0,0.0,0.003842,0.051623,4.0,4,4.0,4.0,144.0,65075.816036
wpu-hybrid-context,128,4,0.95,0.0,0.0,0.004187,0.048925,4.0,4,4.0,5.0,208.0,47764.84808
wpu-region-guard,128,4,0.95,0.0,0.0,0.00333,0.046945,4.0,4,4.0,4.0,144.0,75077.749791
dense-graph,128,4,0.95,0.0,0.0,0.005225,0.057853,4.0,4,4.0,131.0,4608.0,1460.953604
serialized-token,128,4,0.95,0.0,0.0,0.005052,0.051725,4.0,4,4.0,131.0,5632.0,1511.05174
graph-transformer-proxy,128,4,0.95,0.0,0.0,0.005225,0.057853,4.0,4,4.0,17161.0,65536.0,11.152318
wpu-hybrid,128,4,0.95,0.0,0.25,0.004073,0.051743,4.0,4,4.0,4.0,144.0,61378.539082
wpu-hybrid-context,128,4,0.95,0.0,0.25,0.004441,0.048658,4.0,4,4.0,5.0,208.0,45037.899164
wpu-region-guard,128,4,0.95,0.0,0.25,0.003568,0.047839,4.0,4,4.0,4.0,144.0,70062.791653
dense-graph,128,4,0.95,0.0,0.25,0.0056,0.058408,4.0,4,4.0,132.0,4608.0,1352.752156
serialized-token,128,4,0.95,0.0,0.25,0.005419,0.053747,4.0,4,4.0,132.0,5632.0,1397.890104
graph-transformer-proxy,128,4,0.95,0.0,0.25,0.0056,0.058408,4.0,4,4.0,17424.0,65536.0,10.248122
wpu-hybrid,128,4,0.95,0.5,0.0,0.138532,0.24753,4.0,4,2.59375,2.59375,93.375,2783.061667
wpu-hybrid-context,128,4,0.95,0.5,0.0,0.13946,0.248537,4.0,4,2.59375,3.59375,134.875,1995.278664
wpu-region-guard,128,4,0.95,0.5,0.0,0.003459,0.048428,4.0,4,4.0,4.0,144.0,72277.274223
dense-graph,128,4,0.95,0.5,0.0,0.00542,0.059491,4.0,4,4.0,129.59375,4608.0,1423.618985
serialized-token,128,4,0.95,0.5,0.0,0.005356,0.054526,4.0,4,4.0,129.59375,5632.0,1440.578204
graph-transformer-proxy,128,4,0.95,0.5,0.0,0.00542,0.059491,4.0,4,4.0,16795.15625,65536.0,10.984841
wpu-hybrid,128,4,0.95,0.5,0.25,0.00429,0.054198,4.0,4,4.0,4.0,144.0,58270.233496
wpu-hybrid-context,128,4,0.95,0.5,0.25,0.004479,0.049953,4.0,4,4.0,5.0,208.0,44649.767664
wpu-region-guard,128,4,0.95,0.5,0.25,0.003605,0.048352,4.0,4,4.0,4.0,144.0,69355.232254
dense-graph,128,4,0.95,0.5,0.25,0.005618,0.059222,4.0,4,4.0,130.453125,4608.0,1364.353886
serialized-token,128,4,0.95,0.5,0.25,0.00567,0.055722,4.0,4,4.0,130.453125,5632.0,1351.901434
graph-transformer-proxy,128,4,0.95,0.5,0.25,0.005618,0.059222,4.0,4,4.0,17018.859375,65536.0,10.458059
wpu-hybrid,128,4,0.2,0.0,0.0,0.003961,0.04863,4.0,4,4.0,4.0,144.0,63120.227403
wpu-hybrid-context,128,4,0.2,0.0,0.0,0.004193,0.049135,4.0,4,4.0,5.0,208.0,47702.816146
wpu-region-guard,128,4,0.2,0.0,0.0,0.003377,0.045812,4.0,4,4.0,4.0,144.0,74029.412313
dense-graph,128,4,0.2,0.0,0.0,0.005388,0.055076,4.0,4,4.0,131.0,4608.0,1416.854664
serialized-token,128,4,0.2,0.0,0.0,0.005544,0.057687,4.0,4,4.0,131.0,5632.0,1376.825071
graph-transformer-proxy,128,4,0.2,0.0,0.0,0.005388,0.055076,4.0,4,4.0,17161.0,65536.0,10.815684
wpu-hybrid,128,4,0.2,0.0,0.25,0.004535,0.051133,4.0,4,4.0,4.0,144.0,55120.899533
wpu-hybrid-context,128,4,0.2,0.0,0.25,0.004931,0.052244,4.0,4,4.0,5.0,208.0,40559.963905
wpu-region-guard,128,4,0.2,0.0,0.25,0.003885,0.048233,4.0,4,4.0,4.0,144.0,64344.025747
dense-graph,128,4,0.2,0.0,0.25,0.00617,0.057739,4.0,4,4.0,132.0,4608.0,1227.836832
serialized-token,128,4,0.2,0.0,0.25,0.006523,0.061211,4.0,4,4.0,132.0,5632.0,1161.355278
graph-transformer-proxy,128,4,0.2,0.0,0.25,0.00617,0.057739,4.0,4,4.0,17424.0,65536.0,9.301794
wpu-hybrid,128,4,0.2,0.5,0.0,0.02684,0.082817,4.0,4,3.8125,3.8125,137.25,9772.42504
wpu-hybrid-context,128,4,0.2,0.5,0.0,0.027388,0.083782,4.0,4,3.8125,4.8125,198.25,7587.109683
wpu-region-guard,128,4,0.2,0.5,0.0,0.003869,0.049525,4.0,4,4.0,4.0,144.0,64620.357344
dense-graph,128,4,0.2,0.5,0.0,0.005996,0.058759,4.0,4,4.0,129.6875,4608.0,1286.036035
serialized-token,128,4,0.2,0.5,0.0,0.006395,0.061566,4.0,4,4.0,129.6875,5632.0,1205.670847
