mode,shift,total_n,escape_rate,calibration_scale,calibration_offset,mean_selected_k,max_selected_k,mean_observation_budget,causal_recall,trajectory_mse,state_integrity,observation_hit_rate,objective,work_proxy,bytes_proxy
wpu-hand-adaptive,clean,128,0.0,1.0,0.0,24.0,24.0,0.0,1.0,0.053057,0.949639,0.0,0.053057,24.0,864.0
wpu-learned-observation,clean,128,0.0,1.0,0.0,24.0,24.0,0.0,1.0,0.052873,0.949805,0.0,0.052873,24.0,864.0
wpu-calibrated-learned-observation,clean,128,0.0,1.0,0.0,24.0,24.0,0.0,1.0,0.052744,0.949924,0.0,0.052744,24.0,864.0
wpu-fixed-observation,clean,128,0.0,1.0,0.0,32.0,32.0,8.0,1.0,0.070316,0.934338,0.0,0.190316,32.0,1152.0
dense-state-copy,clean,128,0.0,1.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-hand-adaptive,clean,128,0.25,1.0,0.0,29.75,32.0,1.125,1.0,0.066497,0.93774,0.71875,0.083372,29.75,1071.0
wpu-learned-observation,clean,128,0.25,1.0,0.0,31.0,32.0,1.75,1.0,0.06711,0.937195,0.875,0.09336,31.0,1116.0
wpu-calibrated-learned-observation,clean,128,0.25,1.0,0.0,24.0,24.0,0.0,0.835938,0.126917,0.88934,0.0,0.126917,24.0,864.0
wpu-fixed-observation,clean,128,0.25,1.0,0.0,32.0,32.0,8.0,1.0,0.068072,0.936307,0.71875,0.188072,32.0,1152.0
dense-state-copy,clean,128,0.25,1.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-hand-adaptive,clean,128,0.5,1.0,0.0,31.75,32.0,2.84375,1.0,0.071765,0.93311,0.96875,0.114421,31.75,1143.0
wpu-learned-observation,clean,128,0.5,1.0,0.0,32.0,32.0,3.28125,1.0,0.069608,0.934977,1.0,0.118827,32.0,1152.0
wpu-calibrated-learned-observation,clean,128,0.5,1.0,0.0,26.75,32.0,0.6875,0.738281,0.176269,0.851475,0.163021,0.186581,26.75,963.0
wpu-fixed-observation,clean,128,0.5,1.0,0.0,32.0,32.0,8.0,1.0,0.069432,0.9351,1.0,0.189432,32.0,1152.0
dense-state-copy,clean,128,0.5,1.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-hand-adaptive,clean,128,0.75,1.0,0.0,32.0,32.0,4.15625,1.0,0.071942,0.932923,1.0,0.134286,32.0,1152.0
wpu-learned-observation,clean,128,0.75,1.0,0.0,32.0,32.0,3.96875,0.992188,0.073965,0.931342,0.991071,0.133496,32.0,1152.0
wpu-calibrated-learned-observation,clean,128,0.75,1.0,0.0,30.5,32.0,2.71875,0.800781,0.158325,0.864618,0.551637,0.199106,30.5,1098.0
wpu-fixed-observation,clean,128,0.75,1.0,0.0,32.0,32.0,8.0,1.0,0.066424,0.937746,1.0,0.186424,32.0,1152.0
dense-state-copy,clean,128,0.75,1.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-hand-adaptive,clean,512,0.0,1.0,0.0,24.0,24.0,0.0,0.957031,0.0741,0.931719,0.0,0.0741,24.0,864.0
wpu-learned-observation,clean,512,0.0,1.0,0.0,24.0,24.0,0.0,0.898438,0.100922,0.910248,0.0,0.100922,24.0,864.0
wpu-calibrated-learned-observation,clean,512,0.0,1.0,0.0,24.0,24.0,0.0,0.90625,0.093031,0.916196,0.0,0.093031,24.0,864.0
wpu-fixed-observation,clean,512,0.0,1.0,0.0,32.0,32.0,8.0,0.960938,0.089673,0.918262,0.0,0.209673,32.0,1152.0
dense-state-copy,clean,512,0.0,1.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-hand-adaptive,clean,512,0.25,1.0,0.0,31.0,32.0,1.96875,0.96875,0.080555,0.925951,0.875,0.110086,31.0,1116.0
wpu-learned-observation,clean,512,0.25,1.0,0.0,31.0,32.0,1.84375,0.960938,0.085536,0.922105,0.875,0.113193,31.0,1116.0
wpu-calibrated-learned-observation,clean,512,0.25,1.0,0.0,24.0,24.0,0.0,0.769531,0.158067,0.865777,0.0,0.158067,24.0,864.0
wpu-fixed-observation,clean,512,0.25,1.0,0.0,32.0,32.0,8.0,0.941406,0.099337,0.91061,0.84375,0.219337,32.0,1152.0
dense-state-copy,clean,512,0.25,1.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-hand-adaptive,clean,512,0.5,1.0,0.0,32.0,32.0,3.0625,0.984375,0.076127,0.929649,1.0,0.122065,32.0,1152.0
wpu-learned-observation,clean,512,0.5,1.0,0.0,31.75,32.0,3.15625,0.960938,0.088559,0.919228,0.96875,0.135902,31.75,1143.0
wpu-calibrated-learned-observation,clean,512,0.5,1.0,0.0,26.25,32.0,0.53125,0.722656,0.185606,0.845653,0.1375,0.193574,26.25,945.0
wpu-fixed-observation,clean,512,0.5,1.0,0.0,32.0,32.0,8.0,0.941406,0.097858,0.912425,0.96875,0.217858,32.0,1152.0
dense-state-copy,clean,512,0.5,1.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-hand-adaptive,clean,512,0.75,1.0,0.0,32.0,32.0,4.46875,0.972656,0.08118,0.925359,1.0,0.148211,32.0,1152.0
wpu-learned-observation,clean,512,0.75,1.0,0.0,32.0,32.0,4.34375,0.945312,0.096864,0.912324,0.970238,0.16202,32.0,1152.0
wpu-calibrated-learned-observation,clean,512,0.75,1.0,0.0,30.5,32.0,2.46875,0.738281,0.188589,0.842596,0.507515,0.225621,30.5,1098.0
wpu-fixed-observation,clean,512,0.75,1.0,0.0,32.0,32.0,8.0,0.972656,0.083462,0.923333,1.0,0.203462,32.0,1152.0
dense-state-copy,clean,512,0.75,1.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-hand-adaptive,clean,2048,0.0,1.0,0.0,24.0,24.0,0.0,0.957031,0.074517,0.93137,0.0,0.074517,24.0,864.0
wpu-learned-observation,clean,2048,0.0,1.0,0.0,24.0,24.0,0.0,0.933594,0.082204,0.925099,0.0,0.082204,24.0,864.0
wpu-calibrated-learned-observation,clean,2048,0.0,1.0,0.0,24.0,24.0,0.0,0.941406,0.08246,0.924998,0.0,0.08246,24.0,864.0
