total_n,k_ref,missing_rate,false_positive_rate,selected_k,recall,precision,false_non_causal_selected,affected_fraction,objects_examined,relations_examined,candidate_scope_size,touch_units,full_scan_units,touch_ratio,latency_ms
128,4,0.0,0.0,4,1.0,1.0,0,0.03125,5,3,4,8,131,0.0610687,0.0618
128,4,0.0,0.1,4,1.0,1.0,0,0.03125,5,3,4,8,131,0.0610687,0.0327
128,4,0.0,0.25,5,1.0,0.8,1,0.0390625,5,4,4,9,132,0.06818182,0.028
128,4,0.25,0.0,4,1.0,1.0,0,0.03125,5,2,4,7,130,0.05384615,0.0671
128,4,0.25,0.1,4,1.0,1.0,0,0.03125,5,2,4,7,130,0.05384615,0.0233
128,4,0.25,0.25,5,1.0,0.8,1,0.0390625,5,3,4,8,131,0.0610687,0.0231
128,4,0.5,0.0,4,1.0,1.0,0,0.03125,5,1,4,6,129,0.04651163,0.0189
128,4,0.5,0.1,4,1.0,1.0,0,0.03125,5,1,4,6,129,0.04651163,0.0183
128,4,0.5,0.25,5,1.0,0.8,1,0.0390625,5,2,4,7,130,0.05384615,0.0204
128,8,0.0,0.0,8,1.0,1.0,0,0.0625,9,7,8,16,135,0.11851852,0.0341
128,8,0.0,0.1,9,1.0,0.888889,1,0.0703125,9,8,8,17,136,0.125,0.0341
128,8,0.0,0.25,10,1.0,0.8,2,0.078125,9,9,8,18,137,0.13138686,0.0367
128,8,0.25,0.0,8,1.0,1.0,0,0.0625,9,5,8,14,133,0.10526316,0.0317
128,8,0.25,0.1,9,1.0,0.888889,1,0.0703125,9,8,8,17,136,0.125,0.0335
128,8,0.25,0.25,10,1.0,0.8,2,0.078125,9,8,8,17,136,0.125,0.035
128,8,0.5,0.0,8,1.0,1.0,0,0.0625,9,4,8,13,132,0.09848485,0.0296
128,8,0.5,0.1,9,1.0,0.888889,1,0.0703125,9,3,8,12,131,0.09160305,0.0314
128,8,0.5,0.25,10,1.0,0.8,2,0.078125,9,6,8,15,134,0.1119403,0.0339
128,16,0.0,0.0,16,1.0,1.0,0,0.125,17,15,16,32,143,0.22377622,0.0611
128,16,0.0,0.1,18,1.0,0.888889,2,0.140625,17,17,16,34,145,0.23448276,0.0622
128,16,0.0,0.25,20,1.0,0.8,4,0.15625,17,19,16,36,147,0.24489796,0.0646
128,16,0.25,0.0,16,1.0,1.0,0,0.125,17,12,16,29,140,0.20714286,0.055
128,16,0.25,0.1,18,1.0,0.888889,2,0.140625,17,14,16,31,142,0.21830986,0.0591
128,16,0.25,0.25,20,1.0,0.8,4,0.15625,17,16,16,33,144,0.22916667,0.0626
