mode,total_n,dual_omission,escape_rate,horizon,streams,mean_selected_k,max_selected_k,causal_recall,causal_precision,trajectory_mse,state_integrity,false_updates,escalation_rate,correction_cost,work_proxy,bytes_proxy
wpu-selective-region-guard,128,0.0,0.0,25,24,16.0,16.0,1.0,0.5,0.032298,0.968721,8.0,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,128,0.0,0.0,25,24,16.0,16.0,1.0,0.5,0.032036,0.968965,8.0,0.0,0.0,16.0,576.0
dense-state-copy,128,0.0,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-selective-region-guard,128,0.0,0.25,25,24,16.0,16.0,1.0,0.5,0.033076,0.967989,8.0,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,128,0.0,0.25,25,24,16.0,16.0,1.0,0.5,0.032575,0.968459,8.0,0.0,0.0,16.0,576.0
dense-state-copy,128,0.0,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-selective-region-guard,128,0.25,0.0,25,24,16.0,16.0,0.734375,0.367188,0.151893,0.87217,10.125,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,128,0.25,0.0,25,24,23.333333,24.0,1.0,0.347222,0.052517,0.950156,15.333333,0.916667,2.208333,23.333333,840.0
dense-state-copy,128,0.25,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-selective-region-guard,128,0.25,0.25,25,24,16.0,16.0,0.71875,0.359375,0.16005,0.865708,10.25,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,128,0.25,0.25,25,24,23.333333,24.0,0.953125,0.331597,0.072252,0.933982,15.708333,0.916667,1.625,23.333333,840.0
dense-state-copy,128,0.25,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-selective-region-guard,128,0.5,0.0,25,24,16.0,16.0,0.515625,0.257812,0.252449,0.8001,11.875,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,128,0.5,0.0,25,24,24.0,24.0,1.0,0.333333,0.051085,0.951426,16.0,1.0,4.166667,24.0,864.0
dense-state-copy,128,0.5,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-selective-region-guard,128,0.5,0.25,25,24,16.0,16.0,0.515625,0.257812,0.255602,0.799212,11.875,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,128,0.5,0.25,25,24,24.0,24.0,0.859375,0.286458,0.118086,0.896687,17.125,1.0,3.083333,24.0,864.0
dense-state-copy,128,0.5,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-selective-region-guard,128,0.75,0.0,25,24,16.0,16.0,0.203125,0.101562,0.394054,0.719423,14.375,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,128,0.75,0.0,25,24,24.0,24.0,1.0,0.333333,0.052672,0.950018,16.0,1.0,5.541667,24.0,864.0
dense-state-copy,128,0.75,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-selective-region-guard,128,0.75,0.25,25,24,16.0,16.0,0.260417,0.130208,0.368476,0.731695,13.916667,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,128,0.75,0.25,25,24,24.0,24.0,0.817708,0.272569,0.132923,0.885474,17.458333,1.0,4.291667,24.0,864.0
dense-state-copy,128,0.75,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-selective-region-guard,512,0.0,0.0,25,24,16.0,16.0,1.0,0.5,0.033075,0.967988,8.0,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,512,0.0,0.0,25,24,16.0,16.0,1.0,0.5,0.032822,0.968226,8.0,0.0,0.0,16.0,576.0
dense-state-copy,512,0.0,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,512.0,18432.0
wpu-selective-region-guard,512,0.0,0.25,25,24,16.0,16.0,1.0,0.5,0.032189,0.968819,8.0,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,512,0.0,0.25,25,24,16.0,16.0,1.0,0.5,0.033478,0.967608,8.0,0.0,0.0,16.0,576.0
dense-state-copy,512,0.0,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,512.0,18432.0
wpu-selective-region-guard,512,0.25,0.0,25,24,16.0,16.0,0.729167,0.364583,0.155688,0.867905,10.166667,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,512,0.25,0.0,25,24,23.0,24.0,0.869792,0.310764,0.107389,0.90528,16.041667,0.875,114.0,23.0,828.0
dense-state-copy,512,0.25,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,512.0,18432.0
wpu-selective-region-guard,512,0.25,0.25,25,24,16.0,16.0,0.739583,0.369792,0.151112,0.871582,10.083333,0.0,0.0,16.0,576.0
