mode,total_n,k_ref,true_relation_confidence,missing_rate,false_positive_rate,min_relation_confidence,selected_k,updated_k,escalation_required,recall,precision,f1,false_updates,missed_updates,touch_ratio
sparse_confident_relations,128,4,0.95,0.0,0.0,0.3,4,4,0,1.0,1.0,1.0,0,0,0.0610687
hybrid_escalation_region,128,4,0.95,0.0,0.0,0.3,4,4,0,1.0,1.0,1.0,0,0,0.0610687
sparse_confident_relations,128,4,0.95,0.0,0.25,0.3,4,4,1,1.0,1.0,1.0,0,0,0.06818182
hybrid_escalation_region,128,4,0.95,0.0,0.25,0.3,4,4,1,1.0,1.0,1.0,0,0,0.06818182
sparse_confident_relations,128,4,0.95,0.5,0.0,0.3,4,3,0,0.75,1.0,0.857143,0,1,0.05384615
hybrid_escalation_region,128,4,0.95,0.5,0.0,0.3,4,3,0,0.75,1.0,0.857143,0,1,0.05384615
sparse_confident_relations,128,4,0.95,0.5,0.25,0.3,4,1,1,0.25,1.0,0.4,0,3,0.04651163
hybrid_escalation_region,128,4,0.95,0.5,0.25,0.3,4,4,1,1.0,1.0,1.0,0,0,0.04651163
sparse_confident_relations,128,4,0.2,0.0,0.0,0.3,4,1,1,0.25,1.0,0.4,0,3,0.0610687
hybrid_escalation_region,128,4,0.2,0.0,0.0,0.3,4,4,1,1.0,1.0,1.0,0,0,0.0610687
sparse_confident_relations,128,4,0.2,0.0,0.25,0.3,4,1,1,0.25,1.0,0.4,0,3,0.06818182
hybrid_escalation_region,128,4,0.2,0.0,0.25,0.3,4,4,1,1.0,1.0,1.0,0,0,0.06818182
sparse_confident_relations,128,4,0.2,0.5,0.0,0.3,4,1,1,0.25,1.0,0.4,0,3,0.0610687
hybrid_escalation_region,128,4,0.2,0.5,0.0,0.3,4,4,1,1.0,1.0,1.0,0,0,0.0610687
sparse_confident_relations,128,4,0.2,0.5,0.25,0.3,4,1,1,0.25,1.0,0.4,0,3,0.05384615
hybrid_escalation_region,128,4,0.2,0.5,0.25,0.3,4,4,1,1.0,1.0,1.0,0,0,0.05384615
sparse_confident_relations,128,8,0.95,0.0,0.0,0.3,8,8,0,1.0,1.0,1.0,0,0,0.11851852
hybrid_escalation_region,128,8,0.95,0.0,0.0,0.3,8,8,0,1.0,1.0,1.0,0,0,0.11851852
sparse_confident_relations,128,8,0.95,0.0,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.13138686
hybrid_escalation_region,128,8,0.95,0.0,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.13138686
sparse_confident_relations,128,8,0.95,0.5,0.0,0.3,8,3,0,0.375,1.0,0.545455,0,5,0.08461538
hybrid_escalation_region,128,8,0.95,0.5,0.0,0.3,8,3,0,0.375,1.0,0.545455,0,5,0.08461538
sparse_confident_relations,128,8,0.95,0.5,0.25,0.3,8,5,1,0.625,1.0,0.769231,0,3,0.1119403
hybrid_escalation_region,128,8,0.95,0.5,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.1119403
sparse_confident_relations,128,8,0.2,0.0,0.0,0.3,8,1,1,0.125,1.0,0.222222,0,7,0.11851852
hybrid_escalation_region,128,8,0.2,0.0,0.0,0.3,8,8,1,1.0,1.0,1.0,0,0,0.11851852
sparse_confident_relations,128,8,0.2,0.0,0.25,0.3,8,1,1,0.125,1.0,0.222222,0,7,0.13138686
hybrid_escalation_region,128,8,0.2,0.0,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.13138686
sparse_confident_relations,128,8,0.2,0.5,0.0,0.3,8,1,1,0.125,1.0,0.222222,0,7,0.08461538
hybrid_escalation_region,128,8,0.2,0.5,0.0,0.3,8,8,1,1.0,1.0,1.0,0,0,0.08461538
