mode,total_n,k_ref,true_relation_confidence,missing_rate,false_positive_rate,delta_mse,delta_mae,zero_delta_mse,relative_mse,mean_selected_k,mean_updated_k,max_selected_k,mean_touch_ratio,max_touch_ratio,mean_escalation,mean_missed_causal
sparse_confident_relations,128,4,0.95,0.0,0.0,0.003662,0.049151,0.55202,0.006634,4.0,4.0,4,0.0610687,0.0610687,0.0,0.0
hybrid_escalation_region,128,4,0.95,0.0,0.0,0.003662,0.049151,0.55202,0.006634,4.0,4.0,4,0.0610687,0.0610687,0.0,0.0
sparse_confident_relations,128,4,0.95,0.0,0.25,0.003733,0.050432,0.582286,0.00641,4.0,4.0,4,0.06818182,0.06818182,1.0,0.0
hybrid_escalation_region,128,4,0.95,0.0,0.25,0.003733,0.050432,0.582286,0.00641,4.0,4.0,4,0.06818182,0.06818182,1.0,0.0
sparse_confident_relations,128,4,0.95,0.5,0.0,0.154418,0.268075,0.586917,0.263099,4.0,2.445312,4,0.04975296,0.0610687,0.0,1.554688
hybrid_escalation_region,128,4,0.95,0.5,0.0,0.154418,0.268075,0.586917,0.263099,4.0,2.445312,4,0.04975296,0.0610687,0.0,1.554688
sparse_confident_relations,128,4,0.95,0.5,0.25,0.14204,0.248468,0.563149,0.252224,4.0,2.578125,4,0.05799322,0.06818182,1.0,1.421875
hybrid_escalation_region,128,4,0.95,0.5,0.25,0.003802,0.051425,0.563149,0.006751,4.0,4.0,4,0.05799322,0.06818182,1.0,0.0
sparse_confident_relations,128,4,0.2,0.0,0.0,0.300949,0.474178,0.580565,0.518373,4.0,1.0,4,0.0610687,0.0610687,1.0,3.0
hybrid_escalation_region,128,4,0.2,0.0,0.0,0.003786,0.047966,0.580565,0.006521,4.0,4.0,4,0.0610687,0.0610687,1.0,0.0
sparse_confident_relations,128,4,0.2,0.0,0.25,0.319551,0.489635,0.616951,0.517953,4.0,1.0,4,0.06818182,0.06818182,1.0,3.0
hybrid_escalation_region,128,4,0.2,0.0,0.25,0.003758,0.048138,0.616951,0.006092,4.0,4.0,4,0.06818182,0.06818182,1.0,0.0
sparse_confident_relations,128,4,0.2,0.5,0.0,0.289595,0.4644,0.55809,0.518904,4.0,1.0,4,0.04986054,0.0610687,0.867188,3.0
hybrid_escalation_region,128,4,0.2,0.5,0.0,0.041543,0.104697,0.55809,0.074437,4.0,3.601562,4,0.04986054,0.0610687,0.867188,0.398438
sparse_confident_relations,128,4,0.2,0.5,0.25,0.27913,0.455395,0.537747,0.519072,4.0,1.0,4,0.05697916,0.06818182,1.0,3.0
hybrid_escalation_region,128,4,0.2,0.5,0.25,0.004063,0.051368,0.537747,0.007556,4.0,4.0,4,0.05697916,0.06818182,1.0,0.0
sparse_confident_relations,128,8,0.95,0.0,0.0,0.002107,0.034853,0.413832,0.005092,8.0,8.0,8,0.11851852,0.11851852,0.0,0.0
hybrid_escalation_region,128,8,0.95,0.0,0.0,0.002107,0.034853,0.413832,0.005092,8.0,8.0,8,0.11851852,0.11851852,0.0,0.0
sparse_confident_relations,128,8,0.95,0.0,0.25,0.002189,0.036377,0.458863,0.004771,8.0,8.0,8,0.13138686,0.13138686,1.0,0.0
hybrid_escalation_region,128,8,0.95,0.0,0.25,0.002189,0.036377,0.458863,0.004771,8.0,8.0,8,0.13138686,0.13138686,1.0,0.0
sparse_confident_relations,128,8,0.95,0.5,0.0,0.153643,0.27141,0.431954,0.355694,8.0,4.4375,8,0.09455978,0.1119403,0.0,3.5625
hybrid_escalation_region,128,8,0.95,0.5,0.0,0.153643,0.27141,0.431954,0.355694,8.0,4.4375,8,0.09455978,0.1119403,0.0,3.5625
sparse_confident_relations,128,8,0.95,0.5,0.25,0.145158,0.264059,0.423517,0.342743,8.0,4.453125,8,0.10821826,0.125,1.0,3.546875
hybrid_escalation_region,128,8,0.95,0.5,0.25,0.002241,0.0373,0.423517,0.005292,8.0,8.0,8,0.10821826,0.125,1.0,0.0
sparse_confident_relations,128,8,0.2,0.0,0.0,0.303349,0.500947,0.445186,0.681399,8.0,1.0,8,0.11851852,0.11851852,1.0,7.0
hybrid_escalation_region,128,8,0.2,0.0,0.0,0.002516,0.03687,0.445186,0.005652,8.0,8.0,8,0.11851852,0.11851852,1.0,0.0
sparse_confident_relations,128,8,0.2,0.0,0.25,0.295839,0.496194,0.434361,0.68109,8.0,1.0,8,0.13138686,0.13138686,1.0,7.0
hybrid_escalation_region,128,8,0.2,0.0,0.25,0.002277,0.034789,0.434361,0.005242,8.0,8.0,8,0.13138686,0.13138686,1.0,0.0
sparse_confident_relations,128,8,0.2,0.5,0.0,0.290261,0.490661,0.426049,0.681286,8.0,1.0,8,0.09340829,0.1119403,0.992188,7.0
hybrid_escalation_region,128,8,0.2,0.5,0.0,0.003306,0.039834,0.426049,0.007759,8.0,7.945312,8,0.09340829,0.1119403,0.992188,0.054688
sparse_confident_relations,128,8,0.2,0.5,0.25,0.27599,0.47826,0.405012,0.681436,8.0,1.0,8,0.10780863,0.125,1.0,7.0
hybrid_escalation_region,128,8,0.2,0.5,0.25,0.002344,0.036831,0.405012,0.005788,8.0,8.0,8,0.10780863,0.125,1.0,0.0
sparse_confident_relations,128,16,0.95,0.0,0.0,0.002577,0.040911,0.311945,0.008261,16.0,16.0,16,0.22377622,0.22377622,0.0,0.0
hybrid_escalation_region,128,16,0.95,0.0,0.0,0.002577,0.040911,0.311945,0.008261,16.0,16.0,16,0.22377622,0.22377622,0.0,0.0
sparse_confident_relations,128,16,0.95,0.0,0.25,0.002672,0.041643,0.321171,0.00832,16.0,16.0,16,0.24489796,0.24489796,1.0,0.0
hybrid_escalation_region,128,16,0.95,0.0,0.25,0.002672,0.041643,0.321171,0.00832,16.0,16.0,16,0.24489796,0.24489796,1.0,0.0
sparse_confident_relations,128,16,0.95,0.5,0.0,0.116869,0.242016,0.3009,0.388398,16.0,8.539062,16,0.18087094,0.21276596,0.0,7.460938
hybrid_escalation_region,128,16,0.95,0.5,0.0,0.116869,0.242016,0.3009,0.388398,16.0,8.539062,16,0.18087094,0.21276596,0.0,7.460938
sparse_confident_relations,128,16,0.95,0.5,0.25,0.111688,0.236968,0.276753,0.403567,16.0,8.429688,16,0.20373392,0.23448276,1.0,7.570312
hybrid_escalation_region,128,16,0.95,0.5,0.25,0.002541,0.041209,0.276753,0.009181,16.0,16.0,16,0.20373392,0.23448276,1.0,0.0
sparse_confident_relations,128,16,0.2,0.0,0.0,0.247165,0.461779,0.316962,0.779794,16.0,1.0,16,0.22377622,0.22377622,1.0,15.0
hybrid_escalation_region,128,16,0.2,0.0,0.0,0.002256,0.036696,0.316962,0.007118,16.0,16.0,16,0.22377622,0.22377622,1.0,0.0
sparse_confident_relations,128,16,0.2,0.0,0.25,0.241076,0.454919,0.309091,0.779951,16.0,1.0,16,0.24489796,0.24489796,1.0,15.0
hybrid_escalation_region,128,16,0.2,0.0,0.25,0.002269,0.036962,0.309091,0.007339,16.0,16.0,16,0.24489796,0.24489796,1.0,0.0
sparse_confident_relations,128,16,0.2,0.5,0.0,0.233017,0.445226,0.298667,0.780193,16.0,1.0,16,0.18134379,0.20714286,1.0,15.0
hybrid_escalation_region,128,16,0.2,0.5,0.0,0.002521,0.040135,0.298667,0.008442,16.0,16.0,16,0.18134379,0.20714286,1.0,0.0
sparse_confident_relations,128,16,0.2,0.5,0.25,0.23992,0.45202,0.307537,0.780135,16.0,1.0,16,0.20471886,0.23972603,1.0,15.0
hybrid_escalation_region,128,16,0.2,0.5,0.25,0.002577,0.04055,0.307537,0.00838,16.0,16.0,16,0.20471886,0.23972603,1.0,0.0
sparse_confident_relations,512,4,0.95,0.0,0.0,0.003673,0.049712,0.545555,0.006733,4.0,4.0,4,0.01553398,0.01553398,0.0,0.0
hybrid_escalation_region,512,4,0.95,0.0,0.0,0.003673,0.049712,0.545555,0.006733,4.0,4.0,4,0.01553398,0.01553398,0.0,0.0
sparse_confident_relations,512,4,0.95,0.0,0.25,0.003657,0.04894,0.542694,0.006739,4.0,4.0,4,0.01744186,0.01744186,1.0,0.0
hybrid_escalation_region,512,4,0.95,0.0,0.25,0.003657,0.04894,0.542694,0.006739,4.0,4.0,4,0.01744186,0.01744186,1.0,0.0
sparse_confident_relations,512,4,0.95,0.5,0.0,0.144785,0.257029,0.547404,0.264494,4.0,2.484375,4,0.01262514,0.01553398,0.0,1.515625
hybrid_escalation_region,512,4,0.95,0.5,0.0,0.144785,0.257029,0.547404,0.264494,4.0,2.484375,4,0.01262514,0.01553398,0.0,1.515625
sparse_confident_relations,512,4,0.95,0.5,0.25,0.159709,0.270659,0.569356,0.280508,4.0,2.453125,4,0.01448509,0.01744186,1.0,1.546875
hybrid_escalation_region,512,4,0.95,0.5,0.25,0.004012,0.052924,0.569356,0.007046,4.0,4.0,4,0.01448509,0.01744186,1.0,0.0
