mode,shift,total_n,escape_rate,mean_selected_k,max_selected_k,mean_observation_budget,causal_recall,trajectory_mse,state_integrity,observation_hit_rate,objective,work_proxy,bytes_proxy
wpu-neighbor-only,clean,128,0.0,24.0,24.0,0.0,1.0,0.054023,0.948774,0.0,0.054023,24.0,864.0
wpu-fixed-observation,clean,128,0.0,32.0,32.0,8.0,1.0,0.069052,0.935438,0.0,0.189052,32.0,1152.0
wpu-adaptive-observation,clean,128,0.0,24.0,24.0,0.0,1.0,0.053511,0.949244,0.0,0.053511,24.0,864.0
wpu-learned-observation,clean,128,0.0,24.0,24.0,0.0,1.0,0.053669,0.949094,0.0,0.053669,24.0,864.0
dense-state-copy,clean,128,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,clean,128,0.25,24.0,24.0,0.0,0.785156,0.150101,0.872914,0.0,0.150101,24.0,864.0
wpu-fixed-observation,clean,128,0.25,32.0,32.0,8.0,1.0,0.06858,0.93586,0.75,0.18858,32.0,1152.0
wpu-adaptive-observation,clean,128,0.25,30.0,32.0,1.5,1.0,0.065896,0.93829,0.75,0.088396,30.0,1080.0
wpu-learned-observation,clean,128,0.25,30.25,32.0,1.5,1.0,0.067846,0.93657,0.78125,0.090346,30.25,1089.0
dense-state-copy,clean,128,0.25,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,clean,128,0.5,24.0,24.0,0.0,0.65625,0.207224,0.832346,0.0,0.207224,24.0,864.0
wpu-fixed-observation,clean,128,0.5,32.0,32.0,8.0,1.0,0.069042,0.93545,1.0,0.189042,32.0,1152.0
wpu-adaptive-observation,clean,128,0.5,31.5,32.0,2.78125,1.0,0.070219,0.934432,0.9375,0.111938,31.5,1134.0
wpu-learned-observation,clean,128,0.5,31.75,32.0,2.8125,1.0,0.071355,0.933431,0.96875,0.113542,31.75,1143.0
dense-state-copy,clean,128,0.5,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,clean,128,0.75,24.0,24.0,0.0,0.457031,0.297663,0.772761,0.0,0.297663,24.0,864.0
wpu-fixed-observation,clean,128,0.75,32.0,32.0,8.0,1.0,0.068395,0.936031,1.0,0.188395,32.0,1152.0
wpu-adaptive-observation,clean,128,0.75,32.0,32.0,4.75,1.0,0.072471,0.932463,1.0,0.143721,32.0,1152.0
wpu-learned-observation,clean,128,0.75,32.0,32.0,4.15625,0.980469,0.080076,0.926387,0.978795,0.142419,32.0,1152.0
dense-state-copy,clean,128,0.75,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,clean,512,0.0,24.0,24.0,0.0,0.921875,0.086798,0.921472,0.0,0.086798,24.0,864.0
wpu-fixed-observation,clean,512,0.0,32.0,32.0,8.0,0.964844,0.086518,0.920905,0.0,0.206518,32.0,1152.0
wpu-adaptive-observation,clean,512,0.0,24.0,24.0,0.0,0.925781,0.086383,0.921668,0.0,0.086383,24.0,864.0
wpu-learned-observation,clean,512,0.0,24.0,24.0,0.0,0.941406,0.082197,0.924984,0.0,0.082197,24.0,864.0
dense-state-copy,clean,512,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,clean,512,0.25,24.0,24.0,0.0,0.703125,0.185876,0.845801,0.0,0.185876,24.0,864.0
wpu-fixed-observation,clean,512,0.25,32.0,32.0,8.0,0.976562,0.083533,0.923252,0.8125,0.203533,32.0,1152.0
wpu-adaptive-observation,clean,512,0.25,30.5,32.0,1.625,0.949219,0.090505,0.917956,0.8125,0.11488,30.5,1098.0
wpu-learned-observation,clean,512,0.25,29.75,32.0,1.125,0.9375,0.097174,0.912872,0.71875,0.114049,29.75,1071.0
dense-state-copy,clean,512,0.25,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,clean,512,0.5,24.0,24.0,0.0,0.527344,0.265379,0.792994,0.0,0.265379,24.0,864.0
wpu-fixed-observation,clean,512,0.5,32.0,32.0,8.0,0.949219,0.094051,0.914992,0.9375,0.214051,32.0,1152.0
wpu-adaptive-observation,clean,512,0.5,32.0,32.0,3.21875,0.96875,0.085546,0.921805,1.0,0.133827,32.0,1152.0
wpu-learned-observation,clean,512,0.5,32.0,32.0,3.15625,0.976562,0.081935,0.924717,1.0,0.129279,32.0,1152.0
dense-state-copy,clean,512,0.5,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,clean,512,0.75,24.0,24.0,0.0,0.390625,0.327126,0.756827,0.0,0.327126,24.0,864.0
wpu-fixed-observation,clean,512,0.75,32.0,32.0,8.0,0.941406,0.099255,0.911177,1.0,0.219255,32.0,1152.0
wpu-adaptive-observation,clean,512,0.75,32.0,32.0,4.875,0.96875,0.08394,0.923515,1.0,0.157065,32.0,1152.0
wpu-learned-observation,clean,512,0.75,32.0,32.0,4.5625,0.945312,0.097765,0.912266,0.96689,0.166202,32.0,1152.0
dense-state-copy,clean,512,0.75,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,clean,2048,0.0,24.0,24.0,0.0,0.925781,0.085952,0.921904,0.0,0.085952,24.0,864.0
wpu-fixed-observation,clean,2048,0.0,32.0,32.0,8.0,0.957031,0.090041,0.918041,0.0,0.210041,32.0,1152.0
wpu-adaptive-observation,clean,2048,0.0,24.0,24.0,0.0,0.96875,0.067813,0.937401,0.0,0.067813,24.0,864.0
wpu-learned-observation,clean,2048,0.0,24.0,24.0,0.0,0.957031,0.072431,0.933119,0.0,0.072431,24.0,864.0
dense-state-copy,clean,2048,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,clean,2048,0.25,24.0,24.0,0.0,0.792969,0.146263,0.874861,0.0,0.146263,24.0,864.0
wpu-fixed-observation,clean,2048,0.25,32.0,32.0,8.0,0.976562,0.083589,0.923297,0.625,0.203589,32.0,1152.0
wpu-adaptive-observation,clean,2048,0.25,30.75,32.0,1.59375,0.976562,0.077565,0.928577,0.84375,0.101471,30.75,1107.0
wpu-learned-observation,clean,2048,0.25,30.75,32.0,1.4375,0.964844,0.083682,0.923563,0.84375,0.105245,30.75,1107.0
dense-state-copy,clean,2048,0.25,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,clean,2048,0.5,24.0,24.0,0.0,0.5625,0.251458,0.801717,0.0,0.251458,24.0,864.0
wpu-fixed-observation,clean,2048,0.5,32.0,32.0,8.0,0.960938,0.088913,0.919004,1.0,0.208913,32.0,1152.0
wpu-adaptive-observation,clean,2048,0.5,31.5,32.0,2.6875,0.980469,0.079384,0.926951,0.9375,0.119697,31.5,1134.0
wpu-learned-observation,clean,2048,0.5,31.75,32.0,2.71875,0.984375,0.07736,0.928646,0.963542,0.118141,31.75,1143.0
dense-state-copy,clean,2048,0.5,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,clean,2048,0.75,24.0,24.0,0.0,0.429688,0.310928,0.765789,0.0,0.310928,24.0,864.0
wpu-fixed-observation,clean,2048,0.75,32.0,32.0,8.0,0.945312,0.095856,0.913891,1.0,0.215856,32.0,1152.0
wpu-adaptive-observation,clean,2048,0.75,32.0,32.0,4.5625,0.960938,0.088397,0.919506,1.0,0.156835,32.0,1152.0
wpu-learned-observation,clean,2048,0.75,32.0,32.0,4.21875,0.933594,0.101078,0.910048,0.976935,0.164359,32.0,1152.0
dense-state-copy,clean,2048,0.75,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,clean,8192,0.0,24.0,24.0,0.0,0.957031,0.073764,0.932093,0.0,0.073764,24.0,864.0
wpu-fixed-observation,clean,8192,0.0,32.0,32.0,8.0,0.925781,0.105308,0.906001,0.0,0.225308,32.0,1152.0
wpu-adaptive-observation,clean,8192,0.0,24.0,24.0,0.0,0.933594,0.084315,0.923271,0.0,0.084315,24.0,864.0
wpu-learned-observation,clean,8192,0.0,24.0,24.0,0.0,0.929688,0.086386,0.921628,0.0,0.086386,24.0,864.0
dense-state-copy,clean,8192,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,clean,8192,0.25,24.0,24.0,0.0,0.765625,0.161612,0.863021,0.0,0.161612,24.0,864.0
wpu-fixed-observation,clean,8192,0.25,32.0,32.0,8.0,0.921875,0.108187,0.904552,0.875,0.228187,32.0,1152.0
