mode,total_n,contamination,missing_membership,horizon,streams,mean_selected_k,max_selected_k,causal_recall,causal_precision,trajectory_mse,state_integrity,false_updates,work_proxy,bytes_proxy
wpu-region-guard,128,0,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,8.0,288.0
wpu-selective-region-guard,128,0,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,8.0,288.0
dense-state-copy,128,0,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,128.0,4608.0
wpu-region-guard,128,0,0.25,25,24,7.083333,8.0,0.885417,1.0,0.052071,0.952298,0.0,7.083333,255.0
wpu-selective-region-guard,128,0,0.25,25,24,6.833333,8.0,0.854167,1.0,0.064518,0.942732,0.0,6.833333,246.0
dense-state-copy,128,0,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,128.0,4608.0
wpu-region-guard,128,0,0.5,25,24,6.208333,8.0,0.776042,1.0,0.101588,0.911795,0.0,6.208333,223.5
wpu-selective-region-guard,128,0,0.5,25,24,6.5,8.0,0.8125,1.0,0.085458,0.923988,0.0,6.5,234.0
dense-state-copy,128,0,0.5,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,128.0,4608.0
wpu-region-guard,128,8,0.0,25,24,16.0,16.0,1.0,0.5,0.022903,0.977622,8.0,16.0,576.0
wpu-selective-region-guard,128,8,0.0,25,24,16.0,16.0,1.0,0.5,0.023724,0.976833,8.0,16.0,576.0
dense-state-copy,128,8,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,128.0,4608.0
wpu-region-guard,128,8,0.25,25,24,15.291667,16.0,0.911458,0.475351,0.059377,0.945434,8.0,15.291667,550.5
wpu-selective-region-guard,128,8,0.25,25,24,15.166667,16.0,0.895833,0.470788,0.071009,0.935684,8.0,15.166667,546.0
dense-state-copy,128,8,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,128.0,4608.0
wpu-region-guard,128,8,0.5,25,24,14.291667,16.0,0.786458,0.435723,0.119427,0.89652,8.0,14.291667,514.5
wpu-selective-region-guard,128,8,0.5,25,24,14.416667,16.0,0.802083,0.440446,0.113407,0.901993,8.0,14.416667,519.0
dense-state-copy,128,8,0.5,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,128.0,4608.0
wpu-region-guard,128,32,0.0,25,24,40.0,40.0,1.0,0.2,0.090595,0.916971,32.0,40.0,1440.0
wpu-selective-region-guard,128,32,0.0,25,24,16.0,16.0,1.0,0.5,0.026779,0.973931,8.0,16.0,576.0
dense-state-copy,128,32,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,128.0,4608.0
wpu-region-guard,128,32,0.25,25,24,39.125,40.0,0.890625,0.181538,0.138457,0.880378,32.0,39.125,1408.5
wpu-selective-region-guard,128,32,0.25,25,24,16.0,16.0,0.885417,0.442708,0.079503,0.929264,8.916667,16.0,576.0
