mode,total_n,horizon,streams,mean_selected_k,max_selected_k,trajectory_mse,state_integrity,correction_rate,correction_cost,identity_continuity,migration_events,churn_events,work_proxy,bytes_proxy
wpu-relation-frontier,128,25,24,8.0,8,0.379058,0.727399,0.423333,0.191875,1.0,3.083333,1.333333,4.583333,165.0
wpu-region-guard,128,25,24,8.0,8,0.0,1.0,0.0,0.0,1.0,3.0,0.791667,8.0,288.0
dense-state-copy,128,25,24,8.0,8,0.0,1.0,0.0,0.0,1.0,3.666667,1.0,131.636667,4623.42
wpu-relation-frontier,512,25,24,8.0,8,0.37272,0.731463,0.413333,0.187292,1.0,3.625,1.125,4.625,166.5
wpu-region-guard,512,25,24,8.0,8,0.0,1.0,0.0,0.0,1.0,2.458333,1.25,8.0,288.0
dense-state-copy,512,25,24,8.0,8,0.0,1.0,0.0,0.0,1.0,2.875,0.708333,515.766667,18447.6
wpu-relation-frontier,2048,25,24,8.0,8,0.354494,0.742925,0.406667,0.182083,1.0,3.041667,1.0,4.75,171.0
wpu-region-guard,2048,25,24,8.0,8,0.0,1.0,0.0,0.0,1.0,2.833333,1.041667,8.0,288.0
dense-state-copy,2048,25,24,8.0,8,0.0,1.0,0.0,0.0,1.0,2.791667,1.166667,2051.78,73748.58
wpu-relation-frontier,8192,25,24,8.0,8,0.370395,0.732183,0.423333,0.194583,1.0,2.75,1.125,4.541667,163.5
wpu-region-guard,8192,25,24,8.0,8,0.0,1.0,0.0,0.0,1.0,3.708333,1.291667,8.0,288.0
dense-state-copy,8192,25,24,8.0,8,0.0,1.0,0.0,0.0,1.0,2.583333,0.916667,8195.98,294929.28
