mode,total_n,dual_omission,escape_rate,observation_budget,horizon,streams,mean_selected_k,max_selected_k,causal_recall,causal_precision,trajectory_mse,state_integrity,false_updates,observation_hit_rate,observation_cost,work_proxy,bytes_proxy
wpu-neighbor-only,128,0.75,0.0,0,25,24,24.0,24.0,1.0,0.333333,0.053228,0.949494,16.0,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,128,0.75,0.0,0,25,24,24.0,24.0,1.0,0.333333,0.053554,0.949191,16.0,0.0,0.0,24.0,864.0
dense-state-copy,128,0.75,0.0,0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,128,0.75,0.0,2,25,24,24.0,24.0,1.0,0.333333,0.051639,0.95092,16.0,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,128,0.75,0.0,2,25,24,32.0,32.0,1.0,0.25,0.070115,0.934511,24.0,0.0,2.0,32.0,1152.0
dense-state-copy,128,0.75,0.0,2,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,128,0.75,0.0,4,25,24,24.0,24.0,1.0,0.333333,0.052171,0.950458,16.0,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,128,0.75,0.0,4,25,24,32.0,32.0,1.0,0.25,0.0706,0.934097,24.0,0.0,4.0,32.0,1152.0
dense-state-copy,128,0.75,0.0,4,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,128,0.75,0.0,8,25,24,24.0,24.0,1.0,0.333333,0.054193,0.948612,16.0,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,128,0.75,0.0,8,25,24,32.0,32.0,1.0,0.25,0.069287,0.935233,24.0,0.0,8.0,32.0,1152.0
dense-state-copy,128,0.75,0.0,8,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,128,0.75,0.25,0,25,24,24.0,24.0,0.765625,0.255208,0.159054,0.865376,17.875,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,128,0.75,0.25,0,25,24,24.0,24.0,0.848958,0.282986,0.121605,0.893919,17.208333,0.0,0.0,24.0,864.0
dense-state-copy,128,0.75,0.25,0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,128,0.75,0.25,2,25,24,24.0,24.0,0.817708,0.272569,0.137305,0.880909,17.458333,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,128,0.75,0.25,2,25,24,32.0,32.0,0.953125,0.238281,0.091909,0.917046,24.375,0.8125,2.0,32.0,1152.0
dense-state-copy,128,0.75,0.25,2,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,128,0.75,0.25,4,25,24,24.0,24.0,0.796875,0.265625,0.144019,0.877422,17.625,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,128,0.75,0.25,4,25,24,32.0,32.0,0.989583,0.247396,0.073029,0.932452,24.083333,0.777778,4.0,32.0,1152.0
dense-state-copy,128,0.75,0.25,4,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,128,0.75,0.25,8,25,24,24.0,24.0,0.807292,0.269097,0.140631,0.878132,17.541667,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,128,0.75,0.25,8,25,24,32.0,32.0,1.0,0.25,0.06835,0.936063,24.0,0.791667,8.0,32.0,1152.0
dense-state-copy,128,0.75,0.25,8,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,128,0.75,0.5,0,25,24,24.0,24.0,0.630208,0.210069,0.220403,0.822145,18.958333,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,128,0.75,0.5,0,25,24,24.0,24.0,0.6875,0.229167,0.191788,0.843275,18.5,0.0,0.0,24.0,864.0
dense-state-copy,128,0.75,0.5,0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,128,0.75,0.5,2,25,24,24.0,24.0,0.609375,0.203125,0.227155,0.817934,19.125,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,128,0.75,0.5,2,25,24,32.0,32.0,0.833333,0.208333,0.145055,0.875985,25.333333,0.633333,2.0,32.0,1152.0
dense-state-copy,128,0.75,0.5,2,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,128,0.75,0.5,4,25,24,24.0,24.0,0.640625,0.213542,0.214347,0.826403,18.875,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,128,0.75,0.5,4,25,24,32.0,32.0,0.96875,0.242188,0.082803,0.924344,24.25,0.955556,4.0,32.0,1152.0
dense-state-copy,128,0.75,0.5,4,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,128,0.75,0.5,8,25,24,24.0,24.0,0.645833,0.215278,0.214507,0.826199,18.833333,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,128,0.75,0.5,8,25,24,32.0,32.0,1.0,0.25,0.070786,0.933913,24.0,1.0,8.0,32.0,1152.0
dense-state-copy,128,0.75,0.5,8,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,128,0.75,0.75,0,25,24,24.0,24.0,0.453125,0.151042,0.305595,0.768171,20.375,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,128,0.75,0.75,0,25,24,24.0,24.0,0.447917,0.149306,0.305711,0.767864,20.416667,0.0,0.0,24.0,864.0
dense-state-copy,128,0.75,0.75,0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,128,0.75,0.75,2,25,24,24.0,24.0,0.505208,0.168403,0.274116,0.787607,19.958333,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,128,0.75,0.75,2,25,24,32.0,32.0,0.6875,0.171875,0.214772,0.826288,26.5,0.494444,2.0,32.0,1152.0
dense-state-copy,128,0.75,0.75,2,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,128,0.75,0.75,4,25,24,24.0,24.0,0.453125,0.151042,0.298557,0.77366,20.375,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,128,0.75,0.75,4,25,24,32.0,32.0,0.890625,0.222656,0.120891,0.894347,24.875,0.853175,4.0,32.0,1152.0
dense-state-copy,128,0.75,0.75,4,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,128,0.75,0.75,8,25,24,24.0,24.0,0.427083,0.142361,0.314062,0.763931,20.583333,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,128,0.75,0.75,8,25,24,32.0,32.0,1.0,0.25,0.069086,0.935431,24.0,0.958333,8.0,32.0,1152.0
dense-state-copy,128,0.75,0.75,8,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,512,0.75,0.0,0,25,24,24.0,24.0,0.932292,0.310764,0.082508,0.925638,16.541667,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,512,0.75,0.0,0,25,24,24.0,24.0,0.932292,0.310764,0.086573,0.921756,16.541667,0.0,0.0,24.0,864.0
dense-state-copy,512,0.75,0.0,0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,512,0.75,0.0,2,25,24,24.0,24.0,0.9375,0.3125,0.081042,0.926149,16.5,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,512,0.75,0.0,2,25,24,32.0,32.0,0.973958,0.24349,0.083237,0.923909,24.208333,0.0,2.0,32.0,1152.0
dense-state-copy,512,0.75,0.0,2,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,512,0.75,0.0,4,25,24,24.0,24.0,0.916667,0.305556,0.095169,0.914655,16.666667,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,512,0.75,0.0,4,25,24,32.0,32.0,0.947917,0.236979,0.093706,0.915383,24.416667,0.0,4.0,32.0,1152.0
dense-state-copy,512,0.75,0.0,4,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,512,0.75,0.0,8,25,24,24.0,24.0,0.942708,0.314236,0.081169,0.926904,16.458333,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,512,0.75,0.0,8,25,24,32.0,32.0,0.942708,0.235677,0.098404,0.911649,24.458333,0.0,8.0,32.0,1152.0
dense-state-copy,512,0.75,0.0,8,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,512,0.75,0.25,0,25,24,24.0,24.0,0.760417,0.253472,0.16334,0.863335,17.916667,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,512,0.75,0.25,0,25,24,24.0,24.0,0.697917,0.232639,0.187317,0.844923,18.416667,0.0,0.0,24.0,864.0
dense-state-copy,512,0.75,0.25,0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,512,0.75,0.25,2,25,24,24.0,24.0,0.75,0.25,0.165478,0.860962,18.0,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,512,0.75,0.25,2,25,24,32.0,32.0,0.9375,0.234375,0.096752,0.912762,24.5,0.777778,2.0,32.0,1152.0
dense-state-copy,512,0.75,0.25,2,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,512,0.75,0.25,4,25,24,24.0,24.0,0.744792,0.248264,0.16798,0.859894,18.041667,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,512,0.75,0.25,4,25,24,32.0,32.0,0.979167,0.244792,0.078434,0.927583,24.166667,0.791667,4.0,32.0,1152.0
dense-state-copy,512,0.75,0.25,4,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,512,0.75,0.25,8,25,24,24.0,24.0,0.739583,0.246528,0.168681,0.858585,18.083333,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,512,0.75,0.25,8,25,24,32.0,32.0,0.958333,0.239583,0.09338,0.915301,24.333333,0.833333,8.0,32.0,1152.0
dense-state-copy,512,0.75,0.25,8,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,512,0.75,0.5,0,25,24,24.0,24.0,0.588542,0.196181,0.240803,0.809043,19.291667,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,512,0.75,0.5,0,25,24,24.0,24.0,0.552083,0.184028,0.254448,0.801601,19.583333,0.0,0.0,24.0,864.0
