"adversarial_distractors","background_objects","balanced_labels","branch_accuracy","causal_k","causal_recall_mean","checkpoint","cuda_peak_mb","hidden_dim","index_depth","layers","local_dense_ratio","majority_accuracy","model","ms_per_sample_forward","mse","params","pre_tensor_indexed","seed","selected_k_mean","selector_confidence_mean","sparse_ratio","status","total_objects_n","train_loss"
"0","4092","True","0.716667","4","1.0","","21.646973","256","1","1","0.0","0.333333","wpu-cws-indexed-sparse","0.996528","0.023356","147751","True","11","4.0","0.708848","1.0","ok","4096","0.744808"
"0","4092","True","0.733333","4","1.0","","21.646973","256","1","1","0.0","0.333333","wpu-cws-indexed-sparse","1.003598","0.027076","147751","True","13","4.0","0.471067","1.0","ok","4096","1.027926"
"0","4088","True","0.775","8","1.0","","21.763184","256","1","1","0.0","0.333333","wpu-cws-indexed-sparse","1.197295","0.018413","147751","True","11","8.0","8.4e-05","1.0","ok","4096","0.659958"
"0","4088","True","0.741667","8","1.0","","21.763184","256","1","1","0.0","0.333333","wpu-cws-indexed-sparse","1.221932","0.041393","147751","True","13","8.0","0.404076","1.0","ok","4096","0.908589"
"0","4080","True","0.783333","16","1.0","","21.995605","256","1","1","0.0","0.333333","wpu-cws-indexed-sparse","2.022647","0.036373","147751","True","11","16.0","0.030257","1.0","ok","4096","1.102637"
"0","4080","True","0.65","16","1.0","","21.995605","256","1","1","0.0","0.333333","wpu-cws-indexed-sparse","1.86374","0.03911","147751","True","13","16.0","0.805122","1.0","ok","4096","0.781265"
"0","4064","True","0.808333","32","1.0","","22.462402","256","1","1","0.0","0.333333","wpu-cws-indexed-sparse","3.621635","0.036542","147751","True","11","32.0","0.553062","1.0","ok","4096","0.652127"
"0","4064","True","0.791667","32","1.0","","22.462402","256","1","1","0.0","0.333333","wpu-cws-indexed-sparse","3.580858","0.039906","147751","True","13","32.0","0.074028","1.0","ok","4096","0.578961"
"0","4032","True","0.775","64","1.0","","24.376953","256","1","1","0.0","0.333333","wpu-cws-indexed-sparse","6.555268","0.03596","147751","True","11","64.0","0.462614","1.0","ok","4096","0.983904"
"0","4032","True","0.791667","64","1.0","","24.376953","256","1","1","0.0","0.333333","wpu-cws-indexed-sparse","6.618178","0.046337","147751","True","13","64.0","0.249597","1.0","ok","4096","0.809843"
"0","4092","True","0.658333","4","1.0","","34.197754","256","1","1","1.0","0.333333","wpu-cws-indexed-local-dense","0.81721","0.058341","937511","True","11","4.0","0.448546","0.0","ok","4096","0.85248"
"0","4092","True","0.766667","4","1.0","","34.197754","256","1","1","1.0","0.333333","wpu-cws-indexed-local-dense","0.818115","0.112326","937511","True","13","4.0","0.307896","0.0","ok","4096","1.213922"
"0","4088","True","0.708333","8","1.0","","34.313965","256","1","1","1.0","0.333333","wpu-cws-indexed-local-dense","1.21728","0.056999","937511","True","11","8.0","0.006721","0.0","ok","4096","0.443146"
"0","4088","True","0.841667","8","1.0","","34.313965","256","1","1","1.0","0.333333","wpu-cws-indexed-local-dense","1.304153","0.0225","937511","True","13","8.0","0.314282","0.0","ok","4096","0.458392"
"0","4080","True","0.816667","16","1.0","","34.546387","256","1","1","1.0","0.333333","wpu-cws-indexed-local-dense","2.130893","0.057363","937511","True","11","16.0","0.010258","0.0","ok","4096","0.67527"
"0","4080","True","0.758333","16","1.0","","34.546387","256","1","1","1.0","0.333333","wpu-cws-indexed-local-dense","2.038915","0.084841","937511","True","13","16.0","0.707011","0.0","ok","4096","0.742415"
"0","4064","True","0.808333","32","1.0","","35.227051","256","1","1","1.0","0.333333","wpu-cws-indexed-local-dense","3.471087","0.039782","937511","True","11","32.0","0.408154","0.0","ok","4096","0.879732"
"0","4064","True","0.791667","32","1.0","","35.227051","256","1","1","1.0","0.333333","wpu-cws-indexed-local-dense","3.552913","0.029115","937511","True","13","32.0","0.305896","0.0","ok","4096","0.703259"
"0","4032","True","0.808333","64","1.0","","37.901855","256","1","1","1.0","0.333333","wpu-cws-indexed-local-dense","6.643262","0.035446","937511","True","11","64.0","0.516379","0.0","ok","4096","0.746163"
"0","4032","True","0.733333","64","1.0","","37.901855","256","1","1","1.0","0.333333","wpu-cws-indexed-local-dense","6.624503","0.033056","937511","True","13","64.0","0.354061","0.0","ok","4096","0.773595"
"0","4092","True","0.641667","4","1.0","","34.197754","256","1","1","1.0","0.333333","wpu-cws-indexed-adaptive-hybrid","0.789513","0.047154","937511","True","11","4.0","0.247466","0.0","ok","4096","0.899647"
"0","4092","True","0.741667","4","1.0","","34.197754","256","1","1","0.558333","0.333333","wpu-cws-indexed-adaptive-hybrid","0.805438","0.06057","937511","True","13","4.0","0.428196","0.441667","ok","4096","0.847588"
"0","4088","True","0.591667","8","1.0","","34.313965","256","1","1","1.0","0.333333","wpu-cws-indexed-adaptive-hybrid","1.353873","0.032757","937511","True","11","8.0","0.147438","0.0","ok","4096","0.650951"
"0","4088","True","0.825","8","1.0","","34.313965","256","1","1","0.425","0.333333","wpu-cws-indexed-adaptive-hybrid","1.840742","0.039661","937511","True","13","8.0","0.458576","0.575","ok","4096","0.716128"
"0","4080","True","0.725","16","1.0","","34.546387","256","1","1","0.133333","0.333333","wpu-cws-indexed-adaptive-hybrid","2.074708","0.048167","937511","True","11","16.0","0.546131","0.866667","ok","4096","1.165478"
"0","4080","True","0.691667","16","1.0","","34.546387","256","1","1","0.283333","0.333333","wpu-cws-indexed-adaptive-hybrid","2.3756","0.022932","937511","True","13","16.0","0.502839","0.716667","ok","4096","0.824584"
"0","4064","True","0.825","32","1.0","","35.227051","256","1","1","0.55","0.333333","wpu-cws-indexed-adaptive-hybrid","4.056215","0.062498","937511","True","11","32.0","0.424175","0.45","ok","4096","0.954182"
"0","4064","True","0.766667","32","1.0","","35.227051","256","1","1","1.0","0.333333","wpu-cws-indexed-adaptive-hybrid","4.26555","0.069478","937511","True","13","32.0","0.138636","0.0","ok","4096","0.753104"
"0","4032","True","0.808333","64","1.0","","37.901855","256","1","1","1.0","0.333333","wpu-cws-indexed-adaptive-hybrid","8.72837","0.035446","937511","True","11","64.0","0.516379","0.0","ok","4096","0.746163"
"0","4032","True","0.733333","64","1.0","","37.901855","256","1","1","1.0","0.333333","wpu-cws-indexed-adaptive-hybrid","11.31471","0.033056","937511","True","13","64.0","0.354061","0.0","ok","4096","0.773595"
