accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,deployment_risk_penalty,deployment_safe_prob_threshold,deployment_utility_margin,excess_over_candidate_oracle,gate_steps,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,loss,no_harm_margin,oracle_match_rate,policy,predicted_regret_mean,predicted_safe_probability_mean,predicted_sigma_mean,propagation_steps,regret_corr,regret_retriever_steps,retriever_steps,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,test_samples,total_objects_n,train_joint_candidate_accept_rate,train_joint_candidate_gate_loss,train_seed_count,train_static_learned_loss,validation_samples_per_seed
,0.5,4,0.940478,8,600,,,,0.030027,900,4,,11,pairwise,0.970506,0.0,0.022222,static_learned_interaction,,,,40,,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.815278,0.959737,4,0.981228,180
0.677778,0.511111,4,0.940478,8,600,0.0,0.5,0.0,0.02982,900,4,0.311111,11,pairwise,0.970299,0.0,0.133333,joint_candidate_gate,-0.137854,0.405961,0.201354,40,-0.027234,600,400,11,0.0,0.0,0.011111,0.011111,0.0,0.144444,0.022222,0.0,0.166667,0.377778,0.0,0.322222,0.122222,,,,,,90,2048,0.815278,0.959737,4,0.981228,180
0.711111,0.5,4,0.940478,8,600,0.5,0.5,0.0,0.030182,900,4,0.333333,11,pairwise,0.97066,0.0,0.133333,joint_uncertainty_gate,-0.137854,0.405961,0.201354,40,-0.027234,600,400,11,0.022222,0.0,0.011111,0.033333,0.0,0.111111,0.022222,0.0,0.133333,0.4,0.0,0.288889,0.144444,,,,,,90,2048,0.815278,0.959737,4,0.981228,180
0.677778,0.511111,4,0.940478,8,600,0.0,0.5,0.0,0.02982,900,4,0.311111,11,pairwise,0.970299,0.0,0.133333,train_selected_joint_candidate_gate,-0.137854,0.405961,0.201354,40,-0.027234,600,400,11,0.0,0.0,0.011111,0.011111,0.0,0.144444,0.022222,0.0,0.166667,0.377778,0.0,0.322222,0.122222,0.815278,0.606349,0.120833,0.959737,joint_candidate_gate,90,2048,0.815278,0.959737,4,0.981228,180
,0.511111,4,0.940478,8,600,,,,0.0,900,4,,11,pairwise,0.940478,0.0,1.0,generated_plus_composition_oracle,,,,40,,600,400,11,0.233333,0.022222,0.066667,0.322222,0.088889,0.133333,0.044444,0.011111,0.277778,0.222222,0.033333,0.022222,0.122222,,,,,,90,2048,0.815278,0.959737,4,0.981228,180
0.677778,0.511111,4,0.940478,8,600,0.0,0.5,0.0,0.02982,900,4,0.311111,11,pairwise,0.970299,0.0,0.133333,joint_gate_p0p5_m0_r0,-0.137854,0.405961,0.201354,40,-0.027234,600,400,11,0.0,0.0,0.011111,0.011111,0.0,0.144444,0.022222,0.0,0.166667,0.377778,0.0,0.322222,0.122222,,,,,,90,2048,0.815278,0.959737,4,0.981228,180
0.7,0.511111,4,0.940478,8,600,0.25,0.5,0.0,0.030076,900,4,0.322222,11,pairwise,0.970554,0.0,0.133333,joint_gate_p0p5_m0_r0p25,-0.137854,0.405961,0.201354,40,-0.027234,600,400,11,0.022222,0.0,0.011111,0.033333,0.0,0.144444,0.022222,0.0,0.166667,0.377778,0.0,0.3,0.122222,,,,,,90,2048,0.815278,0.959737,4,0.981228,180
0.711111,0.5,4,0.940478,8,600,0.5,0.5,0.0,0.030182,900,4,0.333333,11,pairwise,0.97066,0.0,0.133333,joint_gate_p0p5_m0_r0p5,-0.137854,0.405961,0.201354,40,-0.027234,600,400,11,0.022222,0.0,0.011111,0.033333,0.0,0.111111,0.022222,0.0,0.133333,0.4,0.0,0.288889,0.144444,,,,,,90,2048,0.815278,0.959737,4,0.981228,180
0.655556,0.5,4,0.940478,8,600,0.75,0.5,0.0,0.026083,900,4,0.255556,11,pairwise,0.966562,0.0,0.144444,joint_gate_p0p5_m0_r0p75,-0.137854,0.405961,0.201354,40,-0.027234,600,400,11,0.011111,0.0,0.022222,0.033333,0.011111,0.077778,0.033333,0.0,0.122222,0.355556,0.0,0.344444,0.144444,,,,,,90,2048,0.815278,0.959737,4,0.981228,180
0.5,0.5,4,0.940478,8,600,1.0,0.5,0.0,0.024175,900,4,0.177778,11,pairwise,0.964653,0.0,0.122222,joint_gate_p0p5_m0_r1,-0.137854,0.405961,0.201354,40,-0.027234,600,400,11,0.011111,0.0,0.055556,0.066667,0.011111,0.066667,0.033333,0.0,0.111111,0.211111,0.0,0.5,0.111111,,,,,,90,2048,0.815278,0.959737,4,0.981228,180
0.677778,0.511111,4,0.940478,8,600,0.0,0.5,0.001,0.02982,900,4,0.311111,11,pairwise,0.970299,0.0,0.133333,joint_gate_p0p5_m0p001_r0,-0.137854,0.405961,0.201354,40,-0.027234,600,400,11,0.0,0.0,0.011111,0.011111,0.0,0.144444,0.022222,0.0,0.166667,0.377778,0.0,0.322222,0.122222,,,,,,90,2048,0.815278,0.959737,4,0.981228,180
0.7,0.511111,4,0.940478,8,600,0.25,0.5,0.001,0.030076,900,4,0.322222,11,pairwise,0.970554,0.0,0.133333,joint_gate_p0p5_m0p001_r0p25,-0.137854,0.405961,0.201354,40,-0.027234,600,400,11,0.022222,0.0,0.011111,0.033333,0.0,0.144444,0.022222,0.0,0.166667,0.377778,0.0,0.3,0.122222,,,,,,90,2048,0.815278,0.959737,4,0.981228,180
0.711111,0.5,4,0.940478,8,600,0.5,0.5,0.001,0.030182,900,4,0.333333,11,pairwise,0.97066,0.0,0.133333,joint_gate_p0p5_m0p001_r0p5,-0.137854,0.405961,0.201354,40,-0.027234,600,400,11,0.022222,0.0,0.011111,0.033333,0.0,0.111111,0.022222,0.0,0.133333,0.4,0.0,0.288889,0.144444,,,,,,90,2048,0.815278,0.959737,4,0.981228,180
0.655556,0.5,4,0.940478,8,600,0.75,0.5,0.001,0.026083,900,4,0.255556,11,pairwise,0.966562,0.0,0.144444,joint_gate_p0p5_m0p001_r0p75,-0.137854,0.405961,0.201354,40,-0.027234,600,400,11,0.011111,0.0,0.022222,0.033333,0.011111,0.077778,0.033333,0.0,0.122222,0.355556,0.0,0.344444,0.144444,,,,,,90,2048,0.815278,0.959737,4,0.981228,180
0.5,0.5,4,0.940478,8,600,1.0,0.5,0.001,0.024175,900,4,0.177778,11,pairwise,0.964653,0.0,0.122222,joint_gate_p0p5_m0p001_r1,-0.137854,0.405961,0.201354,40,-0.027234,600,400,11,0.011111,0.0,0.055556,0.066667,0.011111,0.066667,0.033333,0.0,0.111111,0.211111,0.0,0.5,0.111111,,,,,,90,2048,0.815278,0.959737,4,0.981228,180
