accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,deployment_risk_penalty,deployment_safe_prob_threshold,deployment_utility_margin,excess_over_candidate_oracle,gate_steps,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,loss,no_harm_margin,oracle_match_rate,policy,predicted_regret_mean,predicted_safe_probability_mean,predicted_sigma_mean,propagation_steps,regret_corr,regret_retriever_steps,retriever_steps,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,test_samples,total_objects_n,train_joint_candidate_accept_rate,train_joint_candidate_gate_loss,train_seed_count,train_static_learned_loss,validation_samples_per_seed
,0.5,4,0.934236,16,600,,,,0.037585,1200,4,,11,pairwise,0.971821,0.0,0.011111,static_learned_interaction,,,,40,,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.8,0.876322,4,0.912281,180
0.766667,0.522222,4,0.934236,16,600,0.0,0.5,0.0,0.037883,1200,4,0.322222,11,pairwise,0.972119,0.0,0.155556,joint_candidate_gate,0.006424,0.429677,0.060453,40,0.077967,600,400,11,0.133333,0.011111,0.044444,0.188889,0.0,0.177778,0.0,0.011111,0.188889,0.277778,0.0,0.233333,0.111111,,,,,,90,2048,0.8,0.876322,4,0.912281,180
0.5,0.511111,4,0.934236,16,600,0.5,0.5,0.0,0.040115,1200,4,0.222222,11,pairwise,0.974351,0.0,0.1,joint_uncertainty_gate,0.006424,0.429677,0.060453,40,0.077967,600,400,11,0.066667,0.0,0.044444,0.111111,0.011111,0.111111,0.011111,0.0,0.133333,0.188889,0.0,0.5,0.066667,,,,,,90,2048,0.8,0.876322,4,0.912281,180
0.744444,0.522222,4,0.934236,16,600,0.0,0.55,0.0,0.037878,1200,4,0.311111,11,pairwise,0.972114,0.0,0.155556,train_selected_joint_candidate_gate,0.006424,0.429677,0.060453,40,0.077967,600,400,11,0.133333,0.011111,0.044444,0.188889,0.0,0.177778,0.0,0.011111,0.188889,0.255556,0.0,0.255556,0.111111,0.765278,0.654752,0.104167,0.875997,joint_gate_p0p55_m0_r0,90,2048,0.8,0.876322,4,0.912281,180
,0.544444,4,0.934236,16,600,,,,0.0,1200,4,,11,pairwise,0.934236,0.0,1.0,generated_plus_composition_oracle,,,,40,,600,400,11,0.322222,0.011111,0.066667,0.4,0.033333,0.166667,0.055556,0.044444,0.3,0.144444,0.011111,0.011111,0.133333,,,,,,90,2048,0.8,0.876322,4,0.912281,180
0.766667,0.522222,4,0.934236,16,600,0.0,0.5,0.0,0.037883,1200,4,0.322222,11,pairwise,0.972119,0.0,0.155556,joint_gate_p0p5_m0_r0,0.006424,0.429677,0.060453,40,0.077967,600,400,11,0.133333,0.011111,0.044444,0.188889,0.0,0.177778,0.0,0.011111,0.188889,0.277778,0.0,0.233333,0.111111,,,,,,90,2048,0.8,0.876322,4,0.912281,180
0.655556,0.511111,4,0.934236,16,600,0.25,0.5,0.0,0.040288,1200,4,0.288889,11,pairwise,0.974524,0.0,0.133333,joint_gate_p0p5_m0_r0p25,0.006424,0.429677,0.060453,40,0.077967,600,400,11,0.111111,0.011111,0.044444,0.166667,0.0,0.144444,0.011111,0.0,0.155556,0.255556,0.0,0.344444,0.077778,,,,,,90,2048,0.8,0.876322,4,0.912281,180
0.5,0.511111,4,0.934236,16,600,0.5,0.5,0.0,0.040115,1200,4,0.222222,11,pairwise,0.974351,0.0,0.1,joint_gate_p0p5_m0_r0p5,0.006424,0.429677,0.060453,40,0.077967,600,400,11,0.066667,0.0,0.044444,0.111111,0.011111,0.111111,0.011111,0.0,0.133333,0.188889,0.0,0.5,0.066667,,,,,,90,2048,0.8,0.876322,4,0.912281,180
0.322222,0.533333,4,0.934236,16,600,0.75,0.5,0.0,0.039469,1200,4,0.166667,11,pairwise,0.973705,0.0,0.077778,joint_gate_p0p5_m0_r0p75,0.006424,0.429677,0.060453,40,0.077967,600,400,11,0.055556,0.0,0.022222,0.077778,0.0,0.077778,0.0,0.0,0.077778,0.111111,0.0,0.677778,0.055556,,,,,,90,2048,0.8,0.876322,4,0.912281,180
0.2,0.533333,4,0.934236,16,600,1.0,0.5,0.0,0.036842,1200,4,0.066667,11,pairwise,0.971078,0.0,0.066667,joint_gate_p0p5_m0_r1,0.006424,0.429677,0.060453,40,0.077967,600,400,11,0.066667,0.0,0.011111,0.077778,0.0,0.044444,0.0,0.0,0.044444,0.033333,0.0,0.8,0.044444,,,,,,90,2048,0.8,0.876322,4,0.912281,180
