source,total_objects_n,causal_k,policy,static_loss,candidate_oracle_loss,candidate_oracle_gain_over_static,policy_loss,policy_accuracy,oracle_match_rate,deployed_gain_over_static,gap_closure_fraction,remaining_gap,mean_accept_rate,mean_harmful_accept_rate,mean_regret_corr,mean_predicted_sigma,mean_selection_train_gap_closure,mean_selection_train_harmful_accept_rate,seed_count,failure_mode
docs/experiments/wpu_v2_candidate_joint_gate_regression_heavy_k16.csv,2048,16,joint_candidate_gate,0.966183,0.905063,0.06112,0.967657,0.504444,0.184445,-0.001474,-0.024123,0.062594,0.844444,0.371111,0.020121,0.056726,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_joint_gate_regression_heavy_k16.csv,2048,16,joint_gate_p0p55_m0_r0,0.966183,0.905063,0.06112,0.966591,0.506667,0.18,-0.000409,-0.006685,0.061529,0.822222,0.36,0.020121,0.056726,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_joint_gate_regression_heavy_k16.csv,2048,16,joint_gate_p0p55_m0_r0p25,0.966183,0.905063,0.06112,0.965896,0.508889,0.16,0.000286,0.004686,0.060834,0.775555,0.34,0.020121,0.056726,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_joint_gate_regression_heavy_k16.csv,2048,16,joint_gate_p0p55_m0_r0p5,0.966183,0.905063,0.06112,0.964978,0.511111,0.133333,0.001205,0.019709,0.059915,0.662222,0.275556,0.020121,0.056726,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_joint_gate_regression_heavy_k16.csv,2048,16,joint_gate_p0p55_m0_r0p75,0.966183,0.905063,0.06112,0.96657,0.513333,0.102222,-0.000387,-0.006338,0.061507,0.486667,0.206667,0.020121,0.056726,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_joint_gate_regression_heavy_k16.csv,2048,16,joint_gate_p0p55_m0_r1,0.966183,0.905063,0.06112,0.964503,0.513333,0.071111,0.00168,0.027487,0.05944,0.348889,0.144445,0.020121,0.056726,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_joint_gate_regression_heavy_k16.csv,2048,16,joint_gate_p0p55_m0p001_r0,0.966183,0.905063,0.06112,0.966591,0.506667,0.18,-0.000409,-0.006685,0.061529,0.822222,0.36,0.020121,0.056726,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_joint_gate_regression_heavy_k16.csv,2048,16,joint_gate_p0p55_m0p001_r0p25,0.966183,0.905063,0.06112,0.965691,0.508889,0.157778,0.000492,0.00805,0.060628,0.764444,0.335556,0.020121,0.056726,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_joint_gate_regression_heavy_k16.csv,2048,16,joint_gate_p0p55_m0p001_r0p5,0.966183,0.905063,0.06112,0.965056,0.513333,0.131111,0.001127,0.018439,0.059993,0.642222,0.266667,0.020121,0.056726,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_joint_gate_regression_heavy_k16.csv,2048,16,joint_gate_p0p55_m0p001_r0p75,0.966183,0.905063,0.06112,0.966594,0.513333,0.102222,-0.000411,-0.006731,0.061531,0.48,0.202222,0.020121,0.056726,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_joint_gate_regression_heavy_k16.csv,2048,16,joint_gate_p0p55_m0p001_r1,0.966183,0.905063,0.06112,0.964333,0.511111,0.068889,0.00185,0.030268,0.05927,0.337778,0.14,0.020121,0.056726,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_joint_gate_regression_heavy_k16.csv,2048,16,joint_gate_p0p55_m0p0025_r0,0.966183,0.905063,0.06112,0.966994,0.506667,0.18,-0.000811,-0.013272,0.061931,0.813333,0.357778,0.020121,0.056726,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_joint_gate_regression_heavy_k16.csv,2048,16,joint_gate_p0p55_m0p0025_r0p25,0.966183,0.905063,0.06112,0.965724,0.508889,0.155556,0.000459,0.00751,0.060661,0.748889,0.326667,0.020121,0.056726,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_joint_gate_regression_heavy_k16.csv,2048,16,joint_gate_p0p55_m0p0025_r0p5,0.966183,0.905063,0.06112,0.965577,0.513333,0.122222,0.000605,0.009905,0.060515,0.617778,0.262222,0.020121,0.056726,0.0,0.0,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_joint_gate_regression_heavy_k16.csv,2048,16,joint_gate_p0p55_m0p0025_r0p75,0.966183,0.905063,0.06112,0.966189,0.513333,0.1,-6e-06,-0.000101,0.061126,0.464444,0.193333,0.020121,0.056726,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_joint_gate_regression_heavy_k16.csv,2048,16,joint_gate_p0p55_m0p0025_r1,0.966183,0.905063,0.06112,0.964528,0.508889,0.066667,0.001655,0.027075,0.059465,0.326667,0.133334,0.020121,0.056726,0.0,0.0,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_joint_gate_regression_heavy_k16.csv,2048,16,joint_gate_p0p55_m0p005_r0,0.966183,0.905063,0.06112,0.966972,0.508889,0.177778,-0.000789,-0.012909,0.061909,0.797778,0.348889,0.020121,0.056726,0.0,0.0,5,harmful_transfer
docs/experiments/wpu_v2_candidate_joint_gate_regression_heavy_k16.csv,2048,16,joint_gate_p0p55_m0p005_r0p25,0.966183,0.905063,0.06112,0.965858,0.508889,0.148889,0.000325,0.005317,0.060795,0.724444,0.313333,0.020121,0.056726,0.0,0.0,5,insufficient_no_harm_rejection
