feature_variant,causal_k,policy,loss,accuracy,oracle_match_rate,candidate_oracle_loss,candidate_oracle_gain_over_static,deployed_gain_over_static,remaining_gap,gap_closure_fraction,seed_count
role_geometry_family,8,static_learned_interaction,0.988432,0.506667,0.004444,0.955536,0.032895,0.0,0.032895,0.0,5
role_geometry_family,8,invariant_set_scorer,0.98366,0.515556,0.191111,0.955536,0.032895,0.004772,0.028123,0.145061,5
role_geometry_family,8,risk_adjusted_selected_mechanism,0.982002,0.522222,0.228889,0.955536,0.032895,0.006429,0.026466,0.195451,5
role_geometry_family,8,generated_plus_composition_oracle,0.955536,0.555555,1.0,0.955536,0.032895,0.032895,0.0,1.0,5
role_geometry_family,16,static_learned_interaction,0.966183,0.504444,0.002222,0.905009,0.061174,0.0,0.061174,0.0,5
role_geometry_family,16,invariant_set_scorer,0.958227,0.5,0.195555,0.905009,0.061174,0.007956,0.053218,0.130053,5
role_geometry_family,16,risk_adjusted_selected_mechanism,0.951243,0.517778,0.077778,0.905009,0.061174,0.01494,0.046234,0.24422,5
role_geometry_family,16,generated_plus_composition_oracle,0.905009,0.58,1.0,0.905009,0.061174,0.061174,0.0,1.0,5
role_geometry_family,32,static_learned_interaction,1.004095,0.475556,0.004444,0.968548,0.035547,0.0,0.035547,0.0,5
role_geometry_family,32,invariant_set_scorer,1.008212,0.5,0.164444,0.968548,0.035547,-0.004118,0.039664,-0.115842,5
role_geometry_family,32,risk_adjusted_selected_mechanism,1.002597,0.522222,0.113333,0.968548,0.035547,0.001498,0.034049,0.042131,5
role_geometry_family,32,generated_plus_composition_oracle,0.968548,0.577778,1.0,0.968548,0.035547,0.035547,0.0,1.0,5
role_geometry_only,8,static_learned_interaction,0.988432,0.506667,0.004444,0.955536,0.032895,0.0,0.032895,0.0,5
role_geometry_only,8,invariant_set_scorer,0.985303,0.513333,0.226667,0.955536,0.032895,0.003129,0.029766,0.095114,5
role_geometry_only,8,risk_adjusted_selected_mechanism,0.984696,0.515556,0.14,0.955536,0.032895,0.003735,0.02916,0.113548,5
role_geometry_only,8,generated_plus_composition_oracle,0.955536,0.555555,1.0,0.955536,0.032895,0.032895,0.0,1.0,5
role_geometry_only,16,static_learned_interaction,0.966183,0.504444,0.002222,0.905009,0.061174,0.0,0.061174,0.0,5
role_geometry_only,16,invariant_set_scorer,0.967945,0.491111,0.195556,0.905009,0.061174,-0.001762,0.062936,-0.028803,5
role_geometry_only,16,risk_adjusted_selected_mechanism,0.951243,0.517778,0.077778,0.905009,0.061174,0.01494,0.046234,0.24422,5
role_geometry_only,16,generated_plus_composition_oracle,0.905009,0.58,1.0,0.905009,0.061174,0.061174,0.0,1.0,5
role_geometry_only,32,static_learned_interaction,1.004095,0.475556,0.004444,0.968548,0.035547,0.0,0.035547,0.0,5
role_geometry_only,32,invariant_set_scorer,1.007681,0.495556,0.186667,0.968548,0.035547,-0.003586,0.039133,-0.100882,5
role_geometry_only,32,risk_adjusted_selected_mechanism,1.004529,0.515556,0.142222,0.968548,0.035547,-0.000435,0.035981,-0.012226,5
role_geometry_only,32,generated_plus_composition_oracle,0.968548,0.577778,1.0,0.968548,0.035547,0.035547,0.0,1.0,5
