accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,deployment_disagreement_penalty,deployment_reject_margin,deployment_risk_penalty,deployment_vote_threshold,excess_over_candidate_oracle,gate_steps,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,loss,no_harm_margin,oracle_match_rate,policy,predicted_epistemic_mean,predicted_regret_mean,predicted_sigma_mean,propagation_steps,regret_corr,regret_retriever_steps,retriever_steps,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,test_samples,total_objects_n,train_candidate_regret_accept_rate,train_candidate_regret_gate_loss,train_seed_count,train_static_learned_loss,train_uncertainty_regret_accept_rate,train_uncertainty_regret_gate_loss,validation_samples_per_seed
,0.5,4,0.940478,8,600,,,,,0.030027,600,4,,11,pairwise,0.970506,0.0,0.022222,static_learned_interaction,,,,40,,600,400,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.477778,0.511111,4,0.940478,8,600,0.0,0.02,0.0,0.0,0.028252,600,4,0.233333,11,pairwise,0.96873,0.0,0.1,crossfit_selected_candidate_regret_gate,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.444444,0.022222,0.0,0.466667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522222,0.011111,0.577778,0.174965,0.209722,0.975027,crossfit_regret_gate_m0p02_r0_d0_v0,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
,0.511111,4,0.940478,8,600,,,,,0.0,600,4,,11,pairwise,0.940478,0.0,1.0,generated_plus_composition_oracle,,,,40,,600,400,11,0.233333,0.022222,0.066667,0.322222,0.088889,0.133333,0.044444,0.011111,0.277778,0.222222,0.033333,0.022222,0.122222,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.966667,0.511111,4,0.940478,8,600,0.0,0.0,0.0,0.0,0.028428,600,4,0.466667,11,pairwise,0.968907,0.0,0.222222,crossfit_regret_gate_m0_r0_d0_v0,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.666667,0.055556,0.044444,0.766667,0.0,0.055556,0.011111,0.0,0.066667,0.066667,0.0,0.033333,0.066667,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.955556,0.511111,4,0.940478,8,600,0.0,0.0,0.0,0.5,0.028476,600,4,0.466667,11,pairwise,0.968954,0.0,0.222222,crossfit_regret_gate_m0_r0_d0_v0p5,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.666667,0.055556,0.044444,0.766667,0.0,0.055556,0.011111,0.0,0.066667,0.066667,0.0,0.044444,0.055556,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.933333,0.511111,4,0.940478,8,600,0.0,0.0,0.0,0.75,0.028537,600,4,0.455556,11,pairwise,0.969015,0.0,0.211111,crossfit_regret_gate_m0_r0_d0_v0p75,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.655556,0.055556,0.044444,0.755556,0.0,0.055556,0.0,0.0,0.055556,0.066667,0.0,0.066667,0.055556,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.844444,0.511111,4,0.940478,8,600,0.0,0.0,0.0,1.0,0.027584,600,4,0.4,11,pairwise,0.968062,0.0,0.2,crossfit_regret_gate_m0_r0_d0_v1,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.633333,0.044444,0.044444,0.722222,0.0,0.022222,0.0,0.0,0.022222,0.055556,0.0,0.155556,0.044444,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.944444,0.511111,4,0.940478,8,600,0.5,0.0,0.0,0.0,0.031764,600,4,0.488889,11,pairwise,0.972242,0.0,0.2,crossfit_regret_gate_m0_r0_d0p5_v0,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.633333,0.044444,0.055556,0.733333,0.0,0.044444,0.0,0.0,0.044444,0.122222,0.0,0.055556,0.044444,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.944444,0.511111,4,0.940478,8,600,0.5,0.0,0.0,0.5,0.031764,600,4,0.488889,11,pairwise,0.972242,0.0,0.2,crossfit_regret_gate_m0_r0_d0p5_v0p5,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.633333,0.044444,0.055556,0.733333,0.0,0.044444,0.0,0.0,0.044444,0.122222,0.0,0.055556,0.044444,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
0.933333,0.511111,4,0.940478,8,600,0.5,0.0,0.0,0.75,0.031519,600,4,0.477778,11,pairwise,0.971997,0.0,0.2,crossfit_regret_gate_m0_r0_d0p5_v0p75,0.003902,-0.001364,0.049796,40,-0.002955,600,400,11,0.633333,0.044444,0.055556,0.733333,0.0,0.044444,0.0,0.0,0.044444,0.111111,0.0,0.066667,0.044444,,,,,,90,2048,0.577778,0.97098,4,0.981228,0.577778,0.97098,180
