accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,excess_over_candidate_oracle,gate_steps,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,loss,no_harm_margin,oracle_match_rate,policy,predicted_regret_mean,predicted_sigma_mean,propagation_steps,regret_corr,regret_retriever_steps,reject_margin,retriever_steps,risk_penalty,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,test_samples,total_objects_n,train_candidate_regret_accept_rate,train_candidate_regret_gate_loss,train_seed_count,train_static_learned_loss,train_uncertainty_regret_accept_rate,train_uncertainty_regret_gate_loss,validation_samples_per_seed
,0.5,4,0.940478,8,600,0.030027,600,4,,11,pairwise,0.970506,0.0,0.022222,static_learned_interaction,,,40,,600,0.0,400,0.5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90,2048,0.984722,0.965802,4,0.981228,0.370833,0.970486,180
0.988889,0.511111,4,0.940478,8,600,0.029693,600,4,0.477778,11,pairwise,0.970171,0.0,0.244444,candidate_regret_gate,-0.00164,0.049787,40,-0.026616,600,0.0,400,0.5,11,0.677778,0.066667,0.044444,0.788889,0.0,0.088889,0.011111,0.0,0.1,0.077778,0.0,0.011111,0.022222,90,2048,0.984722,0.965802,4,0.981228,0.370833,0.970486,180
0.3,0.511111,4,0.940478,8,600,0.027402,600,4,0.111111,11,pairwise,0.967881,0.0,0.088889,uncertainty_regret_gate,-0.00164,0.049787,40,-0.026616,600,0.0,400,0.5,11,0.255556,0.033333,0.0,0.288889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.011111,90,2048,0.984722,0.965802,4,0.981228,0.370833,0.970486,180
,0.511111,4,0.940478,8,600,0.0,600,4,,11,pairwise,0.940478,0.0,1.0,generated_plus_composition_oracle,,,40,,600,0.0,400,0.5,11,0.233333,0.022222,0.066667,0.322222,0.088889,0.133333,0.044444,0.011111,0.277778,0.222222,0.033333,0.022222,0.122222,90,2048,0.984722,0.965802,4,0.981228,0.370833,0.970486,180
,0.455556,4,0.964415,8,600,0.031939,600,4,,13,pairwise,0.996354,0.0,0.0,static_learned_interaction,,,40,,600,0.0,400,0.5,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90,2048,0.983333,0.968466,4,0.980309,0.125,0.977527,180
0.988889,0.488889,4,0.964415,8,600,0.022214,600,4,0.266667,13,pairwise,0.986629,0.0,0.266667,candidate_regret_gate,-0.000467,0.049808,40,0.239749,600,0.0,400,0.5,13,0.611111,0.111111,0.066667,0.788889,0.022222,0.055556,0.022222,0.0,0.1,0.011111,0.0,0.011111,0.088889,90,2048,0.983333,0.968466,4,0.980309,0.125,0.977527,180
0.144444,0.466667,4,0.964415,8,600,0.030602,600,4,0.077778,13,pairwise,0.995017,0.0,0.033333,uncertainty_regret_gate,-0.000467,0.049808,40,0.239749,600,0.0,400,0.5,13,0.077778,0.055556,0.011111,0.144444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855556,0.0,90,2048,0.983333,0.968466,4,0.980309,0.125,0.977527,180
,0.522222,4,0.964415,8,600,0.0,600,4,,13,pairwise,0.964415,0.0,1.0,generated_plus_composition_oracle,,,40,,600,0.0,400,0.5,13,0.266667,0.055556,0.0,0.322222,0.033333,0.233333,0.0,0.022222,0.288889,0.288889,0.0,0.0,0.1,90,2048,0.983333,0.968466,4,0.980309,0.125,0.977527,180
,0.5,4,0.955949,8,600,0.020414,600,4,,17,pairwise,0.976364,0.0,0.011111,static_learned_interaction,,,40,,600,0.0,400,0.5,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90,2048,0.966667,0.971938,4,0.98719,0.429167,0.973769,180
0.977778,0.477778,4,0.955949,8,600,0.024083,600,4,0.5,17,pairwise,0.980033,0.0,0.233333,candidate_regret_gate,-0.00277,0.049847,40,-0.064903,600,0.0,400,0.5,17,0.666667,0.044444,0.044444,0.755556,0.0,0.055556,0.0,0.0,0.055556,0.1,0.0,0.022222,0.066667,90,2048,0.966667,0.971938,4,0.98719,0.429167,0.973769,180
0.444444,0.5,4,0.955949,8,600,0.024693,600,4,0.255556,17,pairwise,0.980642,0.0,0.111111,uncertainty_regret_gate,-0.00277,0.049847,40,-0.064903,600,0.0,400,0.5,17,0.422222,0.011111,0.0,0.433333,0.0,0.011111,0.0,0.0,0.011111,0.0,0.0,0.555556,0.0,90,2048,0.966667,0.971938,4,0.98719,0.429167,0.973769,180
,0.511111,4,0.955949,8,600,0.0,600,4,,17,pairwise,0.955949,0.0,1.0,generated_plus_composition_oracle,,,40,,600,0.0,400,0.5,17,0.277778,0.011111,0.077778,0.366667,0.077778,0.088889,0.088889,0.111111,0.366667,0.166667,0.011111,0.011111,0.077778,90,2048,0.966667,0.971938,4,0.98719,0.429167,0.973769,180
